Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
top_k =  500
Partition function (log Z): -2.992009580497316

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9988538535524194
Position 123: 0.000629221284427443
Position 117: 0.00021823434978392623
Position 91: 0.0001459028756190575
Position 449: 0.00011133741462815175
Position 161: 0.00010804887201786583
Position 375: 6.882583023564037e-05
Position 418: 3.7535217372027786e-05
Position 362: 2.7434309346725226e-05
Position 151: 2.7117990338080614e-05
Position 11: 2.1177384278776017e-05
Position 218: 1.4742073930524751e-05
Position 365: 1.2282564245276035e-05
Position 53: 1.0743825157470073e-05
Position 71: 7.919094720816666e-06
Position 474: 7.0856533697806725e-06
Position 434: 3.906782378203728e-06
Position 31: 3.7358644489371343e-06
Position 177: 2.1565988026046912e-06
Position 33: 1.8203790348366385e-06
Position 443: 1.7045238678927624e-06
Position 541: 1.5688534243556803e-06
Position 191: 1.8217855026418845e-07
Position 453: 1.1880488238869443e-07
Position 478: 9.363428270849137e-08
Position 485: 7.392000108885702e-09
Position 512: 6.338651396425922e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 208: 0.9997781684042949
Position 500: 0.00014139844704193376
Position 463: 0.00011156766553319214
Position 229: 6.544792729261295e-05
Position 283: 4.843099926667268e-05
Position 253: 3.6817799761982764e-05
Position 214: 3.193516880566358e-05
Position 460: 2.324078164056567e-05
Position 191: 2.248345261262351e-05
Position 71: 1.8099255560233254e-05
Position 117: 1.1875724661767015e-05
Position 265: 7.008868269821081e-06
Position 600: 5.4994378226462205e-06
Position 287: 3.396780783307339e-06
Position 430: 2.952087353190837e-06
Position 531: 2.731797388236977e-06
Position 313: 1.1791820987691584e-06
Position 565: 1.129915760321644e-06
Position 138: 5.854008479814543e-07
Position 526: 5.705503526843753e-07
Position 123: 4.4396981591932307e-07
Position 568: 2.9461441557969595e-07
Position 424: 2.863431050929874e-07
Position 624: 2.260238065532673e-07
Position 562: 1.592163485800571e-07
Position 607: 1.581234260366388e-07
Position 535: 1.4377871356975832e-07
Position 76: 1.0754796755153607e-07
Position 218: 1.0447485264342164e-07
Position 104: 1.0311701069768446e-07
Position 79: 9.409565916929524e-08
Position 165: 6.636933965048807e-08
Position 151: 2.6048575157130886e-08
Position 547: 1.603959716079014e-08
Position 394: 4.910540318224256e-09
Position 584: 3.43907351422081e-09
Position 485: 3.2130549066297216e-09
Position 541: 2.652787323463041e-09
Position 83: 1.495947871018395e-11
Position 90: 1.4696888869041138e-12
Position 172: 3.9475030407884434e-13
Position 88: 1.4249115709999888e-13
Position 334: 5.249938059123015e-15
Position 174: 4.136595816277933e-15
