Gene = Gr39b
index = 1198
Annotated 5SS: [ 885 1684]
Annotated 3SS: [1515 1741]
SMsplice 5SS: [1684]
SMsplice 3SS: [1741]
top_k =  500
Partition function (log Z): -8.311529322357517

Sorted 5' Splice Sites (High to Low Probability):
Position 1684: 0.5563955748835294
Position 1371: 0.30588310219825904
Position 1009: 0.2563082849931772
Position 528: 0.20100497490720595
Position 777: 0.1688325375174407
Position 783: 0.14605236383752082
Position 333: 0.11868370644509174
Position 1688: 0.10801674463660824
Position 1149: 0.06703997778057415
Position 83: 0.05736141523289525
Position 195: 0.055718445524547605
Position 189: 0.04080860863072463
Position 98: 0.036165097823827964
Position 67: 0.035805691665533344
Position 1680: 0.030352697131793324
Position 1435: 0.024114744564687506
Position 771: 0.019428456155902014
Position 399: 0.01851460502883473
Position 59: 0.012285798505899921
Position 1329: 0.011886224444225178
Position 96: 0.00986945390497204
Position 885: 0.009026667186259215
Position 379: 0.008128324673709825
Position 87: 0.007603219647414467
Position 163: 0.00544503787614692
Position 314: 0.003884189904709961
Position 430: 0.003709414647802776
Position 1356: 0.0033535282401554057
Position 356: 0.003096527205826812
Position 1627: 0.0017911801082082061
Position 219: 0.001784001865342953
Position 341: 0.0016455848331926677
Position 246: 0.00140123791309588
Position 129: 0.0013369798924745212
Position 293: 0.0010721966367690508
Position 635: 0.0009465275297448948
Position 723: 0.0008613392494024174
Position 221: 0.0005314798464934203
Position 1161: 0.000503445455293713
Position 275: 0.0003635295648532247
Position 449: 0.0002365816942115132
Position 393: 0.00017950595955102566
Position 558: 9.214378890164833e-05
Position 489: 6.902775274575673e-05
Position 70: 5.937884322775043e-05
Position 742: 5.847778835909045e-05
Position 231: 4.698985687449548e-05
Position 252: 4.403928501146342e-05
Position 51: 4.0394883765798464e-05
Position 495: 3.590566635894944e-05
Position 507: 3.2929290955534916e-05
Position 825: 2.303228588879986e-05
Position 629: 1.798386986906966e-05
Position 207: 1.7018396151683125e-05
Position 347: 1.0227311197573003e-05
Position 20: 8.142921543492289e-06
Position 461: 7.639434843374061e-06
Position 201: 4.7325001051854645e-06
Position 536: 2.333218803699266e-06
Position 225: 1.152798666294299e-06
Position 223: 3.2806954756234035e-07
Position 417: 1.1815750053696106e-07
Position 353: 1.1664208528960067e-07
Position 532: 3.3287904365557903e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1741: 0.7315192518434653
Position 1515: 0.4611788784024004
Position 1285: 0.3048103255653276
Position 849: 0.30162584262726416
Position 245: 0.14815086566841973
Position 1148: 0.11647383350389386
Position 210: 0.06973740822439342
Position 1473: 0.051313443043416666
Position 1251: 0.038329473506964064
Position 510: 0.018956189581636983
Position 738: 0.017987486237971556
Position 161: 0.015884942070987236
Position 1121: 0.013328863054278002
Position 627: 0.010922549796339767
Position 540: 0.009646880782711689
Position 1496: 0.006399162535035457
Position 274: 0.0038536174631139232
Position 372: 0.0026921866995836628
Position 1541: 0.00256929822127279
Position 1788: 0.002467988212409819
Position 884: 0.0018882322477534151
Position 129: 0.001536714810291817
Position 314: 0.0012473794840979224
Position 639: 0.0011803874843357692
Position 478: 0.0011234082163950189
Position 1095: 0.001113263217698586
Position 650: 0.0007108372287203795
Position 564: 0.00045600787917786346
Position 336: 0.00033732830541303375
Position 433: 0.00014524524764819317
Position 1588: 0.0001207051642462193
Position 1793: 0.00011484969070798824
Position 214: 5.692519278133271e-05
Position 283: 4.8657024086006415e-05
Position 427: 4.807076976019531e-05
Position 770: 2.0709416502498704e-05
Position 742: 2.7252890329088706e-06
Position 168: 1.176867011480008e-06
Position 92: 7.956806080121489e-09
Position 105: 2.1929351817924645e-09
Position 83: 6.119864005979525e-10
Position 163: 4.105402590352305e-10
Position 63: 6.862202348379075e-11
Position 96: 1.7460187812072774e-11
Position 65: 1.476208271652065e-13
Position 67: 5.894737788900486e-14
