Gene = Nelf-E
index = 1314
Annotated 5SS: [ 217  793 1049]
Annotated 3SS: [ 274  881 1112]
SMsplice 5SS: [ 217  793 1049]
SMsplice 3SS: [ 274  881 1112]
top_k =  500
Partition function (log Z): 8.333448669770515

Sorted 5' Splice Sites (High to Low Probability):
Position 1049: 0.999330212981706
Position 793: 0.9975940661135699
Position 217: 0.9963445895519654
Position 50: 0.03114833272647293
Position 12: 0.0010435912256728942
Position 195: 0.0008362774513886663
Position 1160: 0.00023700580626650239
Position 816: 0.00017704946128138657
Position 647: 0.0001712865109387269
Position 1203: 0.00015713775952527921
Position 797: 0.00011195101351609906
Position 973: 7.211899437036907e-05
Position 810: 5.4947581741211316e-05
Position 363: 4.721412264297682e-05
Position 368: 3.0032093574151526e-05
Position 108: 2.8779725727005163e-05
Position 716: 2.328223370482008e-05
Position 555: 2.3167084529522786e-05
Position 1240: 2.1231744544361792e-05
Position 18: 2.0689184919276873e-05
Position 764: 2.0402996865121932e-05
Position 93: 1.0985800112914433e-05
Position 1134: 9.839369362086588e-06
Position 1038: 9.75050947557237e-06
Position 1053: 8.856780354966792e-06
Position 339: 7.242928660039216e-06
Position 1060: 5.250107809814936e-06
Position 1062: 4.387037486678068e-06
Position 87: 3.598230704422922e-06
Position 952: 2.650617076211347e-06
Position 1211: 2.1945657095960195e-06
Position 1258: 2.1891466062341807e-06
Position 139: 1.4680275773494368e-06
Position 1033: 1.4224674714873112e-06
Position 1026: 1.3746366052097616e-06
Position 240: 1.325495073902478e-06
Position 912: 5.299372232021111e-07
Position 703: 4.7357036683322957e-07
Position 517: 4.026064201837942e-07
Position 868: 2.337006553467992e-07
Position 1324: 1.4530326080723733e-07
Position 978: 1.182423889566653e-07
Position 1307: 9.412125667697528e-08
Position 701: 7.668739012622627e-08
Position 579: 6.228820979521016e-08
Position 770: 4.5047802463479724e-08
Position 494: 4.362066218533706e-08
Position 533: 8.065872875840402e-09
Position 892: 7.44708111588149e-09
Position 260: 4.623655373477714e-09
Position 271: 3.6457328840772824e-09
Position 1098: 4.0631710101757076e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1112: 0.9988974590364119
Position 274: 0.9949033703515858
Position 881: 0.9651631883406311
Position 122: 0.025903168272840775
Position 972: 0.023245435834706105
Position 849: 0.008669882436177199
Position 119: 0.004762390056317007
Position 280: 0.0024275050029844074
Position 90: 0.0009428578962072276
Position 919: 0.0006344903940439205
Position 1240: 0.0003808919747475853
Position 93: 0.00018596965787156844
Position 1258: 0.0001809567640637628
Position 1137: 0.0001443560523358834
Position 1132: 0.00012315678186597233
Position 715: 0.0001128682103229823
Position 978: 9.404113450911278e-05
Position 172: 8.883822298464403e-05
Position 526: 7.829291329077635e-05
Position 1216: 7.622367084137223e-05
Position 1033: 7.225222442129464e-05
Position 912: 6.74950558052514e-05
Position 948: 5.945508328592955e-05
Position 260: 5.3256591882035394e-05
Position 415: 5.239332020847081e-05
Position 1324: 3.738725818765321e-05
Position 1339: 2.9255436489371618e-05
Position 337: 2.6536112220252013e-05
Position 508: 2.5671196536379936e-05
Position 412: 2.493600710928188e-05
Position 1246: 1.8728013194608154e-05
Position 1119: 1.2936113490100916e-05
Position 1370: 1.063784456180364e-05
Position 445: 9.336218573915022e-06
Position 613: 7.93161865063933e-06
Position 290: 6.037654035680313e-06
Position 418: 5.997771866521943e-06
Position 298: 4.697227951091942e-06
Position 1189: 4.538540515369818e-06
Position 455: 3.327876011564865e-06
Position 646: 3.283665825064001e-06
Position 1175: 3.1807775956425806e-06
Position 999: 1.747656242089373e-06
Position 1144: 1.7422090574186697e-06
Position 739: 1.4218105245484582e-06
Position 568: 1.3858393137747382e-06
Position 174: 1.2316904042441222e-06
Position 822: 1.0982994688764929e-06
Position 307: 8.265789869142336e-07
Position 319: 4.0537824888352857e-07
Position 986: 4.037072135176424e-07
Position 667: 3.875554688903778e-07
Position 189: 3.444337139513795e-07
Position 571: 3.2684471788217655e-07
Position 662: 3.1599091493371924e-07
Position 460: 3.0574810683673055e-07
Position 390: 2.5751699066237445e-07
Position 586: 2.423400970767387e-07
Position 195: 1.6534670926387796e-07
Position 555: 1.4669631648895444e-07
Position 625: 1.4227807694169694e-07
Position 781: 1.1848282342161037e-07
Position 1203: 8.833391592799794e-08
Position 368: 6.595515027149235e-08
Position 1156: 5.260939162803694e-08
Position 424: 5.015307264111377e-08
Position 375: 4.030220993181382e-08
Position 210: 3.7949568241714854e-08
Position 541: 3.672974859802017e-08
Position 790: 3.247685632714043e-08
Position 993: 2.813997640530327e-08
Position 936: 2.4467611304883007e-08
Position 356: 1.5074415305372196e-08
Position 574: 1.3865683336266657e-08
Position 544: 1.2979311590798205e-08
Position 1060: 5.977351219589693e-09
Position 216: 5.456170946195125e-09
Position 201: 4.027399941848345e-09
Position 177: 3.237910193886373e-09
Position 313: 2.2406788970895346e-09
