Gene = SmB
index = 1506
Annotated 5SS: [134]
Annotated 3SS: [502]
SMsplice 5SS: [134]
SMsplice 3SS: [502]
top_k =  500
Partition function (log Z): -4.164802740766699

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.9666083862437126
Position 69: 0.029537414612637914
Position 427: 0.003591536538902775
Position 418: 0.0016516863510014775
Position 86: 0.0010445568623824821
Position 74: 0.0009594753342539943
Position 138: 0.0007634720427161585
Position 671: 0.000439581094896986
Position 379: 0.00030425119177761463
Position 172: 0.00016172755706738326
Position 376: 0.00012769404062337226
Position 585: 0.00010760837058106623
Position 707: 9.700821352539679e-05
Position 66: 6.727084944667456e-05
Position 743: 6.488484007153097e-05
Position 230: 5.906641275039229e-05
Position 1089: 4.0717587991590256e-05
Position 190: 2.6952336524757803e-05
Position 286: 2.6587498581574028e-05
Position 1065: 2.197355494155234e-05
Position 548: 2.1192634665555997e-05
Position 884: 2.0613150066544038e-05
Position 891: 2.0333871892747213e-05
Position 177: 1.965922222175495e-05
Position 731: 1.5976739745381698e-05
Position 314: 1.5310239194093908e-05
Position 219: 1.2297792708721392e-05
Position 334: 1.1355023926994408e-05
Position 819: 9.834290078066887e-06
Position 149: 6.557524727658407e-06
Position 187: 6.323312785388855e-06
Position 182: 5.773269679845127e-06
Position 807: 5.322153536638069e-06
Position 573: 3.903792724009983e-06
Position 695: 2.946076424677152e-06
Position 464: 2.61713020745865e-06
Position 1023: 1.3160464912011944e-06
Position 960: 1.2178097735249436e-06
Position 870: 1.212468786763154e-06
Position 853: 8.309079965444118e-07
Position 640: 7.009016725563533e-07
Position 860: 6.875294741061489e-07
Position 938: 1.7800120810736563e-07
Position 893: 7.807730220368105e-08
Position 879: 6.394947983904156e-08
Position 824: 1.563271970879957e-11
Position 557: 1.6649479374416958e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9767530168428253
Position 203: 0.020982276161460936
Position 334: 0.003416665928382324
Position 187: 0.0021954327196687757
Position 800: 0.0007508523530674818
Position 416: 0.0006933836782491919
Position 565: 0.0002804700315947858
Position 532: 0.0001909251531255649
Position 241: 0.00018448022333492282
Position 1132: 0.00016776388216275888
Position 913: 8.440044119284822e-05
Position 596: 3.910412483020927e-05
Position 1007: 3.899494597415109e-05
Position 670: 3.8100371329503764e-05
Position 437: 2.1999443354302392e-05
Position 866: 9.62456199808618e-06
Position 649: 5.924434533783404e-06
Position 731: 5.738566107905773e-06
Position 661: 5.615458709811515e-06
Position 514: 4.7895635561319425e-06
Position 177: 4.459194738835775e-06
Position 764: 3.8019807100396876e-06
Position 637: 2.1609391056521927e-06
Position 118: 1.8405828881719106e-06
Position 156: 1.451759000863223e-06
Position 877: 1.386780773891565e-06
Position 356: 1.3404723066099967e-06
Position 679: 7.468634660911357e-07
Position 691: 4.896170618706674e-07
Position 640: 3.915227434683989e-07
Position 797: 2.1553643564746658e-07
Position 766: 1.7704813991491527e-07
Position 938: 1.237437636570319e-07
Position 138: 8.54186207226923e-09
