Gene = sowah
index = 1885
Annotated 5SS: [  231  1004  7644 24058 27140 28224 31255 31361 32153 32921 33993]
Annotated 3SS: [  341  7502 24045 27136 28220 31164 31354 32079 32395 33965 34053]
SMsplice 5SS: [  231  1004  7644 31255 32153 32486 33993]
SMsplice 3SS: [  341  7502 31164 31512 32395 33965 34053]
top_k =  500
Partition function (log Z): 5.478059485435573

Sorted 5' Splice Sites (High to Low Probability):
Position 231: 0.9906453752163147
Position 33993: 0.9718839662154627
Position 7644: 0.9400404030709073
Position 32153: 0.898972976586859
Position 1004: 0.8538746689384717
Position 32486: 0.8348922353386612
Position 31255: 0.7514772280031993
Position 20972: 0.32520883971164105
Position 31361: 0.25100160615656386
Position 21261: 0.21408117820563827
Position 33782: 0.17737089071981207
Position 4793: 0.08047860783421931
Position 7615: 0.05995959692909728
Position 2012: 0.05678500631767146
Position 32921: 0.04387913823633751
Position 1841: 0.030464797383459512
Position 1731: 0.02614072919001791
Position 34486: 0.025119790387897568
Position 32896: 0.018245314017030775
Position 170: 0.016711940378873188
Position 33551: 0.01592841621793065
Position 32114: 0.014017736517474727
Position 32978: 0.013613890769789302
Position 31892: 0.011205721444458833
Position 3778: 0.00925524269172991
Position 34261: 0.009131998534536554
Position 1975: 0.008387258158665565
Position 32692: 0.007468499714923035
Position 32490: 0.00744725282062444
Position 2271: 0.007092171611283733
Position 1307: 0.006439687042889704
Position 7214: 0.00631568291486044
Position 33180: 0.005430280860303798
Position 2920: 0.005120240098396689
Position 1120: 0.0051090998696984155
Position 14874: 0.0047422187379093554
Position 1967: 0.004365938706498927
Position 31365: 0.004257018282209196
Position 10988: 0.0042403836050903705
Position 637: 0.0036950517243085853
Position 32867: 0.0035960224401925473
Position 3668: 0.0034472257007457444
Position 32207: 0.0033104269409692626
Position 1213: 0.003222882430371035
Position 6971: 0.003033173821154494
Position 33440: 0.0025401414005921364
Position 31713: 0.002433758448987126
Position 34802: 0.002249023776975112
Position 1727: 0.0021996342913082364
Position 492: 0.0021106719692855305
Position 1735: 0.0020927106186178807
Position 34679: 0.0020260520106176036
Position 4563: 0.0019042258075542664
Position 32499: 0.0018987848054723801
Position 1754: 0.00182747743712127
Position 2016: 0.0018160317128754818
Position 6468: 0.0017696511696268006
Position 3619: 0.0016790359598081817
Position 1943: 0.001653917632358556
Position 32573: 0.001589823968083324
Position 461: 0.0015756924787951399
