Gene = bun
index = 1635
Annotated 5SS: [  202  6096  8866  8977 10337 30128 69497]
Annotated 3SS: [ 5710  7124  8929  9191 29425 69444 88387]
SMsplice 5SS: [  216 10337 88215]
SMsplice 3SS: [10199 87489 88387]
top_k =  500
Partition function (log Z): -96.21752655371326

Sorted 5' Splice Sites (High to Low Probability):
Position 10337: 0.999999925764118
Position 216: 0.44516743425804706
Position 202: 0.2768030975626127
Position 206: 0.2723087651195188
Position 11361: 0.0861888349106517
Position 310: 0.005607374236421186
Position 534: 3.450274519019133e-05
Position 969: 3.159259198185617e-05
Position 316: 2.5299843046209946e-05
Position 210: 2.1933643253874728e-05
Position 18037: 2.9498622251570187e-06
Position 11221: 7.242704419509408e-09
Position 6396: 1.4443951831900944e-12
Position 2795: 1.59516670560165e-13
Position 3209: 9.007753984515899e-14
Position 540: 8.305514097379741e-14
Position 1480: 7.187023786910853e-14
Position 417: 5.351177845997317e-14
Position 2003: 5.1709710776263595e-14
Position 943: 3.7096246706013346e-14
Position 2167: 3.0678482640337245e-14
Position 306: 2.712564834354012e-14
Position 222: 2.5167091670861064e-14
Position 3153: 2.51584438318118e-14
Position 73: 2.4962225874592307e-14
Position 1419: 2.4402756941485126e-14
Position 546: 1.7581809650656418e-14
Position 283: 1.6673244452496288e-14
Position 1135: 1.2872355387580647e-14
Position 253: 1.1411167674247268e-14
Position 528: 8.311624646073305e-15
Position 544: 4.737838782070014e-15
Position 237: 3.2559485167799888e-15
Position 249: 2.3484891823138815e-15
Position 368: 1.949240604398377e-15
Position 1226: 1.5397065272104989e-15
Position 105: 1.3123207656912165e-15
Position 2034: 9.256798109176317e-16
Position 247: 8.776487999229969e-16
Position 538: 4.794492787193044e-16
Position 1032: 4.639772412987697e-16
Position 1551: 4.537052717459154e-16
Position 422: 3.76367738347335e-16
Position 2275: 3.309506358535242e-16
Position 308: 3.0348222408034373e-16
Position 275: 2.889068715250012e-16
Position 287: 2.6044685542333126e-16
Position 42: 2.42368508105542e-16
Position 35: 2.0949304176457535e-16
Position 2162: 1.8134109304863455e-16
Position 978: 1.77958040247378e-16
Position 1697: 1.773052118067296e-16
Position 593: 1.3310912816852936e-16
Position 707: 1.2870989395430587e-16
Position 2290: 1.2002221243663112e-16
Position 641: 1.1632382425636184e-16
Position 627: 1.1292227713544544e-16
Position 1143: 1.1016850605942201e-16
Position 38: 1.0542972157976407e-16
Position 1125: 1.0498155114139863e-16
Position 1145: 1.0299179850781706e-16
Position 1141: 9.563486828671407e-17
Position 1147: 9.192232976622865e-17
Position 1149: 9.08216547430544e-17
Position 1151: 8.762223590555924e-17
Position 1161: 8.447772308815727e-17
Position 1139: 7.88743960740785e-17
Position 1131: 7.039820477512334e-17
Position 235: 5.837203855806303e-17
Position 285: 5.74135257003699e-17
Position 200: 5.449537733448396e-17
Position 12: 5.166249026381248e-17
Position 614: 4.778168398954598e-17
Position 228: 4.769288362926512e-17
Position 465: 4.3822595906537293e-17
Position 251: 3.676644906976961e-17
Position 214: 3.4871348652188394e-17
Position 532: 3.449475135788822e-17
Position 230: 2.7259986489747273e-17
Position 1180: 2.3964578578940752e-17
Position 1620: 2.1240348218107595e-17
Position 220: 2.0641340372065645e-17
Position 1137: 1.6501192772419057e-17
Position 648: 1.5758457361846185e-17
Position 498: 1.452457158637355e-17
Position 439: 1.1175970583219095e-17
Position 314: 1.1086215785861344e-17
Position 54: 1.0903335494282446e-17
Position 986: 1.065180297141081e-17
Position 241: 7.824163827781338e-18
Position 817: 1.62641441122983e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 26434: 0.9596267964857288
Position 10199: 0.8966970012620392
Position 11124: 0.04751775515522561
Position 9968: 0.04313027509720291
Position 9221: 0.039540388960620364
Position 10843: 0.027287569983858655
Position 25229: 0.02107337839677443
Position 9071: 0.02017341718051664
Position 23637: 0.00821438311138564
Position 11290: 0.005078961909629233
Position 23767: 0.0041378876525533705
Position 10641: 0.0037139007932387976
Position 23662: 0.0025501242663012683
Position 22811: 0.0015234148787409809
Position 22214: 0.0009488858445531024
Position 11271: 0.0009355608049400659
Position 22878: 0.0009073904868129139
Position 22277: 0.0005840974671742539
Position 10765: 0.0005834472321520904
Position 10948: 0.0005785195335677981
Position 10709: 0.0004932054505699618
Position 7148: 0.00045884359461225896
Position 20799: 0.00012130078342761337
Position 21150: 0.00012098130183056835
Position 20948: 0.0001010847960912435
Position 19181: 2.882861220694656e-05
Position 18319: 2.6056664212750857e-05
Position 19634: 1.6324706323177326e-05
Position 17905: 4.255972816994428e-06
Position 17796: 3.402634746440169e-06
Position 17315: 3.1923814871064432e-06
Position 18012: 2.4721569149191866e-06
Position 17819: 2.223721016484281e-06
Position 16580: 2.064562781323104e-06
Position 17392: 1.4696926208209674e-06
Position 13694: 7.284949106860022e-07
Position 16502: 5.164243345139472e-07
Position 16121: 3.2140164997330386e-07
Position 16614: 3.172573588019283e-07
Position 14780: 2.1288950870198415e-07
Position 13800: 1.0825468571646382e-07
Position 14811: 8.224733518347958e-08
Position 15209: 8.178373710480718e-08
Position 13879: 7.793351847875346e-08
Position 14841: 7.077940737909144e-08
Position 11789: 5.7822712035721744e-08
Position 12153: 5.642575189087253e-08
Position 13223: 3.8567174370306585e-08
Position 12644: 3.1706841911223956e-08
Position 13760: 2.218995486637832e-08
Position 14152: 2.09473663787015e-08
Position 12241: 1.7810612991779352e-08
Position 13811: 1.6999411680913598e-08
Position 13658: 1.297805651654882e-08
Position 13563: 1.2169561411967234e-08
Position 13146: 6.938313405948261e-09
Position 13107: 6.464080380238163e-09
Position 13393: 6.3903855332924796e-09
Position 12617: 6.344153765618171e-09
Position 11996: 4.931437662735044e-09
Position 13044: 3.353043185431404e-09
Position 12029: 2.3907568057095773e-09
Position 11880: 2.3311317337113857e-09
Position 12550: 2.3033861344444143e-09
Position 11476: 1.9257192820463434e-09
Position 10440: 1.6385041233609558e-09
Position 11906: 1.367276332543304e-09
Position 12077: 1.1004692667708253e-09
Position 10401: 3.646944878780833e-10
Position 10868: 3.618556614773693e-10
Position 10960: 3.5680463361071456e-10
Position 10393: 2.484063045902351e-10
Position 10456: 1.4737017681316037e-10
Position 10420: 1.461616362759403e-10
Position 6016: 1.574577367674559e-11
Position 5710: 1.4482926574894741e-11
Position 7124: 9.451070316178481e-12
Position 6926: 5.64216214789887e-12
Position 4568: 3.745875066996103e-12
Position 6050: 1.9793566218637793e-12
Position 2455: 1.6928473186383083e-12
Position 6458: 1.4443951831900867e-12
Position 5296: 1.085815281342272e-12
Position 783: 8.349488706851843e-13
Position 3277: 6.754802278205784e-13
Position 2273: 4.564780770774496e-13
Position 2433: 4.4701833028075707e-13
Position 3896: 3.746374648026867e-13
Position 3478: 3.5322108417001567e-13
Position 1277: 1.2503972031443967e-13
Position 2909: 1.2442092612735907e-13
Position 1744: 1.0932864132543645e-13
Position 2864: 9.589891503105487e-14
Position 4393: 7.822917239763976e-14
Position 4452: 7.485057843301184e-14
Position 1844: 5.307054285811346e-14
Position 3104: 4.631391191941522e-14
Position 486: 4.512262782824065e-14
Position 2951: 3.511269360201091e-14
Position 2170: 3.3712236488098166e-14
Position 1234: 3.2419271306626865e-14
Position 3814: 3.1921843104356384e-14
Position 641: 2.8946236297307155e-14
Position 1938: 2.7486706146192364e-14
Position 810: 2.4656606080308834e-14
Position 1508: 1.4986810841418288e-14
Position 1203: 1.3932766339135633e-14
Position 399: 1.2326799425297158e-14
Position 853: 1.1796436885297432e-14
Position 1511: 9.781324781030074e-15
Position 1824: 6.922123465429657e-15
Position 2033: 6.703679690661422e-15
Position 1028: 5.4199692642074004e-15
Position 2642: 3.76670304955987e-15
Position 1215: 3.702982881552186e-15
Position 272: 2.096737322300434e-15
Position 405: 4.544436592298148e-16
Position 278: 4.3395018796878015e-16
Position 936: 1.0237774375904912e-18
Position 917: 9.214914146323704e-19
Position 815: 1.4238298982739264e-19
Position 61: 9.436236158897068e-20
Position 563: 9.156849080658443e-20
Position 453: 6.570784262911152e-20
Position 422: 5.41116181384462e-20
