Gene = CdGAPr
index = 1061
Annotated 5SS: [  119   613  9462 10791 12483 12865 14801]
Annotated 3SS: [  540  9056  9516 10856 12548 12935 14861]
SMsplice 5SS: [  119  9462 10624 10791 12483 12865 14801]
SMsplice 3SS: [ 9056  9516 10702 10856 12551 12935 14861]
top_k =  500
Partition function (log Z): 5.883809403651632

Sorted 5' Splice Sites (High to Low Probability):
Position 9462: 0.9978854453902584
Position 10791: 0.9977769150648045
Position 12483: 0.9912805557533553
Position 12865: 0.962683250484154
Position 14801: 0.9313255937251439
Position 10624: 0.8239519995884748
Position 119: 0.3532238142463844
Position 11465: 0.27639028518046477
Position 613: 0.1950036982567864
Position 167: 0.1628566253509563
Position 888: 0.14670175493150178
Position 12706: 0.1353901753596091
Position 12155: 0.11791675111197898
Position 11141: 0.09130352831142599
Position 9656: 0.07250623605639023
Position 186: 0.046405340506246055
Position 68: 0.04288868371396566
Position 4342: 0.0405822496094666
Position 16034: 0.038078867680320524
Position 4337: 0.030745739710879544
Position 403: 0.028790162869759238
Position 10192: 0.028021963689034618
Position 11522: 0.028010188716815945
Position 13839: 0.027307588083367862
Position 1235: 0.02321591705465319
Position 10033: 0.02301730902207189
Position 9798: 0.019130214985256317
Position 13377: 0.01697578409798991
Position 5514: 0.016745639465154647
Position 348: 0.016635879878111357
Position 10001: 0.014400244867211677
Position 14110: 0.012178633576827231
Position 171: 0.011641115556798108
Position 14640: 0.01162536599795201
Position 8697: 0.011529758049653007
Position 4404: 0.010695716321814847
Position 16061: 0.01023376132913316
Position 200: 0.009886341431453012
Position 6674: 0.009832167501470477
Position 9671: 0.009493519691668652
Position 11740: 0.008662518118896491
Position 6670: 0.008131294324776868
Position 222: 0.007373749398436068
Position 10592: 0.007266298569733973
Position 10310: 0.007218719367645986
Position 1209: 0.006783441225387805
Position 10445: 0.00585980219104337
Position 123: 0.004993391746773291
Position 731: 0.004750303271361913
Position 6104: 0.004715169530464139
Position 177: 0.00467418960278837
Position 983: 0.004641987534736588
Position 277: 0.004569767703413529
Position 175: 0.004347465892869832
Position 10096: 0.004326706871489773
Position 13135: 0.004172574642731056
Position 6610: 0.0041217249785655
Position 204: 0.003887765924250957
Position 5729: 0.0037949905545309045
Position 9581: 0.0034793901799379016
Position 11581: 0.003391679652048693
Position 4902: 0.00324195057439594
Position 10644: 0.0031902861715146307
Position 13139: 0.003126108510707648
Position 15791: 0.0029843388127012223
Position 13229: 0.0028276229455967035
Position 609: 0.002767914883390697
Position 617: 0.002440852531159173
Position 15020: 0.002373956468185907
Position 100: 0.00236181715334254
Position 9612: 0.0021084115623456468
Position 12809: 0.002090080230537226
Position 80: 0.0019393562511214094
Position 14028: 0.0018740989274030877
Position 173: 0.0018591773141943934
Position 10795: 0.0017855153575849169
Position 12657: 0.0017245037959745003
Position 16266: 0.0015665037148917765
Position 10237: 0.0015051417594038343
Position 9600: 0.0014508530736515074
Position 9894: 0.0013068788157593813
Position 747: 0.0012753927444085656
Position 735: 0.0012336344303729516
Position 743: 0.001133596954000601
Position 9632: 0.0010757229864117985
Position 15779: 0.0010368536840524223
Position 12013: 0.0009234540539346111
Position 13398: 0.0008663374169002241
Position 739: 0.0008604695466557948
Position 12487: 0.0007761860973265884
Position 13059: 0.0006770307443662002
Position 14348: 0.0006755841351404793
Position 9466: 0.0005768044432224741
Position 11681: 0.0005388015153159833
Position 9469: 0.0004811583297258968
Position 11905: 0.0004692669510489785
Position 9905: 0.00043346693336442045
Position 13407: 0.00042927499306280787
Position 15932: 0.0003812797914779128
Position 13705: 0.0003572546575846458
Position 13365: 0.00034891550113853994
Position 11434: 0.00034755101259257697
Position 14554: 0.00029820018675964446
Position 10628: 0.0002598186037114825
Position 12698: 0.00018179047382738093
Position 549: 0.00015553649486850675
Position 254: 0.00015298064251927857
Position 551: 0.0001494985955757499
Position 9160: 0.00014667053787114368
Position 12964: 0.00013251939310597585
Position 10579: 0.0001229389809016242
Position 9444: 0.00011868976961594641
Position 9102: 0.00011635211242795018
Position 13157: 0.0001055272205231753
Position 13094: 0.0001030459339836892
Position 9585: 9.653537531088789e-05
Position 578: 9.293736077348743e-05
