Gene = Taf12L
index = 1543
Annotated 5SS: [209]
Annotated 3SS: [268]
SMsplice 5SS: [209]
SMsplice 3SS: [268]
top_k =  500
Partition function (log Z): -5.612240615838568

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9936306621585708
Position 339: 0.005781205434983355
Position 213: 0.0029284089373338017
Position 170: 0.002808815441220617
Position 550: 0.0010581468688630386
Position 518: 0.0008241068112608875
Position 184: 0.000310614784882734
Position 398: 7.275057188826441e-05
Position 428: 2.5771507551360906e-05
Position 564: 2.3768146441892216e-05
Position 448: 2.242708403878422e-05
Position 574: 2.2347515102345876e-05
Position 24: 1.794571070802601e-05
Position 466: 1.6810442233900765e-05
Position 412: 1.1678769312262912e-05
Position 496: 1.1306929719697054e-05
Position 250: 9.982860502759985e-06
Position 478: 7.708155361800476e-06
Position 534: 4.236704657485476e-06
Position 403: 2.3536595589352663e-06
Position 434: 2.281412025018524e-06
Position 123: 1.5298871796935276e-06
Position 374: 1.4439110466471282e-06
Position 149: 1.3082607071243954e-06
Position 40: 8.606232610678767e-07
Position 188: 4.411233319190437e-07
Position 76: 2.3878505272620987e-07
Position 299: 9.359430066003687e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 268: 0.9754587355839616
Position 304: 0.021997603167517293
Position 398: 0.005926268770346547
Position 629: 0.002023436574860132
Position 280: 0.0007630432561168529
Position 578: 0.0005699701248978868
Position 232: 0.0005245327080785567
Position 403: 0.00015047656669687896
Position 582: 4.984819162974833e-05
Position 338: 4.7172607298349875e-05
Position 460: 2.2409662095501097e-05
Position 506: 1.74869132898399e-05
Position 357: 1.0762905243255374e-05
Position 521: 9.157592839669593e-06
Position 66: 8.494237233833315e-06
Position 105: 5.387944381934476e-06
Position 362: 4.931082088217218e-06
Position 412: 3.0040157148432797e-06
Position 88: 2.637530102646371e-06
Position 432: 1.205856325968496e-06
Position 421: 9.057833522357685e-07
Position 448: 8.093290682753993e-07
Position 590: 7.803374475212242e-07
Position 123: 1.4819401989446637e-07
Position 132: 2.4289757741157733e-08
Position 137: 9.540330036130917e-09
Position 184: 1.2875691865476418e-09
Position 157: 9.168382024961974e-10
Position 114: 5.331741575261242e-10
Position 144: 5.202776519821319e-10
Position 160: 5.78413009290833e-11
Position 201: 7.696794420931104e-12
Position 154: 1.7604022162566077e-12
Position 178: 1.0324762234767038e-12
Position 90: 1.0407665245751101e-13
Position 164: 7.488030340482813e-14
Position 168: 3.290741757017647e-14
Position 180: 5.9812229737511855e-18
