Gene = Nf-YA
index = 1316
Annotated 5SS: [144]
Annotated 3SS: [300]
SMsplice 5SS: [144]
SMsplice 3SS: [1977]
top_k =  500
Partition function (log Z): -8.429932101988244

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.5279255235013597
Position 220: 0.2556019998290529
Position 300: 0.09286270926161222
Position 186: 0.06368772943562669
Position 38: 0.053337716397359666
Position 215: 0.03270477169055143
Position 181: 0.011889340063690414
Position 759: 0.009000060985218498
Position 1588: 0.00856212395654737
Position 600: 0.00220782512559606
Position 304: 0.0019161233454521932
Position 17: 0.0018298162693970422
Position 543: 0.00171864659624267
Position 1900: 0.0013883001422612055
Position 990: 0.0012914952393920241
Position 1251: 0.0009761847629663798
Position 306: 0.0008528192477879464
Position 326: 0.0008456357011155383
Position 1017: 0.0007684518892685526
Position 308: 0.000504450433605224
Position 2069: 0.0002828439336305136
Position 664: 0.00023103947185070298
Position 1792: 0.0002273466179885864
Position 212: 0.00021054928074749365
Position 900: 0.0001972614706631717
Position 141: 0.00015321204086558377
Position 682: 0.00014732563047933502
Position 1074: 0.00014019864006696033
Position 541: 0.00013903914570901311
Position 1273: 0.00013457015677953874
Position 1612: 0.00012585585295473665
Position 1265: 0.00011384028090774114
Position 190: 0.00010424855158969255
Position 4: 0.00010252671316683558
Position 1122: 9.56488217245411e-05
Position 1131: 8.834556088688253e-05
Position 237: 2.1005314399474252e-05
Position 6: 1.8433657172862208e-05
Position 1337: 4.008986393920195e-06
Position 75: 1.4952387005130757e-06
Position 90: 1.3797328138479357e-06
Position 312: 7.03805318325851e-07
Position 148: 1.8288625155003199e-07
Position 229: 9.55490515163321e-08
Position 310: 6.82175577439959e-08
Position 260: 5.4413613720460826e-08
Position 124: 3.2322609634801607e-11
Position 107: 1.631221322342063e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1977: 0.5756311680774485
Position 300: 0.15663219911602164
Position 391: 0.13349725688916358
Position 97: 0.054579267152261676
Position 1986: 0.039569431545186724
Position 1782: 0.03954051787401546
Position 1935: 0.01156864055905606
Position 1879: 0.010912170921994358
Position 400: 0.005932710598437255
Position 1412: 0.004979591353952766
Position 1743: 0.004320490458427749
Position 656: 0.0031216045064678998
Position 831: 0.0030111500377611737
Position 710: 0.0024341357582791773
Position 325: 0.0022596631040144423
Position 1914: 0.0021515595747739944
Position 797: 0.0020585479756041578
Position 206: 0.0018131135700763
Position 371: 0.001732836713027957
Position 974: 0.001636421075663296
Position 2041: 0.0015337249910260056
Position 304: 0.0015079425779678639
Position 349: 0.0013088896908446418
Position 1292: 0.0012977959850363643
Position 411: 0.0011161266637920964
Position 731: 0.0009720770774200223
Position 1061: 0.0007891069382911293
Position 2101: 0.0007430774458398693
Position 345: 0.0007307297508955114
Position 421: 0.0006377838721172104
Position 1058: 0.0005337897814857593
Position 2186: 0.0005317407286314491
Position 662: 0.00027647174427229926
Position 237: 0.00027500321460155957
Position 190: 0.00023387314734793014
Position 212: 0.00021882004416820067
Position 945: 0.0002142195259435874
Position 896: 0.00017908261596363871
Position 1721: 0.00013583527067566429
Position 1957: 0.0001269544802175407
Position 600: 0.00012544115882091603
Position 1204: 0.00011980501761391497
Position 2189: 0.0001162792749117228
Position 2148: 0.00010196172176346054
Position 2057: 0.00010023713562310079
Position 978: 9.905380617861216e-05
Position 1265: 9.705825995132174e-05
Position 541: 9.199885597611935e-05
Position 956: 8.830035102706042e-05
Position 1883: 8.205762300187751e-05
Position 224: 7.221353991524745e-05
Position 2024: 6.818196690380949e-05
Position 1097: 5.557600020036305e-05
Position 219: 5.1313090764405074e-05
Position 1085: 4.940883427250752e-05
Position 1174: 4.075470374885366e-05
Position 2116: 3.818461251607106e-05
Position 496: 3.476825340198888e-05
Position 653: 3.4362163424706914e-05
Position 200: 3.4230981355502966e-05
Position 245: 3.356443554903366e-05
Position 1100: 3.3455003450131366e-05
Position 858: 2.8205098411461528e-05
Position 555: 2.6756379375048607e-05
Position 782: 2.251688524082213e-05
Position 117: 1.4831491045114419e-05
Position 137: 4.7497955914897346e-06
Position 56: 1.8572359535158364e-06
Position 47: 3.4075675034782625e-07
Position 141: 5.958936036531179e-09
Position 161: 5.888671088671122e-09
Position 158: 4.776138133026377e-09
Position 170: 3.6240775157265263e-10
Position 176: 3.85880971926394e-11
Position 148: 2.7717093537502868e-11
Position 165: 6.517796339481009e-13
