Gene = Aprt
index = 23
Annotated 5SS: [329 697]
Annotated 3SS: [458 770]
SMsplice 5SS: [697]
SMsplice 3SS: [770]
top_k =  500
Partition function (log Z): -3.478655172468923

Sorted 5' Splice Sites (High to Low Probability):
Position 697: 0.9510025031690931
Position 329: 0.5121375658569767
Position 416: 0.07996257127852012
Position 180: 0.0740501002726432
Position 692: 0.043031617678452545
Position 885: 0.011151041105152533
Position 349: 0.008681780750660496
Position 166: 0.005727299416644818
Position 427: 0.003644428252218402
Position 123: 0.0031125213099344206
Position 155: 0.002429232069483348
Position 687: 0.001405916630517268
Position 980: 0.0010885970350724117
Position 989: 0.001036999005770442
Position 963: 0.0009574557469114965
Position 419: 0.0006539728278151202
Position 1001: 0.0004235233569008116
Position 425: 0.0003206485413910239
Position 553: 0.000280872278231807
Position 701: 0.00027870218359317173
Position 202: 0.00026625623758853254
Position 187: 0.00021316109098832035
Position 138: 0.0001554700050608753
Position 536: 0.00010290987133653016
Position 559: 8.581569116591288e-05
Position 494: 7.688742675108187e-05
Position 273: 7.242430851138962e-05
Position 58: 6.700340935522052e-05
Position 847: 6.168527164850629e-05
Position 51: 4.248166938199891e-05
Position 661: 4.01465918532053e-05
Position 372: 3.848470719948327e-05
Position 226: 3.691419568530494e-05
Position 293: 2.154004364066981e-05
Position 333: 1.1567161032620506e-05
Position 323: 7.087884242903798e-06
Position 927: 5.683228005185478e-06
Position 498: 5.248817734580952e-06
Position 912: 5.019968822784814e-06
Position 517: 3.918795594595559e-06
Position 664: 3.6499629654980003e-06
Position 118: 1.7152810213864495e-06
Position 940: 1.5633224686627439e-06
Position 458: 9.067480131462421e-07
Position 60: 2.1839891961874576e-07
Position 670: 1.317355779787219e-08
Position 623: 3.6236673711572218e-09
Position 816: 1.044945373008954e-09
Position 439: 8.993359467813108e-10
Position 339: 2.9771342503269005e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9922363144395748
Position 601: 0.35206686256046654
Position 489: 0.18273768766728346
Position 250: 0.06055686396683539
Position 458: 0.05967760549857453
Position 415: 0.020361332191753387
Position 229: 0.008169197591704529
Position 1135: 0.004504908525954454
Position 1107: 0.004504243945240199
Position 1061: 0.003356921205278871
Position 536: 0.0027955334288386445
Position 803: 0.0026838558749318273
Position 226: 0.0019241583122785084
Position 1041: 0.0018103345415927056
Position 840: 0.001166261079725368
Position 846: 0.0008600507582118891
Position 1214: 0.0005052447067545044
Position 311: 0.0004300158635656947
Position 1202: 0.00032359092985524544
Position 1195: 0.00022743304425498079
Position 472: 0.00019453841106379356
Position 884: 0.00018320212085398983
Position 552: 0.00017258054376386987
Position 314: 0.0001297119701248801
Position 740: 0.00011035524475875826
Position 980: 0.00010391853763175267
Position 816: 0.00010070197840104147
Position 356: 0.00010008975907700439
Position 284: 9.432452662756816e-05
Position 642: 9.047728313272242e-05
Position 733: 7.335939829021036e-05
Position 1065: 7.17328009372468e-05
Position 103: 6.40414651875572e-05
Position 639: 4.7377103636766395e-05
Position 202: 4.588229378489804e-05
Position 258: 4.1721969518350004e-05
Position 1009: 4.0790096144936624e-05
Position 372: 3.933661933401298e-05
Position 187: 1.643881755251318e-05
Position 938: 1.4649707692186665e-05
Position 278: 1.4244093199740581e-05
Position 949: 1.0836508199813762e-05
Position 138: 9.180594697357213e-06
Position 115: 7.539893698153452e-06
Position 280: 7.46171907712565e-06
Position 609: 4.7127193530661135e-06
Position 546: 4.094128366415243e-06
Position 927: 3.257702522553554e-06
Position 263: 3.058597577701647e-06
Position 348: 1.8111543429262958e-06
Position 648: 1.5735256199257741e-06
Position 293: 1.503109500546169e-06
Position 166: 1.2779769785099753e-06
Position 687: 3.1094109715045916e-07
Position 170: 2.7346959042468694e-07
Position 267: 2.726768186245428e-07
Position 333: 3.7490545260915945e-08
Position 158: 3.312482894297086e-08
Position 238: 9.599728927555746e-10
Position 782: 4.2339555445209795e-10
Position 363: 3.6675783596023263e-11
