Gene = ND-B17
index = 1300
Annotated 5SS: [357 529]
Annotated 3SS: [ 426 1226]
SMsplice 5SS: [357 529]
SMsplice 3SS: [ 426 1226]
top_k =  500
Partition function (log Z): 1.6177936426860156

Sorted 5' Splice Sites (High to Low Probability):
Position 357: 0.9866373691847348
Position 529: 0.9790330464202294
Position 891: 0.19295365143303864
Position 862: 0.05779430327971211
Position 533: 0.009144428091082502
Position 1424: 0.008953694141158035
Position 370: 0.006693961035086653
Position 772: 0.003227168608267631
Position 878: 0.0030666580542406266
Position 330: 0.0022253292170909236
Position 516: 0.0020289856027464084
Position 802: 0.0013938646198662552
Position 264: 0.0013130441798897632
Position 1027: 0.0012828582422563988
Position 624: 0.0012713337653910632
Position 1401: 0.001149507129184455
Position 704: 0.0011179755544887032
Position 374: 0.0008923369993546797
Position 1415: 0.0008880500450812301
Position 642: 0.000748896569207969
Position 147: 0.0005154484490667909
Position 1536: 0.0004615376365172787
Position 553: 0.00044342883847484565
Position 812: 0.0004381794650453379
Position 582: 0.00038802996285395593
Position 570: 0.0003868964792098055
Position 1014: 0.0002621179606703717
Position 960: 0.00023684361885794344
Position 1005: 0.0001546550988313982
Position 595: 0.00011735796079548314
Position 1045: 0.00011613064493920541
Position 610: 7.495844129128652e-05
Position 735: 7.486385785441652e-05
Position 361: 7.373601171878753e-05
Position 1530: 6.760169645854813e-05
Position 937: 6.478574649977158e-05
Position 1036: 5.3729797639390925e-05
Position 1664: 4.7401996866619615e-05
Position 381: 4.486050529156467e-05
Position 175: 4.4499925600627125e-05
Position 339: 3.728260150658572e-05
Position 540: 3.0691457622502204e-05
Position 604: 2.9935542173652986e-05
Position 1635: 2.8583411257279856e-05
Position 105: 2.7880690935893048e-05
Position 1677: 2.1164135162396526e-05
Position 165: 1.950922211351125e-05
Position 1305: 1.9184405686325683e-05
Position 982: 1.730792057865553e-05
Position 1030: 1.587250650116978e-05
Position 900: 1.4528970817065127e-05
Position 1088: 1.4470439957461977e-05
Position 29: 1.3240227340650224e-05
Position 800: 1.2507333694500389e-05
Position 1612: 1.127248516086775e-05
Position 928: 1.1226916064847165e-05
Position 50: 5.0848670863595516e-06
Position 364: 3.282283612459245e-06
Position 1574: 2.7260919476904896e-06
Position 80: 2.048398805921722e-06
Position 224: 1.8659669568076072e-06
Position 1274: 1.1654394358393204e-06
Position 1502: 1.16202149230373e-06
Position 135: 7.835920197183937e-07
Position 115: 5.50875186842189e-07
Position 12: 4.6788803443356033e-07
Position 367: 4.331911496797755e-07
Position 351: 4.1094997758039347e-07
Position 112: 3.372833373576122e-07
Position 56: 1.7857886289783812e-07
Position 7: 1.3752233467015444e-07
Position 95: 6.177758468000488e-08
Position 448: 4.935169411627324e-08
Position 66: 4.921632047986121e-08
Position 628: 4.590022685951718e-08
Position 1056: 4.289312720939446e-08
Position 1094: 4.274171915461515e-08
Position 969: 4.184254128559337e-08
Position 974: 4.0078170217556897e-08
Position 790: 2.7457997189641428e-08
Position 441: 1.8506500840595306e-08
Position 646: 1.5371527561113533e-08
Position 23: 1.011929355859814e-08
Position 389: 3.3831202176625612e-09
Position 644: 1.0026485281951065e-09
Position 194: 7.394101718515808e-10
Position 411: 1.873066774323058e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.9977185529393173
Position 1226: 0.9016080061488762
Position 624: 0.24234987635856475
Position 653: 0.03318990721971325
Position 1200: 0.016650363852468077
Position 777: 0.0164424347007506
Position 1274: 0.015031613265374593
Position 1481: 0.011006577097316084
Position 628: 0.008397350326057115
Position 735: 0.005109871505686902
Position 992: 0.0033712390314598667
Position 637: 0.0027235620279194277
Position 604: 0.0017619720981658623
Position 1730: 0.0015225049431495292
Position 1271: 0.001427357608416993
Position 1649: 0.0011255207557102603
Position 1160: 0.0010840806049098794
Position 668: 0.0010672409832439393
Position 1084: 0.0009784754644053364
Position 1137: 0.0007627635121001808
Position 937: 0.0006609833768426564
Position 1071: 0.0005482156276688603
Position 435: 0.0004568238874067099
Position 1241: 0.0003064356409333651
Position 329: 0.00014628458630093618
Position 1110: 0.00012039629452801044
Position 1304: 0.00011617725654896401
Position 1601: 0.0001002402867190627
Position 224: 9.162236429941218e-05
Position 642: 7.648909526821231e-05
Position 1094: 7.244497657889434e-05
Position 895: 3.69145626385026e-05
Position 1487: 2.600023144567043e-05
Position 1535: 2.1265784423230666e-05
Position 203: 1.8432677401386794e-05
Position 1088: 1.478945300027943e-05
Position 1027: 1.4379596597573202e-05
Position 108: 1.3759442656094198e-05
Position 1000: 1.0186711937689605e-05
Position 1036: 8.998913342606237e-06
Position 402: 8.058669326428036e-06
Position 389: 7.168572698380655e-06
Position 80: 4.600268562399753e-06
Position 263: 4.2762459396768095e-06
Position 239: 3.902855054436276e-06
Position 1689: 3.3402439359880225e-06
Position 1682: 3.3281474348382957e-06
Position 468: 2.4261891786003254e-06
Position 233: 9.244904541710591e-07
Position 140: 3.8820418126010505e-07
Position 302: 3.649719391662924e-07
Position 242: 2.132066122962242e-07
Position 206: 8.8713073112494e-08
Position 284: 2.6650025687428003e-08
Position 570: 1.8396303042528444e-08
Position 361: 9.146911878039375e-09
Position 405: 7.2404596569690785e-09
Position 278: 5.531390860517313e-09
Position 516: 4.312017711634474e-09
Position 525: 3.393667960424047e-09
Position 179: 2.188105904738843e-09
Position 173: 1.2051762443077769e-09
