Gene = ORMDL
index = 1340
Annotated 5SS: [257 465]
Annotated 3SS: [312 681]
SMsplice 5SS: [257 465]
SMsplice 3SS: [312 681]
top_k =  500
Partition function (log Z): -0.12754796022727644

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.9856190069229692
Position 465: 0.5340787006700415
Position 500: 0.45421920684599143
Position 20: 0.01761288347641651
Position 823: 0.010954339612206765
Position 622: 0.004526941377713423
Position 415: 0.0026840692363226267
Position 469: 0.0023250061145077784
Position 617: 0.0013587462412418848
Position 477: 0.0002916025233269475
Position 283: 0.0002745184469139274
Position 811: 0.0002557295700274805
Position 438: 0.00024351559771752907
Position 486: 0.00019950392137743677
Position 8: 0.00011856217092557482
Position 504: 8.895822776087286e-05
Position 460: 8.864742540943627e-05
Position 63: 5.817727178858451e-05
Position 175: 4.191656710985991e-05
Position 572: 2.3381201179858934e-05
Position 135: 2.2310810428995344e-05
Position 179: 2.07696917262905e-05
Position 209: 1.8508856776865552e-05
Position 595: 1.1268181501690621e-05
Position 261: 8.278451618279421e-06
Position 788: 4.873874381421312e-06
Position 383: 3.805385525925541e-06
Position 603: 1.7991891225005484e-06
Position 46: 1.307324668441003e-06
Position 562: 9.598587933773896e-07
Position 200: 5.238776868580306e-07
Position 451: 2.6584029356721165e-07
Position 37: 2.0913263519374452e-07
Position 48: 1.9287526608736332e-07
Position 796: 1.6357875550993908e-07
Position 554: 1.4330229943637726e-07
Position 275: 1.1839868528393648e-07
Position 778: 1.0896412988850061e-07
Position 696: 6.100670527227744e-08
Position 321: 5.9472876497155545e-08
Position 287: 5.466431267463112e-08
Position 700: 4.681680863544619e-08
Position 85: 6.604775112056511e-09
Position 334: 4.757467568983928e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.9825046204855991
Position 681: 0.9567640196401305
Position 603: 0.029812310610615067
Position 75: 0.012879337731338808
Position 888: 0.011322364348246499
Position 651: 0.010956265936311155
Position 62: 0.004405381195251783
Position 342: 0.003230546988302564
Position 572: 0.001225872010454589
Position 536: 0.0010625442629740782
Position 769: 0.0005265357827868662
Position 617: 9.745281831631426e-05
Position 123: 9.472641199324589e-05
Position 200: 9.421307097141488e-05
Position 213: 6.271719045144097e-05
Position 778: 6.105616616836083e-05
Position 155: 2.3998567121502804e-05
Position 366: 1.4827151527818264e-05
Position 817: 4.405662225626051e-06
Position 257: 3.853106680342453e-06
Position 469: 3.811558822969935e-06
Position 402: 2.3704509663624643e-06
Position 377: 2.190339597609929e-06
Position 811: 1.5821244002129873e-06
Position 420: 8.997643623505908e-07
Position 448: 4.891197172042291e-07
Position 486: 2.92955780189973e-07
Position 499: 2.6451929966157163e-07
Position 98: 1.1657677506125418e-07
Position 135: 8.858919063940912e-08
Position 359: 7.247595866811101e-08
Position 109: 1.413286462329599e-08
Position 280: 7.169506721405388e-09
Position 438: 1.1351720463625718e-09
Position 261: 6.526202205365015e-12
Position 287: 6.224353508240914e-14
Position 283: 1.3088643947786568e-18
