Gene = Acp26Aa
index = 8
Annotated 5SS: [59]
Annotated 3SS: [114]
SMsplice 5SS: [59]
SMsplice 3SS: [114]
top_k =  500
Partition function (log Z): -5.406296678943166

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.997344585584051
Position 347: 0.05877281010312093
Position 570: 0.03220587797619791
Position 181: 0.004754899802828025
Position 676: 0.004344811002858014
Position 476: 0.004184139835065692
Position 196: 0.0025873793274981093
Position 145: 0.0021147765355019202
Position 691: 0.0015371184510292275
Position 261: 0.0014030449226466553
Position 922: 0.000397065461080872
Position 878: 0.0002662345968320798
Position 754: 0.00026004107999914915
Position 213: 0.00025891980128521573
Position 499: 0.00020464258601929944
Position 451: 0.0001924369587674936
Position 738: 7.366161912040899e-05
Position 578: 3.0626342255448816e-05
Position 722: 2.249506931652315e-05
Position 63: 1.3747778840716608e-05
Position 892: 1.2034114969298268e-05
Position 929: 7.434576741646093e-06
Position 828: 4.050960192302689e-06
Position 612: 1.4631578314222583e-06
Position 685: 5.668412152097375e-07
Position 99: 9.210455697502047e-08
Position 129: 2.6548175252288333e-08
Position 109: 1.278042228522756e-09
Position 114: 5.920136191444741e-10
Position 662: 1.821443042191934e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.6080853993186867
Position 129: 0.36315164362495694
Position 402: 0.0816135380676258
Position 622: 0.03596087247183423
Position 346: 0.00610952172900703
Position 408: 0.003726067609501929
Position 780: 0.0024592606916243147
Position 981: 0.0021979784854313294
Position 594: 0.002012473480335509
Position 728: 0.001702398492959766
Position 1010: 0.001420601478008133
Position 543: 0.0004155172040097434
Position 165: 0.0004022131853188173
Position 722: 0.00021197456202548044
Position 426: 0.00020664315770587538
Position 537: 0.00018136983726022306
Position 908: 0.00014113148612297335
Position 451: 0.00011264988822717623
Position 662: 0.0001064425659567412
Position 196: 0.00010269214873552077
Position 878: 0.00010163325898198085
Position 570: 9.195235894178355e-05
Position 438: 8.378255843623755e-05
Position 816: 7.31927526888859e-05
Position 787: 6.032345118585324e-05
Position 239: 4.235497654003137e-05
Position 224: 3.637754439908104e-05
Position 691: 2.893001137524678e-05
Position 578: 2.236823284950803e-05
Position 264: 2.0266979296090884e-05
Position 364: 1.9602343092664928e-05
Position 136: 1.4786865027603308e-05
Position 473: 1.0286726214201382e-05
Position 742: 9.779651584882028e-06
Position 732: 9.5933220934862e-06
Position 181: 8.804229113462598e-06
Position 913: 7.293758041312108e-06
Position 671: 6.978437231572012e-06
Position 461: 6.5730232841871525e-06
Position 249: 5.542729896071313e-06
Position 794: 4.713030608155602e-06
Position 145: 3.7391226918672357e-06
Position 855: 3.0868743042489413e-06
Position 939: 1.4954149916361852e-06
Position 284: 4.4342423116969424e-07
Position 255: 3.8225700541273446e-07
Position 273: 2.271167085101303e-07
Position 491: 8.482364991069364e-08
Position 233: 3.9885015458280044e-10
Position 149: 3.1547617426920514e-11
