Gene = morgue
index = 1793
Annotated 5SS: [217]
Annotated 3SS: [278]
SMsplice 5SS: [217]
SMsplice 3SS: [278]
top_k =  500
Partition function (log Z): -3.351918630417272

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.992383357525361
Position 1341: 0.012456800806898653
Position 193: 0.0070671588556822105
Position 477: 0.0009220794884014126
Position 14: 0.000736821009345505
Position 221: 0.0005344415879992699
Position 21: 0.00039225998017558084
Position 1544: 0.00031911852487229414
Position 1140: 0.00024083338259536856
Position 846: 0.00020371803866721434
Position 1586: 0.00015497560024465328
Position 1577: 9.153838107561256e-05
Position 1449: 8.12027456625606e-05
Position 1646: 4.9724327039695184e-05
Position 1289: 4.3496226441850234e-05
Position 1165: 2.209800585234527e-05
Position 1557: 2.1255302668263464e-05
Position 1025: 1.843523034509239e-05
Position 1016: 1.3048976746986167e-05
Position 1671: 8.9835202186157e-06
Position 962: 5.6704210095085554e-06
Position 1689: 5.412040417119096e-06
Position 1701: 5.238061340817076e-06
Position 1345: 4.957535665036372e-06
Position 362: 2.5382589045104355e-06
Position 1668: 2.508819494160756e-06
Position 994: 1.9779923901774653e-06
Position 525: 1.9377110558918487e-06
Position 700: 1.2939898934256922e-06
Position 1392: 1.2172724532451183e-06
Position 236: 9.74832402508333e-07
Position 297: 9.188565755194949e-07
Position 25: 8.838309939691638e-07
Position 437: 6.920834028671092e-07
Position 903: 6.371643043586791e-07
Position 638: 4.838797661652896e-07
Position 68: 4.435668513481872e-07
Position 338: 2.909842162997166e-07
Position 40: 2.2484937957004516e-07
Position 898: 5.315072951106023e-08
Position 825: 4.0089666922849506e-08
Position 805: 3.221895315725024e-08
Position 52: 3.072837955487008e-08
Position 1217: 2.5752621787366637e-08
Position 1087: 1.9057978500874915e-08
Position 953: 1.7034408996768096e-08
Position 609: 1.5181478618305516e-08
Position 986: 9.50252860735897e-09
Position 63: 8.751351660278474e-09
Position 1081: 6.039101426294195e-09
Position 927: 2.1903746579608813e-09
Position 840: 1.9489150098928717e-09
Position 887: 1.5728506661337687e-09
Position 283: 1.4622427628061585e-09
Position 1440: 1.1740130290533212e-09
Position 1270: 9.528528530400709e-10
Position 588: 7.079534197075602e-10
Position 1298: 5.564344653343367e-10
Position 85: 4.554672384202923e-10
Position 140: 3.4616381040438196e-10
Position 1484: 3.208693188749767e-10
Position 1424: 2.2942566859944627e-10
Position 117: 2.206755243741264e-10
Position 299: 3.4701152603332915e-12
Position 335: 2.455436745588752e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 278: 0.998509812489756
Position 1415: 0.006040762504925334
Position 1412: 0.005710218332637454
Position 548: 0.0011125965115125263
Position 80: 0.0010531270294609305
Position 283: 0.0009238838571224612
Position 1696: 0.0006631118742498847
Position 1466: 0.0003799655003490142
Position 1757: 0.00028082832679594426
Position 1494: 0.0002471687903572014
Position 374: 0.00022329867261472133
Position 1341: 0.00016427862951512822
Position 91: 7.234816988394683e-05
Position 1610: 5.88307466057419e-05
Position 1244: 5.7129439711241276e-05
Position 1613: 5.084435184817363e-05
Position 1186: 4.7656453337156936e-05
Position 911: 3.455097985127717e-05
Position 1701: 2.8682584952854784e-05
Position 262: 2.800115436244377e-05
Position 1535: 1.9578008779068335e-05
Position 898: 1.9433374419725085e-05
Position 1270: 8.96944240199061e-06
Position 1199: 7.049146852835399e-06
Position 994: 6.403458753254541e-06
Position 566: 6.380979181725984e-06
Position 1002: 5.058432757117434e-06
Position 974: 4.789406702927466e-06
Position 605: 4.184623415414606e-06
Position 1170: 3.760354147236176e-06
Position 588: 3.5622946088522647e-06
Position 1543: 3.4206437227017095e-06
Position 698: 2.7684953533076316e-06
Position 1100: 2.5460421423988683e-06
Position 443: 2.4308916212067593e-06
Position 594: 2.245544161590796e-06
Position 947: 1.6826359737321604e-06
Position 1091: 1.0782517588665764e-06
Position 1769: 9.916182401877434e-07
Position 105: 9.338381707591811e-07
Position 903: 9.285833371596316e-07
Position 140: 8.544169652670818e-07
Position 1448: 8.025445427573074e-07
Position 790: 5.719986500706067e-07
Position 63: 5.383205753288936e-07
Position 480: 4.7089990579702263e-07
Position 99: 3.5130319186875994e-07
Position 114: 2.5786881320252786e-07
Position 452: 2.5388120458307934e-07
Position 126: 2.419652902394193e-07
Position 111: 1.3018405585661462e-07
Position 1115: 5.291713670571216e-08
Position 117: 3.717156629165247e-08
Position 1281: 3.421747885235174e-08
Position 137: 1.73514588006485e-08
Position 971: 1.0600879232979335e-08
Position 177: 1.006128339698006e-09
Position 189: 4.517852568599661e-11
Position 413: 4.127347683800701e-11
Position 560: 2.2864709660172718e-11
Position 522: 1.730008603561102e-11
Position 575: 1.445503102424358e-11
Position 449: 1.3318001864675106e-11
Position 497: 9.86880033374237e-12
Position 383: 8.617352511810349e-12
Position 150: 5.483036190236705e-12
Position 746: 5.458745432908082e-12
Position 236: 4.20508568232963e-12
Position 506: 4.12360296836528e-12
Position 768: 4.029320364359704e-12
Position 431: 2.62521121143259e-12
Position 386: 1.241852375947991e-12
Position 579: 8.874833479463856e-13
Position 231: 4.613882637422825e-13
Position 196: 1.5675837208187714e-13
Position 198: 1.76119470282777e-17
Position 332: 5.911680448368155e-23
