Gene = del
index = 1668
Annotated 5SS: [ 346 1607]
Annotated 3SS: [ 409 1660]
SMsplice 5SS: [ 346  600 1607]
SMsplice 3SS: [ 409  722 1660]
top_k =  500
Partition function (log Z): -4.565860442251764

Sorted 5' Splice Sites (High to Low Probability):
Position 346: 0.9754372709849094
Position 600: 0.6041444182092074
Position 1607: 0.5972021259611446
Position 1859: 0.3539980372222125
Position 657: 0.2385177767955314
Position 2739: 0.14050721887141324
Position 1598: 0.13110975443279643
Position 2452: 0.05739972821501475
Position 588: 0.04278202549646981
Position 927: 0.036462154707695926
Position 579: 0.02496784716242538
Position 1262: 0.02436086578361205
Position 2378: 0.022669810106342572
Position 2748: 0.018599442187913977
Position 1724: 0.014056119774795033
Position 140: 0.013537012620478812
Position 1563: 0.009782860777130505
Position 643: 0.007042116966044943
Position 1506: 0.0068660319641318775
Position 24: 0.004523389528194062
Position 2357: 0.003909686211865219
Position 2390: 0.0035255552339730975
Position 1415: 0.003278994808034084
Position 756: 0.002850266698114199
Position 621: 0.0028356105675860937
Position 1055: 0.002593800364472531
Position 963: 0.0022985484849205274
Position 329: 0.0012821187228228802
Position 819: 0.0012244027832184724
Position 101: 0.0012146249336770192
Position 959: 0.0007293470239963739
Position 690: 0.0006982337449742112
Position 311: 0.0006049925412547262
Position 2522: 0.0005689232061700258
Position 623: 0.0005368761882652138
Position 1023: 0.000529591603230447
Position 1853: 0.00046552557083811435
Position 1556: 0.0003756751145385345
Position 1464: 0.000364006204496335
Position 155: 0.00036232662678203133
Position 2198: 0.00033175984620138847
Position 2418: 0.00030239905610160835
Position 565: 0.00029742227164480624
Position 300: 0.00018281697959946028
Position 1242: 0.0001606254958693599
Position 2463: 0.0001365524034975589
Position 591: 0.0001255078519805664
Position 1822: 0.00011584831981661265
Position 1358: 0.0001121560168355012
Position 543: 0.00010677352807025383
Position 192: 9.98214263031734e-05
Position 52: 9.287960384038708e-05
Position 12: 8.022750184725031e-05
Position 57: 6.44009474582329e-05
Position 443: 5.4403467564717725e-05
Position 1132: 4.852914315329794e-05
Position 149: 4.725955727841221e-05
Position 905: 4.424338204183384e-05
Position 2023: 3.8461771961058326e-05
Position 1281: 3.087614487950816e-05
Position 2182: 2.7090272182595198e-05
Position 891: 2.3482489674924988e-05
