Gene = QIL1
index = 1397
Annotated 5SS: [192]
Annotated 3SS: [253]
SMsplice 5SS: [192]
SMsplice 3SS: [253]
top_k =  500
Partition function (log Z): 0.15884719372943037

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.9993609509057909
Position 608: 0.0017297570451413375
Position 306: 0.0010891837434113063
Position 586: 0.00023769809642023069
Position 184: 0.0002293560730284457
Position 200: 0.00022392513082618984
Position 660: 0.00019782288612784808
Position 196: 0.00017417040277541208
Position 474: 0.00016036258578298583
Position 411: 0.00010357068225412627
Position 490: 8.681148324307488e-05
Position 359: 8.286560459545168e-05
Position 537: 5.7977873350268146e-05
Position 649: 5.06496170802202e-05
Position 60: 4.4567081848323246e-05
Position 598: 2.107939461371424e-05
Position 116: 1.398676146285999e-05
Position 344: 8.242133556375787e-06
Position 38: 7.5933126068942855e-06
Position 748: 6.564923730768091e-06
Position 647: 3.927884689626601e-06
Position 419: 2.62531182363254e-06
Position 593: 1.1041003128618855e-06
Position 29: 8.381873076633654e-07
Position 684: 4.337292921244898e-07
Position 271: 2.477149351421728e-07
Position 261: 2.3809695962007807e-07
Position 548: 2.2563076569953623e-07
Position 147: 1.969281241899328e-07
Position 223: 1.9152241068160026e-07
Position 276: 9.523578845936217e-08
Position 641: 8.830058401719121e-08
Position 378: 8.299703715699195e-08
Position 681: 2.1635803831388787e-08
Position 739: 9.980112124820133e-09
Position 288: 1.6153375295748165e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9958830271764564
Position 261: 0.0040571452915008945
Position 717: 0.0014740793736318864
Position 519: 0.000550196584012267
Position 573: 0.0005455823013270874
Position 660: 0.0003054402721226335
Position 664: 0.00016990420396617185
Position 637: 0.00016287774729441503
Position 383: 0.00014584997868783095
Position 806: 0.00012418871171643748
Position 419: 0.00010210130065708287
Position 653: 9.801232477645487e-05
Position 386: 6.1503320074858e-05
Position 305: 4.434619025118538e-05
Position 783: 3.498937628565801e-05
Position 554: 2.411474215032248e-05
Position 106: 2.17585745711205e-05
Position 190: 2.084810965488855e-05
Position 359: 1.8371942560988523e-05
Position 133: 1.3015972891192961e-05
Position 734: 8.805010152931667e-06
Position 778: 8.39589804245568e-06
Position 523: 8.14252084055148e-06
Position 365: 6.211274170009774e-06
Position 470: 1.6577227614648823e-06
Position 455: 1.571935836089324e-06
Position 332: 1.356889045879845e-06
Position 479: 9.59055051731348e-07
Position 814: 7.361060311938205e-07
Position 533: 6.422602823328445e-07
Position 143: 4.475777057546356e-07
Position 725: 3.1832450554800373e-07
Position 536: 2.146226770932942e-07
Position 398: 2.0307012230046114e-07
Position 411: 1.7304675419462716e-07
Position 437: 1.2775493720861218e-07
Position 395: 1.0509505931522459e-07
Position 542: 3.9416182188719595e-08
Position 72: 1.971831301861418e-09
Position 341: 7.059434826242344e-11
Position 392: 3.7417511206578564e-11
Position 227: 3.767338334410355e-13
Position 216: 1.472548059557335e-13
Position 196: 1.1991363731054931e-14
Position 321: 2.898041589594068e-16
