Gene = Claspin
index = 1079
Annotated 5SS: [1628 1938 2652 4012 4322 4715]
Annotated 3SS: [1689 1988 2709 4068 4378 4776]
SMsplice 5SS: [  83 1628 1938 2652 4012 4322 4715]
SMsplice 3SS: [ 170 1689 1988 2709 4068 4378 4776]
top_k =  500
Partition function (log Z): 17.61896699694312

Sorted 5' Splice Sites (High to Low Probability):
Position 1628: 0.9924700980576778
Position 1938: 0.9922203600205888
Position 4012: 0.9911851186285386
Position 4715: 0.9704393034811908
Position 2652: 0.932824068546783
Position 4322: 0.8598464200928043
Position 83: 0.6758822834224346
Position 2194: 0.4411661230322375
Position 75: 0.22691763526620798
Position 4940: 0.15824115037192002
Position 4311: 0.1263419328425624
Position 2938: 0.06761519267769353
Position 2972: 0.050949453046046186
Position 2750: 0.04153223931017894
Position 3123: 0.03722483814791156
Position 3728: 0.03654658145790845
Position 110: 0.025896102212677654
Position 4927: 0.024425416025114177
Position 2207: 0.0163163258185502
Position 2248: 0.014342894259806682
Position 81: 0.01304515154075827
Position 87: 0.010673685921581877
Position 3489: 0.010640811175074824
Position 103: 0.010419370252192348
Position 411: 0.009876836871852817
Position 4428: 0.008565085616649239
Position 635: 0.008397910662674011
Position 744: 0.007985283558319938
Position 4016: 0.007409592687839927
Position 2234: 0.007015336019654929
Position 1897: 0.006151569339806022
Position 2230: 0.005786764857047407
Position 4487: 0.0051285677796656
Position 473: 0.0038486436023657945
Position 3096: 0.003843221676679784
Position 2805: 0.0037294867951607044
Position 2105: 0.0033223995834618923
Position 1619: 0.0030684766964887123
Position 4828: 0.0026313387022762454
Position 4221: 0.002588542506674883
Position 4550: 0.0023230167066083224
Position 2579: 0.001935558222780664
Position 1065: 0.0016258805718782482
Position 1478: 0.0014568559489322537
Position 1050: 0.0011451887488352704
Position 710: 0.001029552521878734
Position 2533: 0.0009016506533714515
Position 4872: 0.0005413240087829498
Position 581: 0.0005213845088786266
Position 1893: 0.0004953928693810156
Position 1235: 0.000471630176712728
Position 2185: 0.00045926986985015447
Position 375: 0.0004453671862954642
Position 916: 0.0003726838069253524
Position 2552: 0.0003701630882920795
Position 2464: 0.0003026413391185935
Position 4660: 0.00029596742091428786
Position 713: 0.0001953234423492735
Position 285: 0.0001700841619741084
Position 4957: 0.00016026306196029256
Position 1193: 0.0001554438948743269
Position 73: 0.00014524858734464872
Position 4851: 0.00012576361454554518
Position 966: 0.00010454810799184666
Position 2365: 9.910308448503944e-05
Position 1622: 8.591381294426792e-05
Position 1362: 8.480148858873873e-05
Position 276: 7.439360902269171e-05
Position 4194: 7.21271946083052e-05
Position 4419: 6.997554198737994e-05
Position 3975: 6.691788397002506e-05
Position 766: 6.417024326761665e-05
Position 4178: 5.8930097296364636e-05
Position 3937: 5.154633359078244e-05
Position 4334: 4.9031034687382475e-05
Position 2656: 4.358049936243577e-05
Position 1942: 3.5977588247733915e-05
Position 2383: 3.573800550536988e-05
Position 4406: 3.4838948704612354e-05
Position 295: 3.3917077292425e-05
Position 2107: 2.628923808727234e-05
Position 4655: 1.7335141716623905e-05
Position 4264: 1.7275767669571614e-05
Position 1733: 1.4110555606431096e-05
Position 2046: 1.3655321844875826e-05
Position 5022: 1.2983351242746149e-05
Position 1632: 1.073608477248994e-05
Position 5012: 1.0467491686515048e-05
Position 4682: 8.52141159946586e-06
Position 4402: 7.846171436287222e-06
Position 3967: 7.246679704598777e-06
Position 4967: 6.393457727649901e-06
Position 2647: 6.393014222242068e-06
Position 4239: 6.2173727987651754e-06
Position 4900: 5.320490750014283e-06
Position 2927: 4.876340087826687e-06
Position 3764: 4.499790562403715e-06
Position 437: 3.998002034592892e-06
Position 3750: 3.681934292394912e-06
Position 3501: 3.562024829922791e-06
Position 982: 3.1909179217337896e-06
Position 2600: 2.5094179150530276e-06
Position 4481: 2.50316587396803e-06
Position 2559: 2.269923010354997e-06
Position 3008: 2.260463392470713e-06
Position 1154: 2.0871648427110044e-06
Position 3818: 1.492465125014056e-06
Position 3135: 1.3288112623165653e-06
Position 3596: 1.239742624298095e-06
Position 2695: 1.1233365527498206e-06
Position 3413: 9.97802144894082e-07
Position 4100: 9.671119776548653e-07
Position 1776: 9.643812768646138e-07
Position 3569: 8.518156719644492e-07
Position 1865: 7.519751183420452e-07
Position 4730: 7.30264048698786e-07
Position 3117: 7.15267907753823e-07
Position 4071: 6.639691978183213e-07
Position 4628: 6.346439325202318e-07
Position 3432: 4.786820044016711e-07
Position 2034: 3.5762340878010344e-07
Position 2040: 2.563708754894945e-07
Position 1809: 6.277303093504676e-08
Position 1771: 6.196855420208049e-08
Position 1745: 1.9155915770673955e-08
Position 452: 1.338930049928244e-08
Position 1114: 6.53200458780512e-09
Position 254: 6.18572538432749e-09
Position 227: 3.7134883741831398e-09
Position 811: 3.091076469992034e-09
Position 820: 2.595633502876128e-09
Position 139: 1.2821476008999874e-09
Position 554: 2.84676190841288e-10
Position 4554: 1.7894676157664417e-10
Position 4347: 1.260642643881489e-10
Position 156: 1.0743901523815645e-10
Position 4382: 6.65571453375284e-11
Position 2200: 3.218188123664705e-11
Position 1210: 1.3534277426674799e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4068: 0.9998655810554095
Position 1689: 0.9843992875228412
Position 4378: 0.9776673790203169
Position 4776: 0.966649412989177
Position 1988: 0.9604586650245737
Position 170: 0.9568823197808323
Position 2709: 0.8748230142089679
Position 2360: 0.30808632739451614
Position 3791: 0.27897921303840945
Position 5002: 0.1867623513367084
Position 2254: 0.06905016566422018
Position 2380: 0.06403805481513564
Position 3301: 0.02512176753177648
Position 2578: 0.020678315175221822
Position 3280: 0.015907326946302376
Position 2334: 0.01153652296113818
Position 4381: 0.01072648203333038
Position 4601: 0.0076950203938666775
Position 2299: 0.0073170899923060305
Position 1463: 0.006562008641098347
Position 2681: 0.005110297989732017
Position 4474: 0.0047516532397984205
Position 139: 0.004468129827937846
Position 1722: 0.004403359002661489
Position 784: 0.004400128741643554
Position 764: 0.004111649341798541
Position 2821: 0.003966050601136048
Position 2475: 0.003825156032941731
Position 1743: 0.003359985215522808
Position 935: 0.0033281656201716407
Position 2734: 0.003266340562090255
Position 811: 0.0032425857464506817
Position 3191: 0.0031759308469926704
Position 1696: 0.0028912236492033665
Position 5006: 0.002783016423283378
Position 1433: 0.0027808575582469208
Position 3062: 0.0027209878041093505
Position 2034: 0.002612890404919846
Position 2272: 0.0020203555264156
Position 2518: 0.0020197869539679875
Position 488: 0.0016494237424584406
Position 1505: 0.0016300921230467862
Position 1701: 0.0015697615632834512
Position 2383: 0.001234110126392528
Position 907: 0.0011514081414179505
Position 3544: 0.0011366187955701447
Position 992: 0.0010606001904977641
Position 2365: 0.0009247503587288217
Position 1138: 0.0008916855043094248
Position 691: 0.00085152268274958
Position 4582: 0.0008503104950626785
Position 3451: 0.0006935283821266707
Position 1785: 0.0006508363562133543
Position 3015: 0.0006253700588851707
Position 179: 0.0006156541519286502
Position 2878: 0.0005950141911428851
Position 1258: 0.000545254064016127
Position 1534: 0.000524036015432206
Position 1532: 0.0005231264964267708
Position 2143: 0.0005208221345548114
Position 4471: 0.0005125151694173375
Position 2001: 0.0005083195562184851
Position 4526: 0.00047946510093234873
Position 4519: 0.00047194195878239503
Position 429: 0.0004399225022439195
Position 5090: 0.0004266490728491424
Position 1135: 0.00041932832745350323
Position 2338: 0.0003816791513182524
Position 4785: 0.0003783973795419088
Position 4486: 0.00037164602625980395
Position 2317: 0.0003469629052798209
Position 802: 0.0003352429778880351
Position 147: 0.00031886798354472594
Position 2497: 0.00030590460648739396
Position 740: 0.0002968716490940286
Position 4579: 0.0002858845397838957
Position 2269: 0.0002803829204755958
Position 2400: 0.0002679547650211261
Position 4814: 0.00026293554912518847
Position 2481: 0.0002524629862149216
Position 4537: 0.00021092941034353465
Position 1189: 0.00019368276797383397
Position 1559: 0.00018517415819081345
Position 4811: 0.00018231147578986359
Position 2798: 0.0001763882384844793
Position 2242: 0.00016228006329447933
Position 2443: 0.0001595656267662658
Position 2439: 0.00015896302962280036
Position 2386: 0.00014917287568834195
Position 3517: 0.00014809024515120432
Position 3175: 0.00013479913527000647
Position 2148: 0.00013223532323568897
Position 820: 0.00013023949576605046
Position 2340: 0.0001234422994232599
Position 1362: 0.00011384136992973262
Position 349: 0.00010997642246368191
Position 3002: 0.0001053108458634029
Position 790: 0.00010338640604460758
Position 694: 0.00010329240035163444
Position 4540: 9.578236847590446e-05
Position 1740: 9.310662811446853e-05
Position 2104: 8.851315803153745e-05
Position 4419: 8.694794497198481e-05
Position 1410: 8.592381391202149e-05
Position 4495: 8.281905891464392e-05
Position 1395: 7.530483518557192e-05
Position 1114: 7.401186119115605e-05
Position 1538: 7.375287226214438e-05
Position 1796: 6.881315000861124e-05
Position 2050: 6.846165358102388e-05
Position 2314: 6.686740277608944e-05
Position 354: 6.677267909033264e-05
Position 832: 6.659840368124448e-05
Position 1339: 6.405325395253378e-05
Position 989: 6.182800558451219e-05
Position 4087: 6.031787289652516e-05
Position 2014: 5.881899828041658e-05
Position 2017: 5.521963413457931e-05
Position 2459: 5.420082633169644e-05
Position 2454: 5.416443797375437e-05
Position 472: 5.3216514341086574e-05
Position 628: 5.317882065793889e-05
Position 514: 5.227771285907327e-05
Position 4913: 5.226626835654309e-05
Position 4543: 5.013092764138981e-05
Position 5012: 4.890726388674889e-05
Position 877: 4.7457855708642606e-05
Position 4792: 4.554181881097241e-05
Position 622: 4.38198300430173e-05
Position 4940: 4.3592461549515043e-05
Position 511: 3.8628934939306404e-05
Position 956: 3.616498604610736e-05
Position 1596: 3.4069380978661476e-05
Position 710: 3.4005641927217e-05
Position 1733: 3.378831296826146e-05
Position 2070: 3.180655324226123e-05
Position 4492: 3.162099500336027e-05
Position 538: 2.8365424480307268e-05
Position 2464: 2.6121569366172176e-05
Position 2164: 2.500330569366101e-05
Position 5105: 2.3660071973884227e-05
Position 4347: 2.3052531064508255e-05
Position 1705: 2.1609983441917812e-05
Position 1817: 2.1532192521029236e-05
Position 2095: 2.106055516990507e-05
Position 880: 2.049405035677011e-05
Position 532: 1.8502622013502046e-05
Position 535: 1.385181289745233e-05
Position 185: 1.2226291643083243e-05
Position 459: 1.2090684948037353e-05
Position 565: 1.1563836341424845e-05
Position 724: 1.1161279832537398e-05
Position 829: 1.0239361546101076e-05
Position 2641: 9.51477657846583e-06
Position 4851: 8.69862518805431e-06
Position 835: 8.680656502488733e-06
Position 4613: 8.04902554659408e-06
Position 202: 7.603555644255357e-06
Position 631: 6.905465491603444e-06
Position 2046: 6.329534426206815e-06
Position 4842: 6.2720378744818866e-06
Position 306: 6.0772303322525974e-06
Position 4660: 5.8582254704303244e-06
Position 4130: 5.1305170802710145e-06
Position 4664: 4.7326842863813e-06
Position 4534: 3.492730722240036e-06
Position 4108: 3.0031186295279224e-06
Position 1961: 1.5241113360732527e-06
Position 1880: 1.3538839089492005e-06
Position 2058: 3.783010667809882e-07
Position 2177: 3.4379453526596837e-07
Position 2154: 5.75246901916454e-08
Position 223: 5.11555279398402e-08
Position 2077: 3.3444515799080824e-08
Position 469: 2.8398828531295338e-08
Position 2055: 2.5342988750428433e-08
Position 2166: 2.0905910183135167e-08
Position 589: 1.9896163375724513e-08
Position 334: 1.7412757397665197e-08
Position 561: 1.0617570814357913e-08
Position 508: 9.840134374447257e-09
Position 653: 8.521280662282512e-09
Position 328: 8.167353231824214e-09
Position 285: 6.225180433430659e-09
Position 433: 2.827367098900456e-09
Position 526: 2.5869921699547747e-09
Position 283: 2.106185903443222e-09
Position 156: 1.5614378322597753e-09
Position 197: 5.247535678555289e-10
Position 266: 4.952382604870211e-10
Position 242: 1.771991211882658e-10
Position 311: 1.3373852939402213e-10
Position 250: 7.404036703340316e-11
Position 375: 5.3238625828518154e-11
Position 363: 4.1487975617480115e-11
Position 199: 2.7360929222293596e-11
Position 382: 2.646647157972338e-11
Position 403: 1.5193330527200896e-12
Position 317: 7.758225857859371e-13
Position 385: 1.8741905460068873e-13
Position 247: 1.3756413732386956e-14
Position 238: 1.384471135807948e-16
