Gene = Obp22a
index = 1342
Annotated 5SS: [68]
Annotated 3SS: [120]
SMsplice 5SS: [68]
SMsplice 3SS: [120]
top_k =  500
Partition function (log Z): -4.87718526508133

Sorted 5' Splice Sites (High to Low Probability):
Position 68: 0.9982450192697118
Position 391: 0.08029603859665364
Position 280: 0.009730267144352173
Position 295: 0.0024848762967723892
Position 292: 0.0013943224642425083
Position 139: 0.0010605772693242116
Position 339: 0.0007590006015009666
Position 416: 0.0003658053022001492
Position 234: 0.00017573436465304578
Position 373: 0.0001161100491394588
Position 229: 7.588266749223218e-05
Position 495: 6.499044717727996e-05
Position 341: 5.1843599582401555e-05
Position 29: 4.545054429732299e-05
Position 206: 4.4572456569372274e-05
Position 72: 4.25790306666557e-05
Position 616: 3.864974721104652e-05
Position 50: 1.8752261926147203e-05
Position 530: 4.033637376423378e-06
Position 107: 3.1648368881668665e-06
Position 147: 1.552356036736906e-06
Position 644: 1.401268401212083e-06
Position 166: 1.39690828168553e-06
Position 16: 1.2601649689001163e-06
Position 130: 1.0103140345058032e-06
Position 553: 9.2626284177474e-07
Position 536: 7.502013483162002e-07
Position 14: 2.992564234644886e-07
Position 696: 6.604925110087785e-08
Position 96: 2.095478495199334e-08
Position 149: 1.2034451006727111e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 120: 0.9889878809710969
Position 528: 0.06844971451079197
Position 461: 0.01768666014219162
Position 474: 0.01496913925606867
Position 173: 0.0012063847463305664
Position 276: 0.000683003791931265
Position 213: 0.0006651580493772395
Position 147: 0.0003777814499589643
Position 696: 0.00027532129442142667
Position 536: 0.00021066928406002913
Position 616: 0.00018175036302532445
Position 591: 0.0001664353481432292
Position 159: 0.0001637024343006981
Position 481: 0.00012446465518290513
Position 216: 0.00012080632502765518
Position 621: 0.0001187887892493068
Position 327: 0.00011616669967497487
Position 130: 8.718752416879596e-05
Position 541: 7.489665150903321e-05
Position 426: 6.0880185504338005e-05
Position 634: 4.788166698843083e-05
Position 378: 4.5354802328790055e-05
Position 346: 4.288676917363076e-05
Position 300: 4.131478230195648e-05
Position 143: 2.4284316477692716e-05
Position 177: 2.1870203457308824e-05
Position 280: 1.4682403190473829e-05
Position 403: 1.1570373539869869e-05
Position 644: 9.689138867958145e-06
Position 156: 9.620431821575143e-06
Position 764: 8.2075338438187e-06
Position 127: 6.286433217412999e-06
Position 339: 5.812851755459662e-06
Position 258: 4.3065102326014e-06
Position 718: 1.8420752064136726e-06
Position 712: 1.538063874047482e-06
Position 180: 1.5126731068183797e-06
Position 285: 8.792841283891274e-07
Position 200: 3.14092280554319e-08
Position 292: 1.2570474178615927e-09
Position 89: 9.039227392189332e-10
Position 96: 2.2381389469216484e-12
Position 84: 3.3152527693827204e-13
Position 64: 2.249994813557792e-13
Position 72: 3.356522604021395e-14
Position 68: 7.234911798843757e-15
