Gene = Jon74E
index = 1240
Annotated 5SS: [254 578]
Annotated 3SS: [314 664]
SMsplice 5SS: [254 578]
SMsplice 3SS: [314 664]
top_k =  500
Partition function (log Z): 4.538226239543537

Sorted 5' Splice Sites (High to Low Probability):
Position 254: 0.997041756523943
Position 578: 0.9967706155204172
Position 448: 0.013741766695000938
Position 955: 0.005945668224514398
Position 611: 0.0018440101720118218
Position 153: 0.0011901039560065045
Position 950: 0.001135766348756492
Position 557: 0.0005862249025420566
Position 608: 0.0002951600283299204
Position 394: 0.00027873348042041697
Position 319: 0.00018520328795473877
Position 885: 0.00014335781245765802
Position 258: 0.00010001698656171814
Position 830: 6.926464241350459e-05
Position 797: 3.513232640166147e-05
Position 194: 3.2049541963688985e-05
Position 185: 3.0294307446163534e-05
Position 246: 2.704720015290037e-05
Position 823: 2.3255173893120068e-05
Position 728: 2.184120299770207e-05
Position 265: 1.5941504758602258e-05
Position 476: 1.3781317126445922e-05
Position 157: 1.1383884664481805e-05
Position 25: 8.213712527159783e-06
Position 65: 8.188040153373755e-06
Position 205: 7.13305951392961e-06
Position 474: 6.908591589174977e-06
Position 277: 3.5623637408156522e-06
Position 913: 2.905818837320123e-06
Position 286: 1.4226379391799905e-06
Position 865: 8.206122808415516e-07
Position 538: 5.08461869201418e-07
Position 346: 3.2728312112034665e-07
Position 838: 3.027032380468307e-07
Position 88: 2.1104317890666195e-07
Position 140: 1.5610007397779038e-07
Position 54: 1.5243956765944527e-07
Position 964: 8.597516033557453e-08
Position 122: 6.71222688384104e-08
Position 498: 5.7120614564193964e-08
Position 36: 2.0675472380766393e-08
Position 709: 1.2582958869277514e-08
Position 196: 7.687207480884033e-09
Position 692: 3.852429304426275e-09
Position 697: 6.168306280639858e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 664: 0.9991395222126106
Position 314: 0.9582468353384639
Position 369: 0.036092497092574984
Position 505: 0.015101626500933614
Position 1012: 0.007085243523908986
Position 394: 0.001103367775320759
Position 460: 0.0010097078589630492
Position 322: 0.0006787411095928452
Position 843: 0.00037651550107508557
Position 949: 0.00016096258759606575
Position 885: 0.00015905855478130806
Position 316: 0.00015431764695245732
Position 425: 0.00011805716229205359
Position 527: 6.654805199821636e-05
Position 205: 3.144025715809891e-05
Position 723: 1.6814135523565818e-05
Position 830: 1.0938926872793861e-05
Position 153: 9.211345678156998e-06
Position 978: 3.1940731124382683e-06
Position 462: 3.0656099671531518e-06
Position 981: 2.586636970639399e-06
Position 102: 2.5003639061411156e-06
Position 784: 1.243772008322859e-06
Position 954: 1.068617856919556e-06
Position 805: 8.390006819822881e-07
Position 140: 7.978459906472002e-07
Position 518: 7.88747363657088e-07
Position 122: 7.522682996445852e-07
Position 900: 3.5672717421808823e-07
Position 346: 3.108642070958928e-07
Position 286: 1.3888082439438075e-07
Position 814: 1.2167708516184844e-07
Position 608: 8.898337460466326e-08
Position 277: 8.544360245948865e-08
Position 265: 5.181611417264426e-08
Position 1044: 2.8026815341878307e-08
Position 254: 1.0362468780774054e-08
Position 270: 3.782165822415953e-09
Position 132: 2.2268703550072157e-09
Position 964: 1.4704569771426964e-09
Position 170: 2.0269409431666914e-10
Position 173: 1.997416490410711e-12
Position 163: 1.8538824618230112e-12
Position 258: 2.4053846410225787e-15
