Gene = Pi3K21B
index = 1379
Annotated 5SS: [ 524 2039]
Annotated 3SS: [1152 4145]
SMsplice 5SS: [ 524 2039 4823]
SMsplice 3SS: [1152 4145 4883]
top_k =  500
Partition function (log Z): -7.782606174234038

Sorted 5' Splice Sites (High to Low Probability):
Position 2039: 0.9715093554762761
Position 524: 0.5556441913693333
Position 190: 0.3235395969187794
Position 3252: 0.2993843164047089
Position 194: 0.2570560421860818
Position 995: 0.08452667577840269
Position 365: 0.06322937456003248
Position 4776: 0.05532981275983966
Position 304: 0.05222280779242633
Position 3134: 0.04327744686097476
Position 75: 0.028258405482490586
Position 2670: 0.02347542161133929
Position 688: 0.015907962404998838
Position 3224: 0.0136834329034327
Position 1412: 0.012838067501106004
Position 278: 0.008449847923645322
Position 2030: 0.007422073287190793
Position 1027: 0.007249182010557078
Position 90: 0.00649632870144725
Position 3095: 0.005305228399202361
Position 1247: 0.004948803378776095
Position 2686: 0.004859374842227609
Position 4998: 0.004701392206487062
Position 1317: 0.002657229531901396
Position 3521: 0.002018844330169883
Position 3494: 0.0018948820434565596
Position 2847: 0.001267056514299654
Position 4065: 0.001262086128013714
Position 1704: 0.001047386151677845
Position 669: 0.0009528578473597743
Position 286: 0.0009367080675832344
Position 565: 0.0008911337365179337
Position 243: 0.0008095080090282025
Position 881: 0.000666140404276245
Position 1006: 0.0006333019160850241
Position 3899: 0.0005666107890455714
Position 582: 0.0004645400958886688
Position 362: 0.00045324571851883207
Position 404: 0.00039273012501506274
Position 528: 0.00031129359148197763
Position 818: 0.0003042374482938533
Position 1346: 0.00030401904627380634
Position 3754: 0.0002590097729724906
Position 77: 0.00020821535364983645
Position 2781: 0.0002039814968724231
Position 1519: 0.00020033884969058665
Position 594: 0.00017693784121615444
Position 1446: 0.00017085480435689857
Position 1042: 0.00014028453598800695
Position 282: 0.00013009056886387993
Position 255: 0.00012292960584687075
Position 407: 0.00012179406996287954
Position 728: 0.00011331030272535315
Position 268: 9.943198803142785e-05
Position 136: 9.941747056208336e-05
Position 1490: 9.067043649502826e-05
Position 672: 7.826673050208496e-05
Position 2100: 7.024230514455911e-05
Position 2085: 6.203694964531044e-05
Position 274: 4.4025910679696326e-05
Position 302: 3.652787918385029e-05
Position 1530: 3.424769376890123e-05
Position 656: 2.9319396827581403e-05
Position 1449: 2.822150593689522e-05
Position 18: 2.76036971146262e-05
Position 432: 2.6609969493754397e-05
Position 40: 1.590809357301965e-05
Position 347: 1.3590775486809012e-05
Position 250: 1.1618509478879022e-05
Position 290: 9.429048350762544e-06
Position 3289: 7.998580820117117e-06
Position 259: 7.71021226777002e-06
Position 799: 7.620425161091339e-06
Position 2302: 2.2983379983744488e-06
Position 2043: 1.3431827600653232e-06
Position 2469: 1.2448549995540638e-06
Position 2601: 7.746988931309629e-07
Position 2607: 7.588339708551144e-07
Position 113: 4.842550628142323e-07
Position 110: 3.036742268665793e-07
Position 284: 6.889937258454833e-08
Position 315: 3.978249380913717e-08
