Gene = tomb
index = 1914
Annotated 5SS: [201]
Annotated 3SS: [262]
SMsplice 5SS: [201]
SMsplice 3SS: [262]
top_k =  500
Partition function (log Z): -3.8326497518546705

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9650034315764047
Position 471: 0.46007842003053817
Position 197: 0.03160223006578314
Position 418: 0.01657388708257609
Position 481: 0.0025215656122604484
Position 184: 0.000922898605625658
Position 804: 0.00048783482802007496
Position 438: 0.00015318975968108892
Position 506: 8.319432892031993e-05
Position 280: 4.0255710855183914e-05
Position 104: 3.1271702099958615e-05
Position 739: 2.8323640078398358e-05
Position 133: 2.5376016035846942e-05
Position 189: 2.166040687043008e-05
Position 619: 1.3599520643617928e-05
Position 288: 6.072713126813904e-06
Position 717: 5.596493959959005e-06
Position 127: 4.624407020754355e-06
Position 87: 3.5273061649610665e-06
Position 751: 3.465472181992516e-06
Position 254: 3.4627669150281914e-06
Position 601: 2.9771161170886074e-06
Position 762: 2.7069043942146885e-06
Position 571: 2.7004682472330716e-06
Position 163: 1.9567356188127684e-06
Position 328: 1.6745808920304326e-06
Position 397: 1.2429249430000717e-06
Position 664: 1.0253266186629288e-06
Position 54: 4.7566129999572425e-07
Position 292: 2.741880170105373e-07
Position 741: 2.268793021134941e-07
Position 655: 7.873372478707017e-08
Position 684: 7.773702193378466e-08
Position 509: 4.2663390566129354e-08
Position 5: 3.0545964774070604e-08
Position 56: 1.891583275931927e-08
Position 307: 3.3958893729553004e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9923441410611493
Position 544: 0.47886759027413794
Position 660: 0.0021752381050162725
Position 562: 0.0018423621879743457
Position 566: 0.0007733421537446334
Position 855: 0.0005046548976691608
Position 269: 0.00045829404593387453
Position 315: 0.0002667516221423403
Position 323: 0.00012734761050751825
Position 638: 6.103701432262813e-05
Position 699: 5.868156645959056e-05
Position 862: 5.53266194166591e-05
Position 868: 1.8644995463879106e-05
Position 481: 1.7098495356128144e-05
Position 335: 1.5170401056334998e-05
Position 509: 1.233829394460498e-05
Position 471: 8.742900130585374e-06
Position 339: 5.114018572801051e-06
Position 684: 4.99734011340724e-06
Position 277: 2.46142244654111e-06
Position 506: 2.0778592759128527e-06
Position 571: 2.0754330661720633e-06
Position 163: 1.3489842163903063e-06
Position 717: 1.0289718129843387e-06
Position 288: 7.72370155097571e-07
Position 809: 7.546187922803042e-07
Position 402: 6.788110932001534e-07
Position 780: 4.517484597691945e-07
Position 221: 3.682878664381022e-07
Position 576: 1.1408036975889879e-07
Position 408: 8.7203796344421e-08
Position 184: 5.166413335103525e-08
Position 342: 4.625677047967296e-08
Position 813: 4.4082305678023205e-08
Position 747: 4.3418094392735444e-08
Position 804: 2.641556087681611e-08
Position 363: 1.7739226394526847e-08
Position 417: 1.3594830614658768e-08
Position 65: 1.1615099718149554e-08
Position 376: 6.772939708756052e-09
Position 370: 6.237514201632969e-09
Position 79: 6.233253085807336e-09
Position 133: 5.8651032086405075e-09
Position 51: 5.2149794165826816e-09
Position 450: 4.7725015421916e-09
Position 367: 4.492581555534367e-09
Position 142: 2.9531793776096086e-09
Position 54: 2.65704634560226e-09
Position 279: 2.421698026673915e-09
Position 124: 4.790520990378387e-10
Position 76: 4.308081023890165e-10
Position 98: 3.307371685733129e-10
Position 109: 2.985826305489029e-10
Position 384: 5.422477401566451e-11
Position 85: 2.2870165152882632e-11
Position 95: 9.728493317411116e-12
Position 92: 3.2592523156502467e-12
Position 356: 2.260833198808234e-16
