Gene = Uxt
index = 1591
Annotated 5SS: [117]
Annotated 3SS: [167]
SMsplice 5SS: [117]
SMsplice 3SS: [167]
top_k =  500
Partition function (log Z): -8.978601561844696

Sorted 5' Splice Sites (High to Low Probability):
Position 117: 0.9392593427322068
Position 285: 0.04882338684063085
Position 76: 0.02129709187165849
Position 17: 0.01797369056021725
Position 526: 0.003304786078565532
Position 481: 0.002520819867008477
Position 151: 0.0016543587325527672
Position 650: 0.0010344951867695272
Position 660: 0.0008659682474790566
Position 252: 0.0004471471643218579
Position 121: 0.00044251273332893864
Position 418: 0.0004087714467603008
Position 370: 0.00030802102485457923
Position 264: 0.0002300515374825148
Position 136: 9.846415201010714e-05
Position 654: 7.084928050876597e-05
Position 220: 4.358452035879355e-05
Position 412: 3.1054932854577694e-05
Position 663: 2.2600592956244032e-05
Position 352: 1.748490429766364e-05
Position 779: 1.5069484233624858e-05
Position 430: 8.828832150109975e-06
Position 289: 8.12290028534838e-08
Position 149: 2.848345705976068e-08
Position 388: 2.6479537845302493e-08
Position 432: 1.57456078520997e-08
Position 207: 8.179824286703743e-10
Position 642: 9.626786574075391e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 167: 0.8266464612464913
Position 171: 0.13231783976872463
Position 594: 0.020616907634203853
Position 334: 0.017704598831714335
Position 381: 0.012234509337784446
Position 365: 0.005292386967311746
Position 97: 0.005292267175552864
Position 145: 0.0036512199618113942
Position 727: 0.003072869720882039
Position 454: 0.0026084335789385484
Position 352: 0.0014131383608622806
Position 76: 0.0011944675150920361
Position 755: 0.0011615532873299932
Position 626: 0.000705875016657452
Position 769: 0.0006997042998418683
Position 739: 0.0005826837028728162
Position 802: 0.0005786971214199471
Position 486: 0.0005410905817387863
Position 562: 0.0005309531213096603
Position 136: 0.00032871573018424953
Position 100: 0.00028315927131622784
Position 404: 0.00023268167292933033
Position 899: 0.0002183809478659224
Position 183: 0.00012882488787017618
Position 149: 0.00011334493991779487
Position 663: 8.543583775642985e-05
Position 682: 6.88808699760431e-05
Position 498: 6.71348972490321e-05
Position 264: 6.115050301495011e-05
Position 629: 6.1005417179321595e-05
Position 699: 5.134424227768113e-05
Position 426: 4.674448403025487e-05
Position 312: 4.0218240517024605e-05
Position 239: 3.9687338840139515e-05
Position 808: 3.855238119807121e-05
Position 805: 2.6886950468827666e-05
Position 928: 2.5609257996592906e-05
Position 107: 2.4468700332622227e-05
Position 219: 2.3240018483555125e-05
Position 944: 2.0156841141591808e-05
Position 660: 1.5997367091891755e-05
Position 294: 9.337317901940543e-06
Position 207: 8.361356682687179e-06
Position 252: 7.72642342620984e-06
Position 229: 5.697265467577161e-06
Position 112: 6.286484857488279e-08
Position 231: 3.5562247838737034e-08
Position 155: 1.6546726033410197e-08
Position 204: 1.4464163785824851e-08
Position 121: 3.4298402645982533e-09
Position 241: 2.2518772660760013e-10
Position 273: 5.699020766189676e-11
Position 117: 2.89337272723518e-11
Position 243: 3.0508796976920306e-12
Position 276: 1.4170122754404173e-12
Position 285: 1.2186119133461362e-17
