Gene = GlcAT-P
index = 1188
Annotated 5SS: [   36   970 13148 13903 15382 18007 18313 18889]
Annotated 3SS: [  660 13116 13327 14892 17819 18154 18597 19004]
SMsplice 5SS: [  970 13903 18007 18313 18889]
SMsplice 3SS: [13327 17819 18154 18597 19004]
top_k =  500
Partition function (log Z): 1.185741211320727

Sorted 5' Splice Sites (High to Low Probability):
Position 970: 0.9980237331154465
Position 18889: 0.9952350935749448
Position 13903: 0.9789309103881803
Position 18007: 0.5250320039205796
Position 18313: 0.44554942718861185
Position 18003: 0.20999628044646326
Position 12359: 0.12562040430343374
Position 12302: 0.10218279168769415
Position 19218: 0.08718931164801269
Position 19382: 0.07241180422742796
Position 13148: 0.05520216776513947
Position 13463: 0.054776152501102925
Position 13467: 0.03492400528741232
Position 232: 0.03203084905835701
Position 246: 0.017833311544312135
Position 1229: 0.017161759292067376
Position 137: 0.01691748078167972
Position 19107: 0.015972666814966157
Position 19272: 0.015756604291483206
Position 6287: 0.015741165149347286
Position 611: 0.015365244194974552
Position 2563: 0.014096443714801735
Position 384: 0.012060067180233242
Position 221: 0.011589975257295798
Position 14354: 0.010050113754148885
Position 388: 0.00967471211165447
Position 758: 0.009509885570400578
Position 2058: 0.009342556300492242
Position 32: 0.008826807424744612
Position 19266: 0.008154001894052377
Position 4897: 0.007609325226150659
Position 3011: 0.006778873956196365
Position 2812: 0.006041699695654174
Position 36: 0.00542200014755218
Position 19895: 0.005283482041306304
Position 19130: 0.002936056215356561
Position 19270: 0.0022857627175688873
Position 392: 0.0021934755407382596
Position 400: 0.0017668717617863653
Position 19173: 0.001748401049517567
Position 615: 0.001697455891832422
Position 19630: 0.0016552004201452804
Position 404: 0.0016032748102843535
Position 402: 0.0016017487638564532
Position 396: 0.0013999131696046162
Position 19300: 0.0012985548559192044
Position 1028: 0.0012792570683058649
Position 20238: 0.0010079625759723437
Position 298: 0.000989301240189467
Position 18751: 0.0009534624315736686
Position 398: 0.0008371797828519792
Position 128: 0.0007790500862149892
Position 408: 0.0006145568539923032
Position 214: 0.0004960507085468196
Position 18893: 0.0004906049696292084
Position 597: 0.00039482584407977587
Position 19141: 0.00026607982073025157
Position 3055: 0.00021114117597947934
Position 382: 0.00020505433203549914
Position 236: 0.00016163020147063798
Position 436: 0.00011024315547296586
Position 25: 9.57418923943166e-05
Position 19212: 7.485103200510636e-05
Position 20307: 6.27996420982719e-05
Position 2158: 4.956906901787884e-05
Position 2382: 4.451126757874226e-05
Position 346: 4.400072880458289e-05
Position 609: 4.079546930620633e-05
Position 216: 3.5909120310802836e-05
Position 211: 3.571653918444525e-05
Position 1421: 3.294740874507396e-05
Position 5007: 2.4403460762586712e-05
Position 5009: 2.2384688686653073e-05
Position 350: 1.7193338832154476e-05
Position 205: 1.4684739094437196e-05
Position 599: 1.4677319234854392e-05
Position 4706: 1.4642643590158641e-05
Position 412: 1.4217664304673974e-05
Position 19133: 1.4090738269859699e-05
Position 2049: 1.3346537726884877e-05
Position 1869: 1.2529409323618087e-05
Position 1660: 1.0099011113986682e-05
Position 4905: 9.915707398157278e-06
Position 539: 9.8277843933122e-06
Position 1703: 7.616469741294859e-06
Position 617: 7.576288937581705e-06
Position 866: 7.179258448846456e-06
Position 5040: 6.457183058753305e-06
Position 2205: 4.723045931216882e-06
Position 190: 4.620838896581948e-06
Position 203: 4.1231454075676675e-06
Position 2252: 3.8087728680011284e-06
Position 829: 3.632718066815446e-06
Position 2064: 3.607234323141053e-06
Position 2062: 3.4044990459778585e-06
Position 19422: 3.0221601015348556e-06
Position 132: 2.98757641366241e-06
Position 951: 2.9240446589142085e-06
Position 2208: 2.4282722929938356e-06
Position 2275: 2.341036364406369e-06
Position 3166: 1.965479585097683e-06
Position 2624: 1.6426928535544567e-06
Position 19165: 1.4945899676237425e-06
Position 3775: 1.2787445351279075e-06
Position 2060: 1.1585764974709005e-06
Position 974: 1.083663919309345e-06
Position 19506: 7.921792146399368e-07
Position 1294: 6.993996714345741e-07
Position 1485: 6.777939758996822e-07
Position 20078: 4.83824524705318e-07
Position 19636: 4.2237029668975376e-07
Position 13750: 3.745879381324305e-07
Position 15382: 3.725392775623221e-07
Position 2172: 2.886877238427797e-07
Position 1879: 1.370226494255366e-07
Position 19344: 1.299871132985951e-07
Position 19353: 1.2685568313304696e-07
Position 9999: 6.080803673664123e-08
Position 5596: 3.481632125029569e-08
Position 3544: 4.290863510865866e-09
Position 1202: 1.562370007360414e-09
Position 2620: 1.3731376499668906e-09
Position 5530: 1.3328094686690544e-09
Position 2611: 1.158775504246895e-09
Position 2560: 9.623660440926734e-10
Position 3170: 9.86478605646753e-11
Position 1549: 7.388595314165742e-11
Position 1520: 4.367378881257959e-11
Position 406: 1.6860607791531185e-11
Position 252: 1.1086900932492538e-11
Position 318: 1.0913619507314281e-11
Position 250: 1.0863137755663184e-11
Position 585: 8.673711896791928e-12
Position 19: 6.29066675453088e-12
Position 188: 4.630993422020792e-12
Position 497: 1.9629112587299895e-12
Position 1497: 6.112465055067337e-13
Position 1213: 2.0995697446332724e-13
Position 1394: 1.7109270900397143e-13
Position 1405: 1.63948545038049e-13
Position 678: 3.594264093525985e-14
Position 40: 2.2908850318815502e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 19004: 0.9995501854302342
Position 18597: 0.9237692878759675
Position 13327: 0.8046300614290062
Position 17819: 0.563689841568172
Position 18154: 0.4297545330267925
Position 13633: 0.16298847907687594
Position 13116: 0.13151096908484247
Position 12148: 0.11720298176775579
Position 12214: 0.11060021422337202
Position 17501: 0.10094524942383028
Position 17460: 0.0944304033386395
Position 660: 0.08929794737299444
Position 19347: 0.0829193003851045
Position 19435: 0.07221349695428401
Position 18555: 0.0646675647343272
Position 2493: 0.025470809780088303
Position 12610: 0.023122541810545426
Position 845: 0.019425617236422808
Position 19556: 0.01616504888357246
Position 503: 0.0156951314844139
Position 1106: 0.014473297501044903
Position 866: 0.013862524450968701
Position 20186: 0.01145872563237324
Position 914: 0.010817736785185078
Position 4779: 0.007941907850362783
Position 20326: 0.007488257872708594
Position 1953: 0.006165798983070233
Position 19459: 0.005378661680256043
Position 19591: 0.004629116472903354
Position 14149: 0.0037251986049292923
Position 6041: 0.003579974692998027
Position 19522: 0.0031804343905973125
Position 1142: 0.0029815055686148195
Position 5213: 0.002903542342496995
Position 6146: 0.0028913726521629605
Position 6026: 0.0028615303614107014
Position 12467: 0.002499010482410865
Position 14260: 0.0024148136439069525
Position 19617: 0.0024001182850117535
Position 1612: 0.0023015319300519733
Position 14216: 0.0017849356866815101
Position 5847: 0.001697107665446312
Position 19172: 0.0014810700702658339
Position 197: 0.0013701395815756046
Position 19405: 0.0012144053563160433
Position 14257: 0.0012077144647231874
Position 20493: 0.0011726625072420956
Position 19300: 0.000938587667388522
Position 2666: 0.0008784435642812948
Position 19442: 0.0008683885415504401
Position 20460: 0.0008677788020325064
Position 19185: 0.0008044988543489262
Position 19477: 0.0007245087573648625
Position 20197: 0.0006914250548698452
Position 98: 0.0006008711972390608
Position 1733: 0.00060037545083094
Position 6211: 0.0005944037337704656
Position 20015: 0.0005677972259293688
Position 4796: 0.0005344568308768502
Position 807: 0.0005106814813836321
Position 745: 0.00046477555291674506
Position 19025: 0.0004434887672124962
Position 20423: 0.0004272512622338012
Position 4623: 0.0004240340785998751
Position 301: 0.00040887324295318955
Position 821: 0.0003655686339096097
Position 811: 0.0003609730927540413
Position 886: 0.00025565697313171523
Position 721: 0.00018143461268074513
Position 2238: 0.00016861359911866106
Position 1151: 0.00016095185819945342
Position 298: 0.00015589530099588764
Position 19204: 0.00014119916230474565
Position 2274: 0.00012857637359236563
