Gene = comm3
index = 1654
Annotated 5SS: [13581 15865]
Annotated 3SS: [14957 33739]
SMsplice 5SS: [563]
SMsplice 3SS: [33739]
top_k =  500
Partition function (log Z): -14.179103954989701

Sorted 5' Splice Sites (High to Low Probability):
Position 563: 0.9999999999993477
Position 8835: 1.2409921752205844e-09
Position 15865: 9.691856313886865e-10
Position 792: 4.903327682613586e-10
Position 1868: 3.504300351968846e-10
Position 8981: 1.9010567347119527e-10
Position 8110: 3.5322606888292896e-11
Position 5193: 3.056267508932092e-11
Position 2720: 2.5342226760400285e-11
Position 768: 2.4619843414313225e-11
Position 1330: 2.059947461210231e-11
Position 1872: 1.4425475008373977e-11
Position 57: 7.89111243779571e-12
Position 95: 3.0950156268676096e-12
Position 128: 1.8143093966381332e-12
Position 163: 1.5799561085871567e-12
Position 80: 1.191035637311732e-12
Position 100: 9.694418194126284e-13
Position 9699: 3.8046773521432543e-13
Position 132: 9.973916200722709e-14
Position 9061: 5.494498261737996e-14
Position 518: 4.215756599574746e-14
Position 322: 3.232520635503821e-14
Position 6423: 3.061800329247698e-14
Position 4793: 2.4190005051676285e-14
Position 576: 1.9538942253794157e-14
Position 7618: 1.6058666620446338e-14
Position 448: 1.1598906711537206e-14
Position 30: 9.613860043436577e-15
Position 178: 9.553668769500671e-15
Position 49: 7.358626450871801e-15
Position 3: 6.629698703944376e-15
Position 61: 5.262175687485406e-15
Position 160: 3.8852076087176864e-15
Position 206: 3.0173516761666268e-15
Position 454: 2.584691129879081e-15
Position 2423: 2.2880729989399804e-15
Position 567: 1.9859107729512807e-15
Position 6549: 1.8617384019102086e-15
Position 6431: 1.7814369494366797e-15
Position 196: 1.464657588776953e-15
Position 123: 1.2568603915351056e-15
Position 5168: 1.1567798956995282e-15
Position 169: 9.924674044486892e-16
Position 167: 9.661282806297844e-16
Position 35: 9.024966581874577e-16
Position 2277: 8.077237041803785e-16
Position 209: 5.490404125507041e-16
Position 438: 4.692650844567532e-16
Position 199: 4.571748277131207e-16
Position 1622: 4.461999086946607e-16
Position 992: 3.397549044488154e-16
Position 328: 3.0024654806674107e-16
Position 7: 2.1202150881817375e-16
Position 2104: 2.108559804466525e-16
Position 15: 1.809457078493618e-16
Position 1646: 1.504653137503517e-16
Position 385: 1.417111376413965e-16
Position 229: 1.2967461263215255e-16
Position 2281: 1.2400937255024308e-16
Position 2065: 1.157119370277696e-16
Position 5588: 1.0249092424420486e-16
Position 461: 1.0005721473378881e-16
Position 5597: 8.917599311511029e-17
Position 2372: 8.398250402442746e-17
Position 854: 8.278747606926924e-17
Position 536: 7.432086598773091e-17
Position 1632: 7.330065500884514e-17
Position 376: 6.794293154330619e-17
Position 1337: 6.020524807344681e-17
Position 67: 5.97514143734168e-17
Position 710: 5.738375104024906e-17
Position 973: 5.231546326745738e-17
Position 456: 5.0394923077583425e-17
Position 2137: 4.1129213454346885e-17
Position 920: 3.874930921370889e-17
Position 985: 3.7076284676719556e-17
Position 443: 2.7396188098092313e-17
Position 1857: 2.6214136226012656e-17
Position 1889: 2.4095150510514645e-17
Position 2207: 2.3666461619044148e-17
Position 1070: 2.198358619159505e-17
Position 477: 2.025503396886301e-17
Position 1215: 1.8119947508748482e-17
Position 2017: 1.791826241312562e-17
Position 1811: 1.7098676112403594e-17
Position 2836: 1.2712462433554847e-17
Position 418: 7.721635252630917e-18
Position 1402: 3.077812286042331e-18
