Gene = fwe
index = 1710
Annotated 5SS: [ 137  475 2992 3165]
Annotated 3SS: [ 353 2783 3056 5561]
SMsplice 5SS: [ 475 2992 3165]
SMsplice 3SS: [2783 3056 5561]
top_k =  500
Partition function (log Z): 1.7027965597011185

Sorted 5' Splice Sites (High to Low Probability):
Position 2992: 0.9868919803142894
Position 3165: 0.9635126090165588
Position 475: 0.9120770221612614
Position 5482: 0.05964682721207644
Position 705: 0.03960849308663603
Position 694: 0.03509649377525353
Position 5347: 0.03346666514291254
Position 3963: 0.029154569653435092
Position 4076: 0.02813085427785205
Position 2151: 0.027717674471071763
Position 2518: 0.026087991275376095
Position 84: 0.023892318575456845
Position 796: 0.02347552327528905
Position 5234: 0.022666952185474907
Position 137: 0.018658998511352377
Position 3671: 0.016542624815625337
Position 5218: 0.015170461141141385
Position 3874: 0.01482398297121548
Position 4307: 0.014096330660006894
Position 5339: 0.00990997177661915
Position 894: 0.009879074584271445
Position 248: 0.0096664244385804
Position 3362: 0.008317617448391625
Position 428: 0.007841905900250678
Position 2996: 0.007738814050997355
Position 3581: 0.006362399810039013
Position 3403: 0.0063451212750924215
Position 5758: 0.006179239617054249
Position 4924: 0.006071440507141894
Position 3976: 0.006040853490506576
Position 1110: 0.00440135771825218
Position 3169: 0.004181663333374289
Position 221: 0.0034564305773279926
Position 37: 0.003277362182911041
Position 2509: 0.003173295946675344
Position 843: 0.0031397801607132955
Position 2948: 0.0029424954592818346
Position 482: 0.00293756621365443
Position 1049: 0.002174665342340439
Position 75: 0.002141879130577396
Position 2927: 0.001854356003486632
Position 4376: 0.001825479261824764
Position 2219: 0.0016891515799217652
Position 3816: 0.0016762737345687282
Position 2652: 0.0015918106557093305
Position 425: 0.0014132557902840565
Position 2498: 0.001381314321638839
Position 202: 0.0013312938113349145
Position 4334: 0.0013299506208046192
Position 4185: 0.0012184949611627356
Position 1903: 0.0011756548270509303
Position 68: 0.001158860725822959
Position 5099: 0.0011315802132622638
Position 1898: 0.0011292923518980802
Position 838: 0.00109679818826641
Position 715: 0.0010885766838665979
Position 2612: 0.0010590246737885787
Position 5751: 0.0010430007487361348
Position 1284: 0.0010263505891520898
Position 3893: 0.0009421191791308384
