Gene = Pburs
index = 1361
Annotated 5SS: [268]
Annotated 3SS: [325]
SMsplice 5SS: [268]
SMsplice 3SS: [325]
top_k =  500
Partition function (log Z): -4.137252262394473

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9837916649740818
Position 229: 0.012181301971894497
Position 492: 0.007443238999762479
Position 241: 0.0025620809729054637
Position 466: 0.0014608730933114544
Position 258: 0.0008516719034981772
Position 224: 0.0004330175572117983
Position 477: 0.00034358999158989444
Position 3: 0.0002809411396570197
Position 272: 9.249363481597768e-05
Position 7: 8.165025364341802e-05
Position 460: 3.3693762481275225e-05
Position 216: 2.181466898775731e-05
Position 196: 1.0685511054417672e-05
Position 365: 9.245041721008362e-06
Position 310: 7.520267673411794e-06
Position 294: 7.152909451268837e-06
Position 120: 3.342094570368446e-06
Position 441: 3.1165645359589884e-06
Position 405: 2.5782849592321054e-06
Position 532: 1.8706744636148142e-06
Position 538: 1.5011673152321572e-06
Position 147: 1.2242761086506958e-06
Position 546: 1.0274612356210126e-06
Position 190: 5.157881823832923e-07
Position 19: 1.0142513865727232e-07
Position 52: 7.204268798105523e-08
Position 37: 2.4306457758753194e-08
Position 328: 1.1148079102256638e-08
Position 317: 4.2013286186936754e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 325: 0.9603822278607347
Position 328: 0.025940496514468708
Position 292: 0.010078552558365218
Position 544: 0.00635463229641818
Position 538: 0.0035179974855834243
Position 364: 0.0015663348730852577
Position 358: 0.000756331105562419
Position 348: 0.0005023543970906928
Position 83: 0.00027396143786577324
Position 298: 7.402708814853834e-05
Position 591: 7.085751689250277e-05
Position 68: 5.873283944983175e-05
Position 52: 2.0453006789292956e-05
Position 309: 1.1970678855800057e-05
Position 429: 5.993972029831648e-06
Position 294: 5.3230088848577565e-06
Position 577: 2.297647683637161e-06
Position 144: 1.4773464360345982e-06
Position 88: 1.1504540412282475e-06
Position 141: 8.348835690617677e-07
Position 120: 6.563228050655604e-07
Position 272: 5.349661991073579e-07
Position 171: 5.01282000065509e-07
Position 126: 1.437497990282329e-07
Position 224: 5.71377826533514e-08
Position 211: 5.050927540097851e-08
Position 173: 3.959244830856936e-08
Position 228: 1.0507002397585632e-08
Position 460: 9.648205671629411e-09
Position 147: 8.997492157587294e-09
Position 546: 1.5393990860915352e-09
Position 102: 6.395268478927768e-10
Position 156: 2.266732275164963e-11
Position 111: 4.429648180689546e-12
Position 268: 6.895597218775192e-13
