Gene = Gart
index = 1181
Annotated 5SS: [ 370 4764 5468 5750 6354 7462]
Annotated 3SS: [4515 4817 5523 5931 6411 7523]
SMsplice 5SS: [ 370 4764 5468 5750 6354 7462]
SMsplice 3SS: [4515 4817 5523 5931 6411 7523]
top_k =  500
Partition function (log Z): 4.3649765350821

Sorted 5' Splice Sites (High to Low Probability):
Position 5468: 0.9956534022428303
Position 7462: 0.9938116164521065
Position 370: 0.9564415616932067
Position 4764: 0.9358654344327731
Position 6354: 0.8807464597862893
Position 5750: 0.6442367223753596
Position 1624: 0.36441359913436083
Position 5839: 0.07436453907706621
Position 6350: 0.06457679412279982
Position 99: 0.03746964693422999
Position 6532: 0.033304922972407114
Position 374: 0.03293507198704581
Position 1619: 0.025285020478146205
Position 6340: 0.023988545450350073
Position 7014: 0.01762806055707659
Position 5760: 0.017421393508737063
Position 652: 0.01739074860885765
Position 2590: 0.015143296433139077
Position 7905: 0.00872186330298436
Position 1163: 0.008174332136797607
Position 2161: 0.006135600907794874
Position 5299: 0.005255904686328054
Position 103: 0.0041195714681812184
Position 2018: 0.003380771437920022
Position 2818: 0.0032247585624864037
Position 1759: 0.0025647201527307585
Position 5395: 0.0021803169552360763
Position 6698: 0.0016210546190462323
Position 2778: 0.001539218412899825
Position 1002: 0.0015279961876181428
Position 3296: 0.0014256214866337294
Position 1206: 0.0014208368599506157
Position 1667: 0.001387793700124277
Position 550: 0.0012789860253252386
Position 5714: 0.0012398626185252258
Position 6547: 0.0011080372249980687
Position 440: 0.0010517822517892728
Position 4724: 0.0010333809977251663
Position 1430: 0.001031942947493256
Position 5787: 0.0009091911330629468
Position 6415: 0.0008001258860865904
Position 6615: 0.0007408119785954493
Position 6175: 0.000701189751304123
Position 721: 0.0006320669173454469
Position 4646: 0.0006203183930389147
Position 7035: 0.0006066584537499786
Position 455: 0.0005266988589083945
Position 2399: 0.0005146852301220892
Position 6230: 0.000503723612803416
Position 5741: 0.0004940087830542421
Position 716: 0.00047268350232622543
Position 118: 0.00044786691053830545
Position 8809: 0.00039939102915727124
Position 142: 0.00034379632623724024
Position 1153: 0.00030924219219529927
Position 5453: 0.000291553053658308
Position 8805: 0.00028867489982705623
Position 796: 0.00028487331607759725
Position 1376: 0.0002173794332510658
