Gene = GatC
index = 1182
Annotated 5SS: [1168]
Annotated 3SS: [1221]
SMsplice 5SS: [1168]
SMsplice 3SS: [1221]
top_k =  500
Partition function (log Z): -1.8904274780508483

Sorted 5' Splice Sites (High to Low Probability):
Position 1168: 0.9912986194020844
Position 424: 0.025110981101880224
Position 28: 0.02452901715583734
Position 322: 0.015428728154385082
Position 1321: 0.012853769304721352
Position 1136: 0.007764944413541227
Position 136: 0.004250526739638882
Position 379: 0.0010801092273908274
Position 703: 0.0009125513172518971
Position 1059: 0.0008025570717181935
Position 1300: 0.0007965236618645038
Position 895: 0.000658836827841606
Position 406: 0.0005810786648492763
Position 1390: 0.00044157679500727177
Position 235: 0.0003319917864408146
Position 820: 0.00031100005795796674
Position 285: 0.0002098328799899891
Position 1312: 0.00015257492181914426
Position 481: 0.00012537491209756862
Position 673: 0.00011037644612545875
Position 781: 8.764541684215199e-05
Position 41: 7.119639220316083e-05
Position 1108: 6.760018199734478e-05
Position 363: 6.478401578291035e-05
Position 911: 4.6784651744123545e-05
Position 162: 4.4425494560516125e-05
Position 503: 2.88839269639439e-05
Position 1346: 2.57332432388299e-05
Position 333: 2.3977115461088916e-05
Position 1140: 2.3873638250530162e-05
Position 723: 2.164314750578086e-05
Position 45: 1.6073917691762215e-05
Position 787: 1.0362565210910064e-05
Position 751: 1.0315818652347286e-05
Position 1357: 9.444061555049675e-06
Position 36: 9.184365391323595e-06
Position 1314: 8.294716945830439e-06
Position 1374: 6.930600439532181e-06
Position 534: 6.8300529353935375e-06
Position 1172: 5.427918328288217e-06
Position 213: 5.321328456059619e-06
Position 56: 4.166892990761106e-06
Position 1420: 1.5936678290729926e-06
Position 326: 1.524543040138255e-06
Position 1116: 1.303194339712828e-06
Position 1035: 1.2232739744561933e-06
Position 1021: 1.1883098831555124e-06
Position 1175: 9.87330376493648e-07
Position 1128: 2.3453556357801672e-07
Position 951: 2.182966139288642e-07
Position 1240: 2.1028851408751303e-07
Position 1068: 1.5412902404230003e-07
Position 1281: 1.2238804724419667e-07
Position 340: 7.36897589079597e-08
Position 1041: 6.637288049166382e-08
Position 22: 5.231220095148596e-08
Position 151: 3.8259163952880336e-08
Position 660: 3.67262687171821e-08
Position 919: 3.2457468516509323e-08
Position 5: 1.8577825791488153e-08
Position 587: 5.028679635237147e-09
Position 445: 5.762226566573265e-10
Position 562: 4.3250445592946e-10
Position 228: 1.377312990090614e-10
Position 937: 1.2789697301244097e-10
Position 852: 8.634118179260466e-11
Position 613: 1.1411796529765527e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1221: 0.9996921733443294
Position 818: 0.017133174709847
Position 893: 0.010774794727562827
Position 1396: 0.010188671598151643
Position 852: 0.009013048623030644
Position 378: 0.008093356934406219
Position 937: 0.005946594875048906
Position 93: 0.0038257721824561234
Position 117: 0.00334869256643067
Position 192: 0.0032317818790118832
Position 1449: 0.0029084782832787762
Position 796: 0.002101069015943253
Position 135: 0.0020059960313831646
Position 996: 0.001482062670065079
Position 775: 0.0010652151192693327
Position 1361: 0.0010019911523514377
Position 743: 0.0009585606683075637
Position 213: 0.000901883625669891
Position 596: 0.0008218203662824341
Position 691: 0.0006079356662798687
Position 729: 0.00057128039463039
Position 114: 0.0005511322351735804
Position 1446: 0.00038251452131169003
Position 1029: 0.0003609031791186949
Position 176: 0.0003601396087866343
Position 144: 0.0002354209189983123
Position 540: 0.0002128511371722714
Position 1135: 0.00010994829070993377
Position 695: 7.57769848938726e-05
Position 1035: 6.824658245513001e-05
Position 1407: 6.799270562457407e-05
Position 503: 5.7013372583272887e-05
Position 671: 4.361936768925922e-05
Position 1430: 3.155161906913187e-05
Position 660: 2.7577802354169162e-05
Position 875: 2.6362358264854103e-05
Position 1146: 1.9479812736310497e-05
Position 899: 7.530351517307298e-06
Position 388: 6.846122684209822e-06
Position 1532: 6.5941695353868455e-06
Position 318: 5.341572112084597e-06
Position 297: 4.704341677656179e-06
Position 474: 3.3419450053650926e-06
Position 162: 3.1606585705837424e-06
Position 278: 3.106984105566708e-06
Position 248: 2.9466233791382744e-06
Position 357: 2.4480356765294777e-06
Position 1516: 2.2435248700816235e-06
Position 1505: 1.5022978876844965e-06
Position 423: 1.4081733962046677e-06
Position 273: 1.306566503754737e-06
Position 354: 1.2869776424539145e-06
Position 1540: 1.0713059867530144e-07
Position 1015: 7.679183872893645e-08
Position 285: 5.2244739618876154e-08
Position 905: 4.9274265430559755e-08
Position 151: 1.2496338581095727e-08
Position 53: 1.476990524095252e-09
Position 363: 1.0766675721190263e-09
Position 222: 9.811625069722817e-10
Position 405: 2.0229199681787589e-10
Position 50: 4.824428569566563e-11
Position 275: 4.6898231957536504e-11
Position 256: 3.6027960827473426e-12
