Gene = arx
index = 1612
Annotated 5SS: [235]
Annotated 3SS: [302]
SMsplice 5SS: [235]
SMsplice 3SS: [302]
top_k =  500
Partition function (log Z): -8.165903987879252

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.825042907621739
Position 187: 0.15506610689137768
Position 453: 0.01629284524005937
Position 477: 0.011752139880881588
Position 653: 0.005003786807021898
Position 239: 0.004824596596086336
Position 430: 0.004127710700583063
Position 266: 0.0038828641689180776
Position 175: 0.0031725964072066974
Position 252: 0.0014760114089856968
Position 650: 0.0011340650091222638
Position 155: 0.00020045211177045994
Position 460: 0.00016164300411966403
Position 203: 0.00015362923809827153
Position 255: 9.435072327177033e-05
Position 401: 8.419953846611416e-05
Position 791: 6.734548750165096e-05
Position 157: 6.544618149167519e-05
Position 45: 6.459228703042877e-05
Position 432: 6.225676414662518e-05
Position 4: 2.7751617685988484e-05
Position 258: 1.8555196689496133e-05
Position 659: 1.8254626929937965e-05
Position 880: 1.5386518484631224e-05
Position 494: 1.3236190369368827e-05
Position 763: 1.0029212418995527e-05
Position 228: 9.844219197047992e-06
Position 299: 8.528536665546392e-06
Position 657: 7.1653331547801305e-06
Position 803: 6.897763671134974e-06
Position 888: 2.51644908198528e-06
Position 725: 1.1299643420573886e-06
Position 50: 3.8924631641578454e-07
Position 85: 2.4769783995389957e-07
Position 317: 4.999550924608552e-08
Position 339: 2.594525055319713e-08
Position 270: 1.0545359932455824e-08
Position 96: 9.148254913819277e-09
Position 191: 2.522803668651211e-09
Position 366: 1.1169745722729622e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 302: 0.6257178585597276
Position 350: 0.14491807656342295
Position 281: 0.1062051226018415
Position 509: 0.03242223203048045
Position 339: 0.030982710306412566
Position 286: 0.02430158400650306
Position 244: 0.01989597876731755
Position 530: 0.014452288093763718
Position 921: 0.012767227266017825
Position 373: 0.009361022137901614
Position 452: 0.003593534590193712
Position 514: 0.002122061083851848
Position 803: 0.001957227372767214
Position 355: 0.0015230323121823493
Position 255: 0.0004362008308688442
Position 258: 0.0003706799984774097
Position 808: 0.0003558584504223838
Position 378: 0.00034938715354258554
Position 466: 0.00033221593222334405
Position 791: 0.0002541004812553806
Position 395: 0.0001457223553357214
Position 385: 0.0001074055267967994
Position 938: 9.666628204912073e-05
Position 105: 6.22334506040041e-05
Position 628: 5.102612535269009e-05
Position 220: 3.274508757630599e-05
Position 688: 2.3872680056703785e-05
Position 203: 2.273024592003592e-05
Position 323: 3.666177191539414e-06
Position 846: 3.1219160328179766e-06
Position 108: 1.5752992216537926e-06
Position 129: 2.729027886437329e-07
Position 228: 5.1779963085827085e-08
Position 407: 1.9199107687768743e-08
Position 138: 1.7423602767939502e-08
Position 239: 1.653354884828765e-08
Position 126: 1.2502589318686438e-08
Position 563: 6.3912986148753e-09
Position 169: 5.873401772598767e-09
Position 572: 4.051638277535092e-09
Position 575: 3.967915458340468e-09
Position 222: 1.956214233793826e-09
Position 135: 5.416944846390492e-10
