Gene = mael
index = 1784
Annotated 5SS: [3483 3727 4340]
Annotated 3SS: [3527 3782 4401]
SMsplice 5SS: [ 273  703 3483 3727 4340]
SMsplice 3SS: [ 322 2989 3536 3782 4401]
top_k =  500
Partition function (log Z): 8.53014529284656

Sorted 5' Splice Sites (High to Low Probability):
Position 3483: 0.9986681882266293
Position 4340: 0.9873716693705566
Position 3727: 0.9853090979291281
Position 273: 0.7365267436446161
Position 703: 0.5254773940221747
Position 2902: 0.2567750137014798
Position 390: 0.20783251248564502
Position 3215: 0.19539005467481288
Position 929: 0.17486723656832764
Position 3210: 0.1742844093913819
Position 555: 0.1265137387159132
Position 905: 0.12105984305985157
Position 200: 0.11893948410906066
Position 3198: 0.11186885181646751
Position 948: 0.08933796018320816
Position 251: 0.07393313106777831
Position 2474: 0.030101482353972517
Position 215: 0.029734399250889592
Position 710: 0.024492667283620203
Position 1112: 0.024406130015945167
Position 3222: 0.021438979970641293
Position 965: 0.019820563757705644
Position 1236: 0.018822394314473953
Position 3153: 0.01154209382533413
Position 3954: 0.00848479647462101
Position 3058: 0.006987987377986526
Position 2685: 0.0050694308202887395
Position 862: 0.004359432286922081
Position 3073: 0.004014728960033661
Position 3157: 0.0036681724959299403
Position 1770: 0.0025300343376435633
Position 584: 0.00200287497206098
Position 2001: 0.001738383400325404
Position 2466: 0.0014797953142921833
Position 2539: 0.0014352618545184713
Position 1957: 0.0013044297368675257
Position 2737: 0.0011745856851978972
Position 403: 0.0011515128811473592
Position 725: 0.0010451466273840174
Position 714: 0.001029510960223497
Position 2095: 0.000996654614342805
Position 4447: 0.0009618811635777493
Position 277: 0.0007894976913529871
Position 108: 0.0007228236527416141
Position 4563: 0.0006920288673318141
Position 219: 0.0006912330250335938
Position 1104: 0.0006719936621235192
Position 1962: 0.0005586287562556556
Position 1036: 0.0005539409524915919
Position 819: 0.0005539176656943165
Position 4127: 0.0004958799484261252
Position 18: 0.0004612585639171087
Position 3933: 0.00045327404554968803
Position 560: 0.0004478164455041145
Position 4461: 0.00035438222601229133
Position 2213: 0.0003429079996834324
Position 689: 0.00029205292370679313
Position 3799: 0.0002499175495038773
Position 1970: 0.00024927095813034503
Position 4442: 0.00020987034496125167
Position 4193: 0.00019324790887643802
Position 453: 0.00016488676573632154
Position 4482: 0.0001619708818801192
Position 4153: 0.00015456061992657487
Position 900: 0.00015268686459378586
Position 503: 0.00014802185111140965
Position 734: 0.00013737990198852865
Position 4882: 9.979861718063831e-05
Position 1110: 8.893879029856413e-05
Position 1297: 7.776748227101261e-05
Position 4778: 5.6071629309418066e-05
Position 3865: 5.587750735393153e-05
Position 545: 4.698768680888587e-05
Position 400: 4.44730085706905e-05
Position 4861: 3.913984325675733e-05
Position 3382: 3.7610608295104324e-05
Position 3886: 3.1401910382892105e-05
Position 3515: 3.0488583481552357e-05
Position 800: 2.9259473348166055e-05
Position 140: 2.877151822226946e-05
Position 728: 2.249705480531591e-05
Position 31: 8.872543610464085e-06
Position 3636: 8.835693562661698e-06
Position 28: 7.926323916553583e-06
Position 3848: 6.978608579005891e-06
Position 526: 6.6544316900527225e-06
Position 3685: 6.553361011663522e-06
Position 185: 6.077987586948802e-06
Position 122: 5.72402231621162e-06
Position 4681: 5.289016682234712e-06
Position 4428: 4.766437967503116e-06
