Gene = OS9
index = 1341
Annotated 5SS: [91]
Annotated 3SS: [149]
SMsplice 5SS: [91]
SMsplice 3SS: [149]
top_k =  500
Partition function (log Z): -4.94829389374681

Sorted 5' Splice Sites (High to Low Probability):
Position 91: 0.9911250196772968
Position 713: 0.2577993057848927
Position 668: 0.03699520221074176
Position 216: 0.008679552176649369
Position 459: 0.0045936494012275295
Position 489: 0.0043157106121115285
Position 612: 0.002463347369318299
Position 555: 0.002212630644606775
Position 590: 0.001857844183894948
Position 723: 0.0010735244057414118
Position 648: 0.0005682030965494151
Position 586: 0.0004996674017986377
Position 620: 0.0004653690366265709
Position 543: 0.0003946227585772596
Position 258: 0.0003754549334003514
Position 706: 0.00030453458256131984
Position 578: 0.0002574973884734481
Position 330: 1.941846022305478e-05
Position 179: 1.3421752056235716e-05
Position 246: 1.3261089929530652e-05
Position 759: 1.2853287727321493e-05
Position 70: 8.294600485109354e-06
Position 192: 7.925680812628839e-06
Position 194: 6.560631418609988e-06
Position 3: 5.475569945372227e-06
Position 462: 3.548852099015249e-06
Position 465: 9.43344104161388e-07
Position 751: 6.489737280505412e-07
Position 24: 3.040955176877152e-07
Position 64: 3.084794264199461e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 149: 0.8832025737311127
Position 775: 0.317858466312299
Position 426: 0.03385708923178219
Position 156: 0.024934790778028314
Position 222: 0.018870068090175152
Position 179: 0.012467475746732634
Position 546: 0.0104413770625581
Position 743: 0.006339820659912118
Position 313: 0.003257579079346074
Position 236: 0.0005776704079868795
Position 299: 0.0004025402087217971
Position 192: 0.0003016368617299657
Position 829: 0.00027322311136685867
Position 805: 0.00021022207585510974
Position 482: 0.0001885198482355574
Position 713: 0.00017825654209244806
Position 430: 0.0001484877146185754
Position 379: 0.00014726960592996926
Position 723: 0.00013500670980013443
Position 802: 9.06188390742122e-05
Position 470: 5.288376261133718e-05
Position 323: 3.214588718616608e-05
Position 586: 3.146059590171377e-05
Position 551: 2.693884988471639e-05
Position 450: 2.5925568107039517e-05
Position 64: 5.3042908059654335e-06
Position 751: 4.684089875130236e-06
Position 635: 3.8435095875167476e-06
Position 132: 2.913335936475867e-06
Position 506: 1.819928180822306e-06
Position 435: 1.3146595938017406e-06
Position 371: 1.0965662731908502e-06
Position 598: 6.34720994689864e-07
Position 812: 1.1660280206112609e-07
Position 73: 3.509627131897695e-08
Position 84: 1.1163157406654282e-08
Position 103: 8.469838252972178e-10
Position 269: 2.0983733517713531e-10
Position 554: 1.960981622368598e-10
Position 317: 1.571780623940415e-10
Position 409: 1.1043904053096245e-10
Position 398: 8.237357934342037e-11
Position 95: 3.008162004700979e-12
Position 386: 1.1891505959033218e-14
