Gene = baf
index = 1620
Annotated 5SS: [272]
Annotated 3SS: [353]
SMsplice 5SS: [272]
SMsplice 3SS: [353]
top_k =  500
Partition function (log Z): -3.098723227826883

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9330610744946972
Position 627: 0.13366313113281642
Position 497: 0.11778582400865965
Position 280: 0.043376474611173686
Position 50: 0.018055777897476723
Position 730: 0.01729668377732984
Position 631: 0.015571039362990783
Position 276: 0.01363006966375811
Position 525: 0.012229054746783008
Position 299: 0.00856349142074951
Position 482: 0.008487928776925306
Position 874: 0.0022334210591518603
Position 504: 0.001674508728357075
Position 426: 0.0016634937742343657
Position 202: 0.0007037029490700279
Position 725: 0.0006210595465680777
Position 736: 0.0005821562727264242
Position 734: 0.00045755806480768564
Position 635: 0.0004281952686810857
Position 206: 9.793202653329783e-05
Position 833: 8.075564859401793e-05
Position 6: 7.731979045248576e-05
Position 8: 6.320079476883666e-05
Position 618: 5.850278034348129e-05
Position 240: 4.229219964958507e-05
Position 590: 3.859107919412824e-05
Position 54: 3.2927524646068355e-05
Position 278: 2.8333331038106288e-05
Position 643: 2.502648875991669e-05
Position 491: 2.0680809925574014e-05
Position 650: 1.3709208727228319e-05
Position 620: 1.1137664333295845e-05
Position 866: 9.400456074444984e-06
Position 120: 8.887828865203544e-06
Position 880: 5.967504740392574e-06
Position 11: 1.0916358330380433e-06
Position 325: 5.330502957523685e-07
Position 469: 5.11415004792381e-07
Position 580: 1.1108485223986806e-07
Position 148: 8.914266402565527e-08
Position 320: 2.3327646998355908e-08
Position 179: 2.0197140688625134e-08
Position 428: 1.1538202833459532e-08
Position 381: 1.050353104423202e-08
Position 648: 6.837086152977418e-09
Position 374: 2.565774551361501e-09
Position 404: 4.325431897503547e-10
Position 347: 1.196964880837922e-10
Position 363: 3.1099434954721018e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9964403740604181
Position 682: 0.19739335489857904
Position 580: 0.05173943672203832
Position 796: 0.02573666713884394
Position 553: 0.015255213287080661
Position 97: 0.014310683826427476
Position 930: 0.009286748645868773
Position 540: 0.008392793244167574
Position 125: 0.0023085145132075227
Position 374: 0.002296179476972177
Position 824: 0.0014298299766683962
Position 640: 0.001424097252629468
Position 128: 0.0010659933396782095
Position 821: 0.0010038491035581462
Position 631: 0.0008217896997414394
Position 392: 0.00036551005467171875
Position 163: 0.00029160360127520056
Position 646: 0.00025467507908173535
Position 725: 0.0001886359915800653
Position 877: 0.0001720282819290587
Position 874: 0.00011402305488091488
Position 102: 0.00010616749753245945
Position 1006: 8.13216512171321e-05
Position 64: 7.725551507712481e-05
Position 325: 2.375766768096697e-05
Position 730: 2.3696472998452402e-05
Position 604: 1.9161979521767183e-05
Position 880: 1.673067416580768e-05
Position 320: 1.3342744432215514e-05
Position 901: 1.1678161466565247e-05
Position 171: 9.229794521891249e-06
Position 733: 7.256496499397444e-06
Position 1053: 4.978890069337199e-06
Position 766: 4.768409320944387e-06
Position 401: 4.571999555034734e-06
Position 253: 2.9022117196165627e-06
Position 449: 7.984919733475823e-07
Position 439: 6.266639994772576e-07
Position 488: 3.860395542330955e-07
Position 491: 3.0919091929725947e-07
Position 590: 2.547800392968472e-07
Position 398: 2.1551615591705628e-07
Position 422: 1.7689179718675935e-07
Position 133: 4.531044351485635e-08
Position 609: 4.4931640127041065e-08
Position 202: 2.8211683564496624e-08
Position 410: 1.2929092538330637e-08
Position 425: 2.020591564064197e-09
Position 501: 1.400855834711803e-10
Position 187: 1.393215401660506e-11
