Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388  55577 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249  55499 119080 121577 121781 122560 122765]
top_k =  500
Partition function (log Z): -138.1096622128236

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.9134291979422006
Position 2716: 0.8257193892242005
Position 795: 0.6516432677108268
Position 16388: 0.22791542838082987
Position 16449: 0.2147076087677586
Position 10909: 0.17325665398583665
Position 1734: 0.1460341040602872
Position 16407: 0.1406493652563755
Position 16763: 0.12655349774916158
Position 2503: 0.12434355158588173
Position 238: 0.1046188993202594
Position 545: 0.05337001000420088
Position 2431: 0.047760285641761595
Position 1019: 0.04639335994844629
Position 154: 0.023121390895329223
Position 1920: 0.019918538439763014
Position 1727: 0.01806521381039956
Position 1824: 0.017376629278926994
Position 844: 0.012319513245684229
Position 437: 0.008956486263322355
Position 1419: 0.006944310554616782
Position 502: 0.006721041577360101
Position 539: 0.006270580499816452
Position 1493: 0.005328514975341831
Position 222: 0.004472380976978632
Position 1390: 0.004457130535196117
Position 12: 0.004372709797810783
Position 747: 0.004340968993929516
Position 269: 0.003257985893784268
Position 479: 0.003239370728679314
Position 883: 0.003197659556318485
Position 529: 0.0026267223083900394
Position 964: 0.002378091902999603
Position 2191: 0.0021601600548653926
Position 1172: 0.002097271942956344
Position 340: 0.0020729818764100775
Position 662: 0.0017565071233600087
Position 147: 0.0017449283630061652
Position 190: 0.0016126149709569345
Position 1926: 0.0010462066775937656
Position 40: 0.001040919136775622
Position 650: 0.0007710673153292178
Position 1999: 0.0007701987988165624
Position 160: 0.0006585928567998964
Position 1377: 0.000540786778913275
Position 15882: 0.0005285869459951891
Position 859: 0.00045804578499805703
Position 231: 0.00041619267028941915
Position 18038: 0.000319448617067142
Position 799: 0.00030860938450877627
Position 1317: 0.0003014917018829903
Position 722: 0.0002990372510105847
Position 332: 0.0002935738642294077
