Gene = Papss
index = 1359
Annotated 5SS: [ 2311  3106 13200 15048]
Annotated 3SS: [ 2876 13084 13521 15111]
SMsplice 5SS: [  338 13200 15048]
SMsplice 3SS: [13084 13521 15111]
top_k =  500
Partition function (log Z): 2.7823886144205114

Sorted 5' Splice Sites (High to Low Probability):
Position 15048: 0.9910779343298494
Position 338: 0.9801694392562802
Position 13200: 0.9801447464446992
Position 2311: 0.6735570882981033
Position 10030: 0.6486638105430332
Position 3106: 0.5959920985697625
Position 2502: 0.1428820747384956
Position 2984: 0.12340727871529701
Position 994: 0.1202141646653435
Position 2353: 0.0742421895048321
Position 8426: 0.061997304021455875
Position 136: 0.0567601337094526
Position 7661: 0.05347364578914797
Position 2735: 0.05070473305547287
Position 1654: 0.046785368030722425
Position 14407: 0.04427434807894039
Position 3655: 0.04419579027642793
Position 14464: 0.04072278651772232
Position 9164: 0.02841106371240628
Position 2064: 0.02419213323941182
Position 14855: 0.021435594458996423
Position 2979: 0.020878889536290905
Position 2658: 0.017326570229646326
Position 151: 0.017188992688280356
Position 14874: 0.016060068949186938
Position 3519: 0.013630271798648196
Position 2757: 0.012600935295726126
Position 13971: 0.012221154626935349
Position 1348: 0.011841774833054694
Position 12: 0.010476059434031385
Position 3532: 0.009455361415544528
Position 14573: 0.009055101907761345
Position 3305: 0.008846989742117303
Position 1237: 0.007231432644623592
Position 602: 0.005245408460777663
Position 2478: 0.004405191014282793
Position 20: 0.00431684955920792
Position 2344: 0.003256505575577761
Position 14552: 0.003245747520719546
Position 14150: 0.0031945735213919167
Position 259: 0.0026693247309845618
Position 15054: 0.002478313044262399
Position 1904: 0.0024326450262073746
Position 2488: 0.002150606827205075
Position 1593: 0.002088435057106507
Position 13762: 0.0020808640032844035
Position 15315: 0.001979233901459699
Position 14496: 0.0017330396866462074
Position 569: 0.0015704054024366424
Position 13275: 0.0015394410306895164
Position 3265: 0.0009663293310111336
Position 15498: 0.000887143728620119
Position 10380: 0.000856538887555559
Position 15360: 0.0006746695994583749
Position 1723: 0.0006627619710259
Position 455: 0.0006354031813327129
Position 13228: 0.000634957060329595
Position 10482: 0.0006003897648606382
Position 353: 0.0005758594210182534
Position 1431: 0.00047498845231518577
Position 15345: 0.00035361589318492283
Position 203: 0.0003060213158665068
Position 15004: 0.000284483265450492
Position 1197: 0.00025575445118912053
Position 419: 0.0002278529147902255
Position 15370: 0.00022617423769232849
Position 651: 0.0002111987617560091
Position 10001: 0.0001662380066752975
Position 37: 0.00014373634110876308
Position 4: 0.0001197260045406489
