Gene = trbl
index = 1918
Annotated 5SS: [1184]
Annotated 3SS: [4133]
SMsplice 5SS: [1184]
SMsplice 3SS: [4133]
top_k =  500
Partition function (log Z): -6.21526259406045

Sorted 5' Splice Sites (High to Low Probability):
Position 1184: 0.9810264128701444
Position 2025: 0.4316659508704188
Position 4031: 0.22219148558694923
Position 4045: 0.13339464011523441
Position 4315: 0.050056699341602284
Position 260: 0.015443045581783539
Position 2893: 0.0136383951854032
Position 4941: 0.013494200361361935
Position 133: 0.008640479824564992
Position 58: 0.007679418582033974
Position 4319: 0.0074517372991917555
Position 1544: 0.0072592488221026935
Position 1548: 0.007253244409288698
Position 3933: 0.006166441276109335
Position 2021: 0.006033612779539075
Position 2074: 0.0058201005085192
Position 2990: 0.005710873191547317
Position 1201: 0.005632995793537017
Position 3213: 0.004702744018407378
Position 1564: 0.004679062075885265
Position 2903: 0.004186813861140946
Position 1572: 0.004099235251530977
Position 3406: 0.0030770166448178893
Position 2701: 0.0030206010273095196
Position 338: 0.0029214955155803368
Position 3410: 0.002641387188674334
Position 4411: 0.002286238261981613
Position 4944: 0.0022179867316827443
Position 2559: 0.0021336614348931686
Position 2656: 0.0020886929038039
Position 2964: 0.0017258494183291387
Position 97: 0.0016345684408540437
Position 4407: 0.001340940931292301
Position 3361: 0.0011491389876551864
Position 3104: 0.0010458553251300427
Position 227: 0.000988212732647462
Position 3454: 0.0009876595578096586
Position 2642: 0.0009783120361535943
Position 136: 0.000851386025777258
Position 2192: 0.0008392889420045512
Position 325: 0.0008052023906561692
Position 3054: 0.0007592202472810703
Position 513: 0.000742725568875679
Position 2603: 0.000717969189105765
Position 1874: 0.0006400592289766099
Position 3938: 0.0005877563726421383
Position 2705: 0.0004988807139500316
Position 840: 0.0004647004271193481
Position 161: 0.00042274316100054065
Position 1969: 0.00041102611148002616
Position 2720: 0.0003853695572189717
Position 819: 0.0003845501544615073
Position 299: 0.0003309504625787167
Position 1988: 0.0003175852289963117
Position 2585: 0.0003051373829829035
Position 803: 0.0003010785262740928
Position 35: 0.0002989854463176928
Position 1113: 0.0002982489948876823
Position 3300: 0.0002810537267200832
Position 2036: 0.00027864062979576185
Position 2548: 0.00026502226499360015
Position 1552: 0.00021649205875287207
Position 139: 0.00018602230682312573
Position 1979: 0.0001740836022922027
Position 67: 0.0001696130950348353
Position 317: 0.00016350255808857312
Position 330: 0.00016147892301764206
Position 4311: 0.0001496631905458561
Position 4641: 0.0001362881790018129
Position 248: 0.00012520532084938006
Position 1455: 0.00012096220375452162
Position 1595: 0.00011204983634470235
Position 335: 0.00011083319367717362
Position 493: 0.00010921962722097485
Position 364: 0.00010871132782740599
Position 101: 0.00010082254487106559
Position 737: 9.538798724838733e-05
Position 3365: 9.303803706120798e-05
Position 2148: 9.065754112671116e-05
Position 2023: 8.684316131057352e-05
Position 814: 8.378232314988438e-05
Position 1019: 7.609602290155844e-05
Position 673: 7.42433454998329e-05
Position 1718: 6.227695650037065e-05
Position 1754: 5.698288540521153e-05
Position 750: 5.429345442939556e-05
Position 414: 5.127020577492468e-05
Position 1451: 5.100466069352368e-05
Position 53: 5.050641555724337e-05
Position 1188: 4.4772643141505266e-05
Position 149: 3.178066194780806e-05
Position 1656: 2.5842614144710894e-05
Position 1061: 1.564814189166627e-05
Position 1003: 1.5338682529258563e-05
Position 206: 1.525750550914797e-05
Position 370: 1.1945061277456938e-05
Position 30: 1.1420842072584373e-05
Position 196: 1.1031149985594435e-05
Position 76: 7.92168134470184e-06
Position 2104: 6.129080897420428e-06
Position 1575: 6.070519438731155e-06
Position 1677: 5.872215772423162e-06
Position 1997: 4.417847108674478e-06
Position 1720: 3.6019215201529694e-06
