Gene = HP4
index = 1205
Annotated 5SS: [393]
Annotated 3SS: [466]
SMsplice 5SS: [393]
SMsplice 3SS: [466]
top_k =  500
Partition function (log Z): -4.110864992479715

Sorted 5' Splice Sites (High to Low Probability):
Position 393: 0.9648071227265457
Position 61: 0.13509721247526635
Position 397: 0.024836404223848602
Position 404: 0.00447267568303669
Position 47: 0.004127210953125969
Position 209: 0.003458475699578896
Position 305: 0.0023723116673543135
Position 224: 0.0014313057981934405
Position 585: 0.00047456875059660817
Position 197: 0.00043522907349488957
Position 613: 0.00035378554729507684
Position 11: 0.00019808436865344995
Position 576: 0.00018422761683084077
Position 4: 0.00015161432165639168
Position 23: 9.907432761706555e-05
Position 244: 3.998071188770413e-05
Position 217: 2.944233677748382e-05
Position 247: 2.1991970690001164e-05
Position 202: 1.079404775316123e-05
Position 486: 5.167649274176645e-06
Position 309: 4.746905619329862e-06
Position 185: 3.4290543238664354e-06
Position 277: 2.3485033898599247e-06
Position 363: 2.3298384915491523e-06
Position 112: 2.2591607645530666e-06
Position 591: 2.1174721866320917e-06
Position 329: 1.655198449276929e-06
Position 350: 1.4509573103996478e-06
Position 566: 1.0654222842066986e-06
Position 219: 6.112555317728268e-07
Position 167: 4.411414804301127e-07
Position 137: 2.964783809359667e-07
Position 311: 2.851138238362483e-07
Position 470: 1.0501308282739483e-07
Position 454: 4.506916803333286e-08
Position 267: 7.426464564955538e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 466: 0.997876018194656
Position 172: 0.09779778709909527
Position 121: 0.03651129824208109
Position 142: 0.004861700618079488
Position 289: 0.0021034386552376536
Position 314: 0.000682389949555973
Position 363: 0.0006052875433425133
Position 470: 0.0005804144602702959
Position 680: 0.0005272164437357093
Position 650: 0.00040770019869482274
Position 504: 0.0003532992228010915
Position 663: 9.870229498166086e-05
Position 521: 9.665483470278485e-05
Position 295: 4.090628846785013e-05
Position 440: 3.464649659853124e-05
Position 539: 1.7510948300865744e-05
Position 196: 1.5098831815044153e-05
Position 339: 6.139758055498144e-06
Position 610: 4.335315774413187e-06
Position 79: 1.6224957059699604e-06
Position 208: 1.3278149546099023e-06
Position 476: 1.2944088561210188e-06
Position 583: 9.676322232657483e-07
Position 297: 7.950991490985614e-07
Position 523: 7.405622878364516e-07
Position 244: 6.39936255165925e-07
Position 428: 5.535323441489856e-07
Position 566: 4.006878079241632e-07
Position 576: 3.176340331890824e-07
Position 60: 2.008133496586968e-07
Position 217: 1.3443472453120287e-07
Position 396: 6.505429218251524e-08
Position 597: 5.8836710443070805e-08
Position 483: 5.42118408311119e-08
Position 190: 4.422739192805901e-08
Position 334: 3.801086599863327e-08
Position 81: 3.531908471236213e-08
Position 202: 2.782622215541603e-08
Position 235: 1.002160084463304e-08
Position 56: 4.230400489049806e-12
Position 183: 2.5887653338172017e-14
Position 391: 2.5035138856118648e-14
