Gene = Ccn
index = 1059
Annotated 5SS: [  461 21129 26048 26171 31874 33271 39859 40327 48912]
Annotated 3SS: [21042 25951 26148 31793 33125 39568 40173 48623 57667]
SMsplice 5SS: [  461 21129 26171 33271 39859 40327]
SMsplice 3SS: [21042 25951 33125 39568 40173 57667]
top_k =  500
Partition function (log Z): -12.494694252273003

Sorted 5' Splice Sites (High to Low Probability):
Position 21129: 0.9999999999999971
Position 40327: 0.9999999988895161
Position 39859: 0.9991241795820316
Position 461: 0.9623286288648563
Position 26171: 0.6547569519408089
Position 26048: 0.38847128715762086
Position 48912: 0.32019049509989916
Position 2340: 0.07784199494112455
Position 1914: 0.04333515662327302
Position 730: 0.04303533155097524
Position 104: 0.027100419502213518
Position 3247: 0.017591935515642535
Position 7241: 0.012887891551159967
Position 5504: 0.012351700708029578
Position 5195: 0.012319961756007844
Position 284: 0.0028902684871696914
Position 473: 0.001648846921034147
Position 98: 0.0010855347744139234
Position 94: 0.0006472721799024537
Position 971: 0.00013416460092608348
Position 108: 0.00010843616879746128
Position 445: 0.00010776382074764429
Position 1340: 6.082381820994745e-05
Position 1507: 4.54773574635423e-05
Position 1687: 2.550141526071571e-05
Position 1260: 2.1915851438047884e-05
Position 432: 7.995462756305892e-06
Position 484: 7.5874605175679614e-06
Position 923: 6.774086679095769e-06
Position 434: 5.559865447619193e-06
Position 1271: 3.907297756693138e-06
Position 846: 3.829002444050553e-06
Position 1243: 3.5891304400426515e-06
Position 772: 3.304284284995586e-06
Position 934: 2.0544732322154685e-06
Position 613: 1.9074046429556957e-06
Position 288: 1.833432811654486e-06
Position 182: 1.6594063854946055e-06
Position 884: 1.392673167555463e-06
Position 100: 1.25015933909827e-06
Position 298: 1.0703292669537835e-06
Position 563: 7.878213522075861e-07
Position 339: 5.422571183803669e-07
Position 465: 5.356817636212055e-07
Position 404: 3.724632320750749e-07
Position 349: 3.112213337630889e-07
Position 9: 3.0157533278183797e-07
Position 384: 2.2530230305717716e-07
Position 209: 2.0687720418555888e-07
Position 221: 1.733425363045217e-07
Position 212: 1.1537933643052202e-07
Position 598: 9.686545153693431e-08
Position 235: 7.519164297967266e-08
Position 543: 6.71671805634387e-08
Position 85: 6.346539588842808e-08
Position 311: 5.207213791869327e-08
Position 520: 5.051714537755245e-08
Position 252: 4.764950292166892e-08
Position 232: 3.5045783148309026e-08
Position 381: 3.2082624022961756e-08
Position 245: 3.061431516252919e-08
Position 226: 3.0048688175857844e-08
Position 376: 2.1678107279049914e-08
Position 45590: 1.787176564939004e-08
Position 2918: 9.204756450556152e-21
Position 1997: 7.738540211573273e-21
Position 1484: 3.669220591650463e-21
Position 2424: 1.4797570496355773e-21
Position 980: 1.407388936281248e-22
Position 913: 2.879897936363444e-24
Position 110: 1.3890226904474096e-24
Position 41: 1.02813774073715e-24
Position 28: 9.406940727301186e-25
Position 6: 6.678767072198663e-25
Position 302: 5.791195691139838e-25
Position 858: 5.401893544290544e-25
Position 102: 4.47249119642924e-25
Position 300: 2.832072483868653e-25
Position 87: 1.8564214704240172e-25
Position 764: 4.0602022024845106e-26
Position 639: 3.783464260757969e-26
Position 699: 4.281268621326661e-27
Position 6984: 1.2679329585635863e-28
Position 4132: 3.725739605924566e-29
Position 6940: 2.1024200320957183e-29
Position 5665: 1.2892579112013587e-30
Position 3451: 1.2074118204864562e-31
Position 2861: 7.430527595974274e-32
Position 2679: 4.024220489909243e-32
Position 2516: 2.599892929459811e-32
Position 2884: 1.5523547807139446e-32
Position 929: 1.2094877873721692e-35
Position 1118: 4.953429386468361e-36
Position 1275: 3.043720741791007e-36
Position 1009: 4.218682626685287e-37
Position 788: 2.7329649389367153e-37
Position 865: 1.8413794282161574e-37
Position 794: 1.6482089604052744e-37
Position 863: 1.481932717031791e-37
Position 646: 5.889459250036232e-39
Position 541: 6.057958787519254e-41
Position 551: 5.402002366250738e-41
Position 112: 2.105175928519991e-41

Sorted 3' Splice Sites (High to Low Probability):
Position 25951: 0.9999999999999971
Position 39568: 0.9999999999999969
Position 21042: 0.9999999999999968
Position 57667: 0.9991961549313347
Position 40173: 0.7831406616456846
Position 40176: 0.2059290319274859
Position 48400: 0.10888020830908307
Position 48674: 0.10230807508873992
Position 48623: 0.09684011012703536
Position 26148: 0.04322823909843273
Position 541: 0.037511139636323486
Position 2194: 0.03188674897274529
Position 2233: 0.025575771057381486
Position 5041: 0.018012536840745497
Position 3087: 0.017030331107040456
Position 7093: 0.010561598320072283
Position 520: 0.010547894791147606
Position 40119: 0.010054486008860324
Position 1809: 0.010006612394860927
Position 646: 0.008332717208574624
Position 1758: 0.008208172185388251
Position 1639: 0.007607213622016366
Position 48371: 0.007024209072388767
Position 47828: 0.00515855158775654
Position 1812: 0.0044487005969540095
Position 5376: 0.00406132984497562
Position 2072: 0.0037563652888893528
Position 1572: 0.0036030549581246058
Position 1041: 0.003261029837591752
Position 1400: 0.0020184929110308755
Position 3794: 0.0014985127270707747
Position 908: 0.0014717097518783368
Position 2107: 0.0013071696519609357
Position 6726: 0.0013033568852404461
Position 5361: 0.0010992830512455568
Position 6168: 0.0010229363458472425
Position 54022: 0.0007519258785576558
Position 2423: 0.0003240581454967041
Position 1968: 0.0002998314985515124
Position 811: 0.00024108293110511705
Position 3097: 0.000237546263105355
Position 1196: 0.00022901955258037256
Position 2084: 0.00016269881936644144
Position 50539: 1.9833343364735673e-05
Position 50509: 7.433545986787705e-06
Position 48983: 1.7300465324880837e-06
Position 47182: 1.4752126611521474e-06
Position 45101: 3.0107457748110446e-07
Position 45725: 1.723055244527016e-07
Position 47308: 1.2724309476888205e-07
Position 46367: 6.260263842906169e-08
Position 45741: 3.5645985522471083e-08
Position 44285: 2.636862150426902e-08
Position 44627: 2.1509562577058296e-08
Position 43628: 9.205970434792529e-09
Position 43781: 8.939026641059634e-09
Position 45064: 8.483548909737388e-09
Position 43430: 5.081139007799493e-09
Position 40998: 4.12817157357143e-09
Position 44468: 3.5574267442320563e-09
Position 44202: 2.9740761363095017e-09
Position 43849: 2.3053117107785785e-09
Position 40749: 2.1475797691351853e-09
Position 43464: 1.8317335459234872e-09
Position 40705: 1.4424052173446646e-09
Position 40562: 1.2074891628936665e-09
Position 43514: 1.0846053260171894e-09
Position 43168: 9.7492853492271e-10
Position 42741: 6.5738516756907e-10
Position 40499: 6.538236268856846e-10
Position 41027: 5.530074451479884e-10
Position 42322: 5.497655396469853e-10
Position 42474: 5.127399107366778e-10
Position 40982: 4.808015833358249e-10
Position 42420: 2.800594128669656e-10
Position 40926: 2.620890730606889e-10
Position 40890: 2.0332791718636425e-10
Position 41039: 9.423247981795462e-11
Position 40781: 8.733915410668042e-11
Position 40986: 7.370747664380778e-11
Position 40948: 5.762650823813682e-11
Position 40714: 5.4406464274354164e-11
Position 40596: 5.142881564303828e-11
Position 40373: 3.258469752596616e-11
Position 26540: 2.6182075848650944e-17
Position 28015: 3.925728310000661e-18
Position 26576: 2.9866622425077315e-18
Position 26654: 2.60116785633248e-18
Position 26299: 5.516230574544275e-19
Position 23077: 6.631131214686108e-20
Position 23140: 4.623243114936553e-20
Position 1974: 3.848092816145195e-20
Position 232: 1.0876814970881257e-20
Position 372: 8.58566970061562e-21
Position 339: 7.262085620556133e-21
Position 182: 5.756482207809558e-21
Position 264: 5.335287544181854e-21
Position 349: 5.063430476206354e-21
Position 1483: 4.6335497808198594e-21
Position 1625: 3.580424771046078e-21
Position 22084: 2.9876124199507607e-21
Position 2749: 2.2973705094949542e-21
Position 1074: 2.033523763469456e-21
Position 699: 1.8115419082363955e-21
Position 346: 1.4566545787464004e-21
Position 21530: 1.4250864244447101e-21
Position 1210: 1.248887239512971e-21
Position 1243: 1.2117284836518957e-21
Position 1388: 1.0595325144800162e-21
Position 2771: 7.424110324657837e-22
Position 825: 7.253322202179528e-22
Position 1221: 6.83015125680954e-22
