Gene = Rbsn-5
index = 1411
Annotated 5SS: [ 927 1596]
Annotated 3SS: [ 984 1660]
SMsplice 5SS: [ 927 1596]
SMsplice 3SS: [ 984 1660]
top_k =  500
Partition function (log Z): -6.1109292788224865

Sorted 5' Splice Sites (High to Low Probability):
Position 1596: 0.9816643286426351
Position 927: 0.5304001851771389
Position 798: 0.0857882538276095
Position 931: 0.06448532222643057
Position 38: 0.0533012180838588
Position 593: 0.03165786505442747
Position 141: 0.03087183770553651
Position 33: 0.02421438825197629
Position 570: 0.021671668052641507
Position 904: 0.014484287554193665
Position 188: 0.008734692402575545
Position 1140: 0.008115295789756427
Position 486: 0.0072837762578002825
Position 811: 0.0067160146223995175
Position 958: 0.004005895610125628
Position 510: 0.0024991573170084253
Position 886: 0.002314302577185922
Position 867: 0.002267797875395041
Position 1373: 0.002020725067022246
Position 1255: 0.001739344454884456
Position 1193: 0.0013872546482602305
Position 368: 0.0012794071923859617
Position 345: 0.0011440563358893628
Position 173: 0.0008886138386623335
Position 358: 0.0007921342349360786
Position 871: 0.0005894735460131982
Position 822: 0.00041980231491824013
Position 111: 0.0003826271762518465
Position 624: 0.00030305347449846825
Position 801: 0.0002885950032992746
Position 306: 0.0002534102342113274
Position 1483: 0.00024765480656735374
Position 1156: 0.00024464100371147875
Position 1600: 0.00021779744127139948
Position 762: 0.00018299223936342417
Position 646: 0.00016458931262801257
Position 122: 0.00015442037930035672
Position 585: 0.00015306313409683633
Position 161: 0.00012998362824933514
Position 494: 7.315490702800016e-05
Position 1173: 6.938413641818728e-05
Position 1567: 6.681251381784974e-05
Position 71: 6.568576378143e-05
Position 96: 5.9377837374121944e-05
Position 834: 4.68843012837487e-05
Position 816: 4.40455957261268e-05
Position 136: 4.310656709352471e-05
Position 782: 3.752698071719398e-05
Position 1843: 3.545558567658233e-05
Position 1061: 2.336454630462267e-05
Position 262: 2.2221026803905334e-05
Position 714: 1.7435226333550973e-05
Position 752: 1.5548570918508654e-05
Position 1687: 1.517280796188176e-05
Position 825: 1.4238465065654432e-05
Position 806: 1.3407059032281385e-05
Position 1554: 1.2178550579017574e-05
Position 1711: 9.081131323508923e-06
Position 333: 7.330826080469417e-06
Position 1459: 1.8185297775079933e-06
Position 150: 4.760941439088568e-07
Position 631: 1.293526793972568e-07
Position 1111: 6.290880656577162e-08
Position 814: 7.523064042319547e-11
Position 1560: 7.076930697946551e-11
Position 499: 2.0709689306261236e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1660: 0.9821937995207339
Position 984: 0.7489227383734668
Position 509: 0.051635664390899116
Position 99: 0.04051924231333051
Position 655: 0.03504858958853326
Position 1499: 0.007653071404665488
Position 1213: 0.006794414987794724
Position 1015: 0.003549373695681196
Position 993: 0.0026127014922683136
Position 612: 0.0022537037736562473
Position 1202: 0.001854450228599008
Position 1448: 0.0017540438374583924
Position 282: 0.0012206788566331793
Position 186: 0.0010548498095629443
Position 1254: 0.0010375266618859091
Position 1012: 0.0009217746575500904
Position 852: 0.0009061377260251147
Position 127: 0.0006173346892759135
Position 431: 0.0005464872692566271
Position 1139: 0.0005373303266485221
Position 1031: 0.00048051689287887723
Position 1338: 0.00036250012594636627
Position 733: 0.00030267044927347845
Position 1539: 0.00023213383811391132
Position 1771: 0.00023118672419285502
Position 1691: 0.0002036842666095808
Position 1428: 0.00015843343943864076
Position 445: 0.00010652532795283955
Position 1741: 0.0001026214559988754
Position 209: 8.44404629106623e-05
Position 646: 7.597859072595056e-05
Position 1699: 6.428270964292227e-05
Position 1028: 3.080462595060902e-05
Position 1834: 2.541939090836745e-05
Position 1892: 2.5101219455514883e-05
Position 1916: 1.0495900845665295e-05
Position 485: 4.666290854353921e-06
Position 394: 3.6693068369340478e-06
Position 1780: 3.21213922666806e-06
Position 524: 3.0535512334260016e-06
Position 173: 2.9152757899577237e-06
Position 616: 2.0186847874197677e-06
Position 1756: 1.307786108125951e-06
Position 619: 7.788287860805055e-07
Position 1904: 5.610331794455511e-07
Position 358: 3.603299649316881e-07
Position 206: 2.399442845451767e-07
Position 457: 2.1153986903579246e-07
Position 136: 4.840140670901446e-08
Position 122: 2.0145393750785337e-08
Position 290: 1.872327274674207e-08
Position 454: 1.4745136086951715e-08
Position 475: 1.0085320392076467e-08
Position 297: 9.064667716815434e-09
Position 306: 1.0241796222768378e-09
Position 145: 4.396408423541199e-13
Position 320: 3.3927853522165385e-13
