Gene = Fas3
index = 1162
Annotated 5SS: [  629 63618 64079 64792]
Annotated 3SS: [63299 63736 64356 66054]
SMsplice 5SS: [  629 36374 37268 37417 63618 64079 64792]
SMsplice 3SS: [36167 36434 37322 63299 63736 64356 72623]
top_k =  500
Partition function (log Z): -77.33408745774322

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.6540266845084626
Position 1124: 0.5540486242272354
Position 14354: 0.09318388192846878
Position 201: 0.013345220101269097
Position 657: 0.0028092199653430255
Position 203: 0.002609926877846206
Position 888: 0.001565499229226537
Position 149: 0.00138422846372875
Position 727: 0.0011527803990060603
Position 906: 0.0006782223341448126
Position 717: 0.0006319110874096086
Position 215: 0.0005441307644581267
Position 14: 0.0005281548830571216
Position 871: 0.0004262411068552736
Position 571: 0.0003431538796268988
Position 899: 0.0003061183528316677
Position 153: 0.00021867766879022382
Position 131: 0.0001622814452471512
Position 752: 0.00015309701936522678
Position 402: 0.000143137678532663
Position 88: 0.00011395387276193027
Position 290: 0.00010453881934780924
Position 412: 9.959995864666081e-05
Position 873: 8.335770520550732e-05
Position 442: 7.860122392988778e-05
Position 384: 5.967865419628134e-05
Position 143: 5.464167929653348e-05
Position 1036: 4.86294836480757e-05
Position 719: 4.498048022295944e-05
Position 668: 3.671188671468843e-05
Position 998: 3.0720674072239e-05
Position 1025: 2.1595302428896534e-05
Position 113: 2.1295313873897378e-05
Position 876: 2.0321319212033844e-05
Position 460: 1.808232779193082e-05
Position 864: 1.7409666012549095e-05
Position 147: 1.4039575218497151e-05
Position 913: 1.236774697499584e-05
Position 801: 1.2047494818234913e-05
Position 205: 1.0492379897286662e-05
Position 543: 1.0171422872791621e-05
Position 71: 9.377242046410706e-06
Position 389: 8.626843292233674e-06
Position 817: 7.851262279202158e-06
Position 698: 7.103141448556834e-06
Position 13585: 5.803207063763058e-06
Position 964: 2.665786462141254e-06
Position 1000: 2.401440655007798e-06
Position 13549: 1.40584001805503e-06
Position 1943: 6.465310379743165e-07
Position 3503: 6.392078004201921e-07
Position 2435: 4.722543174229958e-07
Position 8578: 3.5892188423594336e-08
Position 2053: 5.863035911730771e-09
Position 1099: 5.209838119660116e-09
Position 1472: 5.167949855044033e-09
Position 1058: 4.359999659309636e-09
Position 8851: 3.4670754375574113e-09
Position 8485: 2.654482865899487e-09
Position 1090: 2.370931390349886e-09
Position 8481: 2.3259752720280133e-09
Position 1628: 2.0775723319007892e-09
Position 1283: 2.056072106908722e-09
Position 1370: 2.0371794368179356e-09
Position 1678: 1.4493728680929565e-09
Position 2041: 1.1670616485798492e-09
Position 1395: 3.6122107832174987e-10
Position 1682: 3.0127713031752993e-10
Position 5209: 2.7085538339186576e-10
Position 5018: 1.563507255592444e-10
Position 1499: 1.3335973937857562e-10
Position 1357: 1.1914802740516925e-10
Position 1255: 7.994850354029358e-11
Position 1201: 6.828490414192889e-11
Position 1247: 4.371413819255756e-11
