Gene = Cpr64Ab
index = 1095
Annotated 5SS: [83]
Annotated 3SS: [191]
SMsplice 5SS: [83]
SMsplice 3SS: [191]
top_k =  500
Partition function (log Z): -1.8047340583891105

Sorted 5' Splice Sites (High to Low Probability):
Position 83: 0.9892241531379652
Position 112: 0.009476477148136372
Position 282: 0.0015710954896623593
Position 507: 0.0012307299235836027
Position 360: 0.001027784524986015
Position 258: 0.0006299537039193414
Position 145: 0.0005069349303897365
Position 143: 0.00047354676153635853
Position 299: 0.0003348442612751245
Position 87: 0.00025301557375170006
Position 489: 0.00023325266179106467
Position 573: 0.00013227630716359926
Position 102: 0.00012387659306452168
Position 412: 0.00011855952733952826
Position 516: 8.36988821934607e-05
Position 396: 7.167311001164925e-05
Position 264: 5.099415722392812e-05
Position 468: 4.8599214086063534e-05
Position 454: 3.490832036980855e-05
Position 483: 2.995520013416155e-05
Position 399: 2.233683098912268e-05
Position 465: 1.2618779708359547e-05
Position 375: 8.602813086113219e-06
Position 230: 8.04965890323751e-06
Position 378: 7.081911196407944e-06
Position 305: 4.736122570306645e-06
Position 318: 4.595986424880471e-06
Position 3: 3.9899207509388435e-06
Position 65: 2.491436328832483e-06
Position 426: 1.8910951634832388e-06
Position 252: 7.974418827217654e-07
Position 599: 4.7151780700411183e-07
Position 17: 1.585238103700683e-07
Position 611: 1.230490425520084e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 191: 0.997834069009205
Position 611: 0.0031232193665788176
Position 343: 0.0012873487963054953
Position 323: 0.0010601142318376502
Position 131: 0.0006759816167203946
Position 555: 0.0006478135667164439
Position 246: 0.0002557733800802265
Position 473: 0.00017362201260682448
Position 299: 0.00017325096398701782
Position 654: 0.00014314906083683939
Position 581: 9.782899921590007e-05
Position 623: 9.541261158398409e-05
Position 258: 8.789328862052336e-05
Position 143: 3.981209152860114e-05
Position 359: 1.3182933083980553e-05
Position 347: 8.780637221193123e-06
Position 627: 6.816662808435649e-06
Position 264: 3.242290025690878e-06
Position 56: 3.1271935210204406e-06
Position 230: 2.3898372176826495e-06
Position 516: 7.842390284848353e-07
Position 281: 3.421959068363783e-07
Position 65: 1.5197255840732575e-07
Position 356: 9.71587672400795e-08
Position 383: 7.01094523093722e-08
Position 82: 2.1310614259193873e-10
Position 349: 6.314146094684568e-11
Position 107: 1.3383103902143303e-11
Position 87: 1.1819695897838423e-12
Position 92: 2.067266388113213e-14
