Gene = DIP2
index = 1125
Annotated 5SS: [ 402  825 1306 1741 2141 2792 3258 4641 5120 5261 5416 5843 6565 7078
 7284]
Annotated 3SS: [ 752  897 1360 2049 2238 2916 3317 4958 5178 5310 5472 5903 6628 7134
 7340]
SMsplice 5SS: [ 402  825 1306 1741 2141 2792 3258 3468 4641 5261 5416 5843 6565 7078
 7284]
SMsplice 3SS: [ 752  897 1360 2049 2238 2842 3317 3910 4958 5310 5490 5903 6628 7134
 7340]
top_k =  500
Partition function (log Z): 13.482412649894444

Sorted 5' Splice Sites (High to Low Probability):
Position 3258: 0.9935148662535268
Position 7284: 0.9927330726643027
Position 5416: 0.9875092073662262
Position 402: 0.9290916208554802
Position 2792: 0.9225484937300562
Position 4641: 0.9041736729795167
Position 5261: 0.873894898734653
Position 2141: 0.8730478835919488
Position 7078: 0.850652418604349
Position 6565: 0.7804091580563463
Position 825: 0.7350620166062178
Position 1741: 0.7015997907232322
Position 1306: 0.5970460227282797
Position 5120: 0.5065956849770072
Position 5843: 0.47702469200617825
Position 3468: 0.42118497553630824
Position 1984: 0.2987703380373538
Position 3401: 0.1718619393675149
Position 6142: 0.13576024977598608
Position 2170: 0.08187580108392467
Position 6140: 0.07122471822932396
Position 3636: 0.05694766876402777
Position 7441: 0.046268135332403496
Position 7612: 0.03726140128345226
Position 6479: 0.03115212815965414
Position 6393: 0.022214461649636974
Position 3866: 0.01701090211183368
Position 5195: 0.016897131084311543
Position 3831: 0.01441869835148961
Position 6340: 0.012840579822460972
Position 1978: 0.00991207987265861
Position 2796: 0.009529294620807684
Position 623: 0.0091487319578225
Position 1745: 0.009037990139956313
Position 1275: 0.008802627303568344
Position 7046: 0.008637775080495402
Position 6970: 0.008151780502231825
Position 2932: 0.006789030187946876
Position 3863: 0.006681915096615655
Position 2145: 0.006627179543724827
Position 1683: 0.005653953228385004
Position 3407: 0.0047975574987866474
Position 7561: 0.004261667745210477
Position 1187: 0.0040772395077446994
Position 1542: 0.003952703296866356
Position 6067: 0.0034062628804394745
Position 2800: 0.0032647605017929954
Position 3423: 0.003156582895769094
Position 237: 0.0030841015619217376
Position 3011: 0.0029804829543999267
Position 2940: 0.002789842229572384
Position 5124: 0.0027028338473785926
Position 5824: 0.0025973820292411946
Position 2637: 0.0023875088620748347
Position 3446: 0.0020911475644973475
Position 5595: 0.0019699313404741765
