Gene = Capr
index = 1053
Annotated 5SS: [ 694 1835 2057]
Annotated 3SS: [1651 1889 2135]
SMsplice 5SS: [ 694 1835]
SMsplice 3SS: [1651 2135]
top_k =  500
Partition function (log Z): -7.146751474320943

Sorted 5' Splice Sites (High to Low Probability):
Position 694: 0.9798134141184739
Position 1835: 0.9749114000404183
Position 2057: 0.20031760998033443
Position 1191: 0.03399283332971231
Position 2054: 0.02303542010591882
Position 2306: 0.021108270845025125
Position 2179: 0.013431937632187326
Position 1480: 0.013239548799293881
Position 1211: 0.00845426140430382
Position 1577: 0.0067104858489157775
Position 1363: 0.00556948912273637
Position 445: 0.005357783001920432
Position 1550: 0.004164304700980903
Position 2310: 0.0022078269500450994
Position 2021: 0.0021889569843801453
Position 3073: 0.0021157151251702455
Position 1280: 0.0020600756785237556
Position 1413: 0.0018859968144456945
Position 1980: 0.0017789290172259488
Position 2402: 0.0017402629409621418
Position 2094: 0.0013448929487636816
Position 4302: 0.0011196693809610875
Position 2857: 0.0010249531499816858
Position 1136: 0.0010222890416913023
Position 951: 0.000923525475799426
Position 2240: 0.0009001710711864246
Position 700: 0.0006588975148690187
Position 2247: 0.000636870301027697
Position 2322: 0.00043339732475716595
Position 710: 0.00035342839882966697
Position 1368: 0.0003504620775081409
Position 985: 0.00029992071660012246
Position 1461: 0.0002546826773813479
Position 3545: 0.00023525106431207331
Position 944: 0.00018520768059232325
Position 4748: 0.0001807947588697858
Position 1077: 0.00015977217683526166
Position 440: 0.00014436621580499575
Position 1334: 0.0001363517846290137
Position 2949: 0.00012280904810349835
Position 400: 0.00012023398734094217
Position 1764: 0.0001090623436767685
Position 698: 9.303903651183826e-05
Position 652: 9.043821875447594e-05
Position 1843: 7.142820995837136e-05
Position 1616: 6.79459106836228e-05
Position 1273: 6.0189463052213966e-05
Position 2623: 5.4090026283210944e-05
Position 97: 3.761903316970082e-05
Position 1209: 3.731855467701625e-05
Position 1307: 3.400579174244922e-05
Position 907: 2.939687172994051e-05
Position 2205: 2.2978133971321974e-05
Position 1224: 2.163562355203556e-05
Position 1935: 1.8224089873061054e-05
Position 237: 1.7762235926645052e-05
Position 104: 1.5229780639871485e-05
Position 1019: 1.161639060055028e-05
Position 274: 1.143468320587673e-05
Position 1446: 7.72631842271841e-06
Position 779: 1.724078532253172e-06
Position 769: 1.722258019390637e-06
Position 600: 1.2182703174329927e-06
Position 921: 9.570722959183928e-07
Position 171: 7.894010420903806e-07
Position 1963: 6.413354974758722e-07
Position 234: 4.008705840734137e-07
Position 1953: 3.8960265138305093e-07
Position 364: 3.7384417816027455e-07
Position 771: 3.0798256688309895e-07
Position 340: 2.858196678038609e-07
Position 627: 2.2343373799645492e-07
Position 878: 1.8509890592265346e-07
Position 2909: 1.3840778702658635e-07
Position 2644: 1.3665348776560192e-07
Position 2773: 1.3620572633576548e-07
Position 616: 1.2086354016488403e-07
Position 598: 9.063336814398292e-08
Position 463: 3.831676230121933e-08
Position 1867: 3.690954984137893e-08
Position 277: 3.6844985855442875e-08
Position 481: 3.089710091724914e-08
Position 784: 1.818516947741223e-08
Position 1054: 7.46548027442381e-09
Position 1097: 3.069106285660184e-09
Position 613: 7.214534708760399e-10
Position 1069: 5.961933797536258e-10
Position 1056: 3.2120919553274345e-10
Position 1044: 2.894271927954769e-10
Position 827: 5.461118247766617e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1651: 0.9283860363729598
Position 2135: 0.7204659904404014
Position 1889: 0.2604101581309205
Position 4646: 0.06619115807474953
Position 4366: 0.033421296560635395
Position 1015: 0.027744582395791768
Position 1001: 0.02651121785137643
Position 1681: 0.022721708856046192
Position 843: 0.02153394016805334
Position 2295: 0.02046004532071823
Position 3012: 0.01927762824557322
Position 4686: 0.01873519232761122
Position 4610: 0.01703699244845734
Position 1904: 0.014932291840509536
Position 3168: 0.014619593538799136
Position 4682: 0.012360028061037882
Position 2292: 0.011899874179421219
Position 3402: 0.005842221777179082
Position 1949: 0.005483710135686922
Position 5147: 0.0051780690036275405
Position 3399: 0.005156761659716574
Position 3171: 0.0046063554033749475
Position 1605: 0.003847742375648061
Position 2205: 0.003838554894820828
Position 1250: 0.0034899539143689946
Position 1261: 0.003488979338091973
Position 1925: 0.003164614895259935
Position 1104: 0.002861724675855533
Position 1686: 0.00260986192252638
Position 4493: 0.0022705653533883832
Position 3574: 0.002246634892884043
Position 4950: 0.0022319584801846278
Position 869: 0.0020353722286599
Position 1035: 0.0017605749854611012
Position 1273: 0.0017467606343809655
Position 4451: 0.0011917752025688954
Position 501: 0.0011345684588123536
Position 5062: 0.0010189966850824507
Position 1279: 0.0009107299957278171
