Gene = Fuca
index = 1172
Annotated 5SS: [ 156 2205 2420 2608 3156 3635]
Annotated 3SS: [ 206 2277 2500 2678 3218 3698]
SMsplice 5SS: [ 156 2205 2420 2612 3156 3635]
SMsplice 3SS: [ 206 2277 2500 2678 3218 3698]
top_k =  500
Partition function (log Z): 12.632414656402172

Sorted 5' Splice Sites (High to Low Probability):
Position 3156: 0.9941479705340329
Position 3635: 0.9820848258969631
Position 2420: 0.9423724244025562
Position 156: 0.8534447141362452
Position 2205: 0.7704008944299875
Position 2612: 0.4862591442878596
Position 2608: 0.44363727201800995
Position 527: 0.34703963921296904
Position 748: 0.09381992889223784
Position 140: 0.0679322631993756
Position 2624: 0.04622754623426716
Position 2129: 0.026712371512178288
Position 2387: 0.01673247236868594
Position 2213: 0.013722355750563232
Position 498: 0.0126196705850908
Position 2604: 0.0123909281961571
Position 2628: 0.010669102207003688
Position 2113: 0.010580219581297245
Position 3800: 0.010269466098409253
Position 574: 0.007812986268407035
Position 1398: 0.0067840475249461955
Position 1326: 0.0031429901711727513
Position 2294: 0.0026864407158666815
Position 2948: 0.0021316617557090426
Position 163: 0.001860952369061033
Position 430: 0.0013252547852970046
Position 2997: 0.0011709009193436198
Position 2393: 0.0010141155549825865
Position 3763: 0.0008324754166870772
Position 3351: 0.0008122461186470153
Position 2749: 0.0008090052636231667
Position 1113: 0.0005369189321544752
Position 2045: 0.00048018556116269514
Position 149: 0.00045330819974979513
Position 3409: 0.0004181381852671449
Position 727: 0.0004132296809652799
Position 190: 0.0003525032714901917
Position 769: 0.00033878516022343167
Position 3146: 0.0003010250075856544
Position 1463: 0.00025736870326156596
Position 3006: 0.00025199345704062203
Position 2616: 0.00024458141728078865
Position 3639: 0.00024205136961354676
Position 1337: 0.00021655490261665428
Position 21: 0.00021399453503439581
Position 550: 0.0002010834428421264
Position 480: 0.00019108531064551202
Position 2451: 0.00018893508407637894
Position 1432: 0.00015608745482793347
Position 2460: 0.00014712850786069664
Position 3099: 0.00014311572693609295
Position 3324: 0.00013032327023366886
Position 2583: 0.0001249726297515378
Position 3158: 0.00011663567132192523
Position 2182: 0.00011562634469369029
Position 3536: 0.00010899760526721113
Position 572: 8.10334522472456e-05
Position 2314: 7.975390014994762e-05
Position 922: 7.217105551769302e-05
Position 203: 7.208968770950168e-05
Position 366: 7.155386544972439e-05
Position 3599: 7.029863292865659e-05
Position 4: 6.211194795111699e-05
Position 531: 6.192601395814596e-05
Position 3404: 6.152856798447203e-05
Position 3803: 6.0799891466495795e-05
Position 3160: 6.049683471028969e-05
Position 3656: 5.985576278256808e-05
Position 3309: 5.817035048899698e-05
Position 819: 5.241664286460763e-05
Position 399: 5.141329097742956e-05
Position 415: 4.727232362150866e-05
Position 693: 4.709639118878327e-05
Position 1342: 4.236345445869325e-05
Position 3061: 3.95971370836038e-05
Position 3475: 3.3987908584298434e-05
Position 2257: 3.2750515786536206e-05
Position 1568: 3.174640297195442e-05
Position 865: 3.0509434078088353e-05
Position 1231: 3.0047404698654436e-05
Position 2816: 2.8433731392807508e-05
Position 638: 2.6070584845011744e-05
Position 618: 2.364729376989845e-05
Position 324: 2.3540035432398763e-05
Position 3365: 1.800681845024884e-05
Position 412: 1.7726393486328992e-05
Position 3607: 1.6977258548061467e-05
