Gene = Sfp77F
index = 1494
Annotated 5SS: [98]
Annotated 3SS: [154]
SMsplice 5SS: [98]
SMsplice 3SS: [154]
top_k =  500
Partition function (log Z): -5.867545373386012

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.9685010211368771
Position 345: 0.16324269790883497
Position 431: 0.11776353158777039
Position 403: 0.11654971482558557
Position 461: 0.09955145514019191
Position 421: 0.04301931883932678
Position 241: 0.03312717169497883
Position 692: 0.004041676405172903
Position 304: 0.0018948390340483604
Position 425: 0.001714205728435299
Position 824: 0.0012387316412147103
Position 349: 0.0007689770046364515
Position 208: 0.000506223538490871
Position 133: 0.0005059651028040239
Position 245: 0.0004916258993988452
Position 828: 0.0003478234393759605
Position 753: 0.0003231591623152003
Position 778: 0.00018334395684080755
Position 838: 0.00018258231051292612
Position 265: 0.00015700792261529912
Position 106: 9.89607804098627e-05
Position 765: 7.926179862840998e-05
Position 543: 7.397416485919449e-05
Position 916: 7.022687966356748e-05
Position 274: 4.941383461027621e-05
Position 158: 4.4228031324282595e-05
Position 28: 3.985453372496286e-05
Position 33: 3.6727461985900465e-05
Position 505: 2.0898148051095216e-05
Position 407: 1.3590289428192854e-05
Position 465: 1.326316641490829e-05
Position 854: 1.2481163448222145e-05
Position 224: 9.492003324511132e-06
Position 154: 6.036467200476792e-06
Position 206: 1.2299010400174413e-06
Position 31: 6.855745170547618e-07
Position 435: 8.154122625360511e-08
Position 508: 4.930435244342597e-08
Position 490: 3.90015056249179e-09
Position 613: 2.535100053334989e-09
Position 5: 4.3012407178156924e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 154: 0.9449507714647024
Position 525: 0.4936277824921979
Position 622: 0.03311441207967496
Position 494: 0.03275463151508275
Position 809: 0.01440602476947759
Position 673: 0.011513990712362355
Position 185: 0.005914944435215313
Position 403: 0.0030786238701874854
Position 236: 0.00262566532545891
Position 911: 0.0026186069705292866
Position 583: 0.002466354370963334
Position 503: 0.0012892251803640698
Position 765: 0.000877291571479384
Position 530: 0.0008667746690641817
Position 854: 0.0007358887291939777
Position 216: 0.0005055661901577241
Position 546: 0.00042145071242748183
Position 1083: 0.00040694389446688966
Position 658: 0.00039496777559282263
Position 431: 0.00034572833669579376
Position 508: 0.0003182398489703545
Position 1072: 0.0003105322802830706
Position 557: 0.00028222869917731477
Position 265: 0.00018111549157380285
Position 162: 0.00012639162491668107
Position 319: 0.00012536207774374987
Position 286: 0.0001106637401341187
Position 1132: 8.437817733403472e-05
Position 329: 7.120075738966209e-05
Position 1046: 5.267940387969493e-05
Position 368: 4.169401744532015e-05
Position 303: 2.6092277913279738e-05
Position 641: 1.943263010769474e-05
Position 980: 1.131638569717355e-05
Position 241: 2.4127723669130248e-06
Position 244: 1.7270510489046355e-06
Position 75: 4.133919887672614e-07
Position 336: 5.1914105561543e-09
Position 90: 1.6867911761462536e-09
Position 133: 1.4833117655477464e-09
Position 102: 1.0456315251721449e-10
Position 49: 2.3856047447216505e-11
Position 53: 3.451472895976279e-12
Position 59: 2.3620997402504204e-12
