Gene = w-cup
index = 1933
Annotated 5SS: [1037]
Annotated 3SS: [1096]
SMsplice 5SS: [1037]
SMsplice 3SS: [1096]
top_k =  500
Partition function (log Z): -5.919867426105719

Sorted 5' Splice Sites (High to Low Probability):
Position 1037: 0.9813640188428028
Position 1187: 0.07770559041271809
Position 1447: 0.023391803267122223
Position 949: 0.015342703820226204
Position 533: 0.004412509694945844
Position 367: 0.0018352905875797325
Position 1117: 0.0018315700431380734
Position 1050: 0.0016074947548724667
Position 49: 0.0015353089083822995
Position 295: 0.0014132853532286404
Position 1283: 0.001364555857663436
Position 148: 0.0013205850971225181
Position 523: 0.0012939649542249552
Position 546: 0.0006337943537148875
Position 1548: 0.0005645349955769218
Position 467: 0.0004872383355118793
Position 819: 0.00047642377399164325
Position 139: 0.00045887136021943275
Position 9: 0.0003848173832355851
Position 1008: 0.0002864141914009167
Position 772: 0.0002508064269466675
Position 14: 0.00019186413593094855
Position 236: 0.00016520748549938042
Position 678: 0.00015344672235659016
Position 738: 0.0001342819328309571
Position 1416: 0.00012746583403910636
Position 954: 6.967442990160472e-05
Position 25: 5.810444664247547e-05
Position 611: 5.8083088266881786e-05
Position 1829: 5.307604912681155e-05
Position 1608: 5.228340711516397e-05
Position 1737: 4.866329579242529e-05
Position 1719: 3.718126902668637e-05
Position 1499: 2.097680438559365e-05
Position 108: 2.006387436663156e-05
Position 220: 1.8654238399770693e-05
Position 1316: 1.6325805128618564e-05
Position 909: 1.4287328135171553e-05
Position 1682: 1.3062826039366633e-05
Position 393: 7.405081481080999e-06
Position 1365: 5.940701078215609e-06
Position 1405: 5.7460333644843e-06
Position 1839: 3.440575073964835e-06
Position 690: 3.2993772468266554e-06
Position 246: 2.482142985120494e-06
Position 937: 3.521296503277217e-07
Position 889: 2.131397458205278e-08
Position 645: 1.164276761196077e-08
Position 1137: 9.124540273831355e-09
Position 642: 5.7114498889453955e-09
Position 1096: 8.500819451212946e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1096: 0.5842043153506786
Position 1099: 0.4089047510690298
Position 1652: 0.024508555196861143
Position 1608: 0.019876638719952412
Position 1494: 0.014032179797078367
Position 603: 0.009166608633577036
Position 1632: 0.008969220010797084
Position 1674: 0.007460530449275741
Position 1105: 0.006298719068136342
Position 1307: 0.005194660563088604
Position 1338: 0.004845037646250276
Position 1548: 0.0033355355298192815
Position 1635: 0.00270173296841358
Position 1313: 0.0026403616844781277
Position 1267: 0.002540445764732052
Position 1765: 0.0020061437951818676
Position 1235: 0.0019195937757215112
Position 1806: 0.0012815840674810324
Position 120: 0.0010422236723774253
Position 899: 0.0006592709985202982
Position 1405: 0.0005800202828276705
Position 1434: 0.0005761302581353964
Position 1429: 0.0005496282124487234
Position 1768: 0.0005310482642626216
Position 1324: 0.0005168032946697761
Position 606: 0.0004958313504638705
Position 419: 0.00047600747197686625
Position 266: 0.00036524030185156134
Position 431: 0.0003627493859204402
Position 1382: 0.0003401113780890937
Position 889: 0.00033190490169159324
Position 1412: 0.00031269035910677103
Position 1008: 0.0002603860641146169
Position 669: 0.0001743973003841208
Position 189: 0.00015941726097852546
Position 590: 0.0001523407142011559
Position 515: 0.00013436350625226214
Position 339: 0.00012988772360002763
Position 192: 0.00010189557336194032
Position 1232: 9.843580086840137e-05
Position 1199: 9.423363572674602e-05
Position 1554: 8.650098816076616e-05
Position 1910: 8.513487549453662e-05
Position 630: 7.315855898427473e-05
Position 1340: 7.229912000400027e-05
Position 786: 7.119529807105295e-05
Position 1386: 5.392510060631731e-05
Position 1202: 4.709034034056344e-05
Position 661: 4.372855886704872e-05
Position 1180: 3.438688413143319e-05
Position 1277: 2.8382181808758614e-05
Position 1154: 2.5598614364826815e-05
Position 865: 2.441517897337967e-05
Position 1166: 2.3260457880192503e-05
Position 1447: 2.2609341557011667e-05
Position 627: 1.8739021066797894e-05
Position 1121: 1.657939536900044e-05
Position 1347: 1.4472017784353556e-05
Position 291: 1.4240251617350273e-05
Position 1356: 1.3264684434353045e-05
Position 1839: 1.278892457906698e-05
Position 201: 1.2054190630432877e-05
Position 1915: 1.1755390878353266e-05
Position 1143: 9.10985476261631e-06
Position 367: 9.065386638853623e-06
Position 836: 9.009214912587338e-06
Position 328: 8.960295174155965e-06
Position 482: 7.978240977315124e-06
Position 241: 6.941035452543392e-06
Position 834: 6.79446655124783e-06
Position 710: 6.296671753294599e-06
Position 683: 6.091613245577511e-06
Position 236: 5.623953764706965e-06
Position 1223: 5.0838792112008466e-06
Position 619: 5.027879246592529e-06
Position 767: 4.995557991903979e-06
Position 523: 3.285931133062552e-06
Position 678: 3.1202180203631878e-06
Position 295: 2.777162449493587e-06
Position 81: 2.231103313681207e-06
Position 738: 2.1318435955898207e-06
Position 791: 1.0430866939971288e-06
Position 1041: 1.2719897603473904e-07
Position 1271: 6.932902902631335e-08
Position 353: 1.1699985236200788e-08
Position 435: 8.04995166698264e-09
Position 135: 2.2948173049935484e-09
Position 125: 8.907129530607479e-10
Position 148: 6.338655075642611e-10
Position 819: 5.186555778563128e-10
Position 734: 4.675973834241115e-10
Position 251: 2.2981452599274164e-10
Position 132: 9.686482529263387e-11
Position 161: 8.815799726934293e-11
