Gene = pHCl-1
index = 1833
Annotated 5SS: [  198  5410 19710 29200 29782 30471 31047 31475 31764 33272 34428 35946
 39218 40929 43273 46335 46891]
Annotated 3SS: [ 5067 19632 28221 29760 30381 30971 31409 31542 33188 34289 35792 39002
 40877 42675 46331 46779 47130]
SMsplice 5SS: [  195 29200 30471 31047 31475 31764 33272 34428 46891]
SMsplice 3SS: [28221 30381 30971 31409 31542 33188 34289 46779 47130]
top_k =  500
Partition function (log Z): -1.4656401888471355

Sorted 5' Splice Sites (High to Low Probability):
Position 34428: 0.9999309997633586
Position 29200: 0.9995714411537716
Position 31475: 0.9986838944479522
Position 33272: 0.9807399291750553
Position 30471: 0.9776651716245229
Position 31047: 0.8064744827312437
Position 46891: 0.7829903745860267
Position 31764: 0.6102120278550213
Position 195: 0.20211914251827712
Position 431: 0.13808806674654087
Position 435: 0.13346510355383004
Position 198: 0.1304365953852046
Position 32149: 0.12284817171808572
Position 94: 0.11507275215768102
Position 32145: 0.09290232533827066
Position 447: 0.08764704416160204
Position 2212: 0.07141222009946648
Position 43273: 0.06789715458775952
Position 1128: 0.061853180338496294
Position 29954: 0.04293304959740343
Position 32117: 0.036087958272287085
Position 1110: 0.03489022361990676
Position 18500: 0.03276426809989307
Position 29782: 0.03269981876923649
Position 35946: 0.03146857344636545
Position 39218: 0.031153337252524876
Position 40929: 0.02949676993455626
Position 31137: 0.02864013159105694
Position 362: 0.027423157422478937
Position 18411: 0.025732463345507675
Position 18245: 0.0237644212923857
Position 31668: 0.02148659422306142
Position 33504: 0.017725724221886494
Position 1420: 0.017308486540729747
Position 10823: 0.01572285633957379
Position 35062: 0.015708842438492052
Position 31315: 0.014958342153621967
Position 32925: 0.012902378290981373
Position 31752: 0.012185091925412077
Position 31053: 0.01169644096017787
Position 47302: 0.010914186896778063
Position 31078: 0.010765170955248558
Position 36106: 0.010241216126183126
Position 30464: 0.00934478728923684
Position 32624: 0.00833940948242428
Position 32706: 0.007863038053478462
Position 49336: 0.007115138530263057
Position 32134: 0.006878240417617499
Position 47274: 0.006598122649260337
Position 33424: 0.006070106240270704
Position 42890: 0.005712888732021698
Position 31091: 0.004923273372996675
Position 47379: 0.004379147162414245
Position 32561: 0.003535792023392803
Position 33934: 0.0034086079016280124
Position 31766: 0.0033325593733585105
Position 32169: 0.003292624398383446
Position 48394: 0.0028714358135015746
Position 33509: 0.0026735301155609006
Position 33946: 0.0025962671884344874
Position 47254: 0.002584511963503883
Position 33707: 0.0018141786949318031
Position 32098: 0.0017637566382530023
Position 31051: 0.0016974224869457405
Position 31883: 0.0016502058083958323
Position 32644: 0.0015892859161610274
Position 32279: 0.0015318137757149408
Position 32074: 0.0015052953409238532
Position 32945: 0.0010534923486015526
Position 32139: 0.0009487753489411605
Position 31608: 0.0009353162271775883
Position 35642: 0.0008732170243107785
Position 32153: 0.000844436144774533
Position 32127: 0.0008183354792033414
Position 34153: 0.0006857953274802804
Position 31495: 0.000578934951260383
Position 32219: 0.0005586714104375233
Position 33497: 0.0004482246176146822
Position 33534: 0.0004437615603714429
Position 32176: 0.00039314997249001086
Position 35307: 0.00039294397182209646
Position 33978: 0.0003808227874599018
Position 35599: 0.0003230546957146192
Position 35732: 0.00031080897487834004
Position 2062: 0.0002566378512691342
Position 378: 0.000254691191073578
Position 33695: 0.000219599926004528
Position 1900: 0.00021810603717175786
Position 376: 0.0002154373718053883
Position 33693: 0.000210692815830517
Position 40249: 0.00020068533031304296
Position 33697: 0.0001810540334997371
Position 33699: 0.0001805444134934991
Position 34074: 0.00015139025164628101
Position 34556: 0.00014494616207937059
Position 31503: 0.00013588130045709304
Position 857: 0.00012005418291175782
Position 33691: 0.00011953455665684711
Position 33701: 0.00011825072376639117
Position 121: 0.00010349424447132012
Position 1416: 9.842522737095097e-05
Position 33545: 9.005167672198529e-05
Position 33777: 8.859216642623374e-05
Position 1167: 7.954967264837536e-05
Position 439: 7.45541684315641e-05
Position 33711: 6.843172086200705e-05
Position 33703: 6.79169272515421e-05
Position 33845: 6.0993788879462206e-05
Position 497: 6.0725857095876875e-05
Position 35793: 6.0309704212762026e-05
Position 104: 5.451021482542088e-05
Position 507: 4.6990897229546074e-05
Position 33495: 3.942098024693531e-05
Position 273: 3.261756683856619e-05
Position 35302: 2.742367288632708e-05
Position 34564: 2.6461679022969982e-05
Position 34776: 2.452766367779559e-05
Position 98: 1.9734503179860105e-05
Position 600: 1.735705500773643e-05
Position 647: 1.664969176005907e-05
Position 729: 1.2992034762654288e-05
Position 644: 1.218402459425659e-05
Position 41150: 1.1248026782292694e-05
Position 1511: 1.074115417079389e-05
Position 571: 1.0277823412299297e-05
Position 709: 8.609069450121677e-06
Position 598: 6.611529015349084e-06
Position 1396: 6.566245176472382e-06
Position 968: 6.555162731547086e-06
Position 718: 5.955311557161362e-06
Position 34645: 4.117490825674387e-06
Position 323: 3.857920738965086e-06
Position 484: 3.815398036986616e-06
Position 384: 2.7292951970666925e-06
Position 348: 2.0754901864453856e-06
Position 456: 1.7942686508056835e-06
Position 34541: 1.70653909564921e-06
Position 34454: 1.59590378692665e-06
Position 34617: 1.5858437571272294e-06
Position 325: 1.3200491952689638e-06
Position 386: 1.1960430674203667e-06
Position 33276: 1.175895876328167e-06
Position 31770: 1.1064078917889617e-06
Position 294: 9.346474736591726e-07
Position 110: 6.468365240495772e-07
Position 474: 6.326899671996998e-07
Position 34706: 3.692468930724305e-07
Position 116: 3.560287554030552e-07
