Gene = gdl-ORF39
index = 1713
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
top_k =  500
Partition function (log Z): -4.40092037110157

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9923590580679665
Position 787: 0.3811295058223157
Position 973: 0.07932958206424552
Position 962: 0.061583888439412246
Position 199: 0.03913962581708887
Position 204: 0.037584000736596325
Position 571: 0.024631713710788546
Position 835: 0.017273242278179845
Position 171: 0.01212629100288279
Position 565: 0.012005430317846927
Position 839: 0.006610271626229027
Position 1306: 0.004959433889202227
Position 259: 0.003812253059541127
Position 175: 0.003241462233179235
Position 1036: 0.003221567749105078
Position 645: 0.002061678253618153
Position 696: 0.0014001951151480637
Position 7: 0.0010543399641826112
Position 750: 0.00062312350037614
Position 814: 0.0004944815513747122
Position 871: 0.0004734160088260649
Position 319: 0.00036055999170743746
Position 666: 0.00022776845883142068
Position 811: 0.00022140741845957219
Position 542: 0.00020726559083492953
Position 933: 0.00012165512027218596
Position 148: 7.325571800735098e-05
Position 658: 3.395600774207888e-05
Position 106: 2.741959840070654e-05
Position 334: 2.6284032547847258e-05
Position 544: 2.6196653668158482e-05
Position 399: 1.6991318824923612e-05
Position 125: 7.161554243602151e-06
Position 441: 6.9370795211583305e-06
Position 342: 4.105972519485882e-06
Position 12: 2.0071737115937443e-06
Position 83: 1.2411772670264377e-06
Position 455: 7.288719255776468e-07
Position 371: 6.781340390107252e-07
Position 101: 5.786916493340036e-07
Position 350: 2.7785444947134923e-07
Position 128: 2.0986702886456913e-07
Position 285: 1.5908200788796377e-07
Position 345: 9.007697931808316e-08
Position 322: 8.821721248189407e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.6781002472711053
Position 501: 0.41722757438496055
Position 491: 0.3973126336938651
Position 633: 0.05319964044262104
Position 285: 0.05224535784907847
Position 270: 0.037391716210979115
Position 835: 0.0141490200182816
Position 1189: 0.013136634779130059
Position 871: 0.006327413877247172
Position 1359: 0.004275818788053598
Position 318: 0.003627434029160795
Position 290: 0.001562417386442509
Position 990: 0.0012101413161269144
Position 1093: 0.0010271009463306425
Position 933: 0.0008387672585856819
Position 1369: 0.0007046661668918304
Position 972: 0.0006630795598880834
Position 1023: 0.0006350123834994125
Position 113: 0.0005453875479772976
Position 571: 0.0005039731892618084
Position 608: 0.00044004978121402796
Position 888: 0.00036394110336019427
Position 313: 0.0002925949655048238
Position 956: 0.0002461086499512478
Position 577: 0.00014646115502211157
Position 334: 8.487387112775611e-05
Position 778: 6.591404754492097e-05
Position 148: 6.462175391357888e-05
Position 655: 2.9486092324973494e-05
Position 639: 2.570872831611042e-05
Position 658: 2.1760507676638184e-05
Position 345: 6.762375996488428e-06
Position 961: 4.032811068940659e-06
Position 322: 2.3564093280541482e-06
Position 168: 7.658623615477032e-07
Position 359: 6.988248698243364e-07
Position 338: 4.501188621034716e-07
Position 155: 3.677717526728754e-07
Position 455: 1.595733849937365e-07
Position 342: 1.4171187347761566e-07
Position 729: 1.1032301244806337e-07
Position 356: 7.615414009622637e-08
Position 588: 4.250301749243088e-08
Position 645: 1.8655959068301195e-08
Position 738: 1.5897029229999885e-08
Position 350: 1.2364866932525945e-08
Position 671: 4.29664619685963e-09
Position 371: 4.068187336239403e-09
Position 696: 3.479659190234623e-09
Position 185: 2.9889780095615146e-09
Position 187: 8.75054752574099e-10
Position 199: 4.846468189099168e-11
