Gene = PDCD-5
index = 1353
Annotated 5SS: [199 565]
Annotated 3SS: [449 621]
SMsplice 5SS: [199 565]
SMsplice 3SS: [449 621]
top_k =  500
Partition function (log Z): -0.19605389621567354

Sorted 5' Splice Sites (High to Low Probability):
Position 199: 0.9920664966757747
Position 565: 0.980647875033475
Position 702: 0.12817389871614568
Position 332: 0.0028024020108687086
Position 56: 0.0016751496877884583
Position 203: 0.0007551719441900505
Position 15: 0.0005514110776335633
Position 341: 0.0004217038418765605
Position 569: 0.0002670085722359887
Position 879: 9.86076842106916e-05
Position 216: 7.760836275236843e-05
Position 395: 7.480228418887357e-05
Position 537: 5.968584929917009e-05
Position 311: 4.355365172879055e-05
Position 260: 3.29818033828388e-05
Position 146: 2.4938347505492468e-05
Position 697: 2.3193835177120777e-05
Position 23: 2.0349728461073182e-05
Position 728: 1.1500399729776882e-05
Position 370: 7.998096660746734e-06
Position 189: 1.7212621784859764e-06
Position 849: 1.3226167640882654e-06
Position 706: 1.2469902518108053e-06
Position 177: 9.495721422493542e-07
Position 636: 8.170981759685759e-07
Position 138: 6.651653928971547e-07
Position 662: 5.881358953413386e-07
Position 345: 4.6738817685732366e-07
Position 750: 3.792517163616328e-07
Position 675: 2.5093296232269857e-07
Position 732: 4.3593269700795966e-08
Position 621: 3.474704091686162e-08
Position 776: 2.1370268299749493e-08
Position 783: 1.5363653917065234e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.985853148062302
Position 621: 0.9515275914033667
Position 761: 0.08198652405517926
Position 770: 0.04618035140904412
Position 636: 0.024617851428914456
Position 354: 0.005989915758859006
Position 640: 0.003482455730821682
Position 406: 0.0027858060560445592
Position 345: 0.001715869702695029
Position 127: 0.0008855551336286315
Position 260: 0.00039514749979046194
Position 692: 0.0003419540764435254
Position 951: 0.0003393742064059745
Position 701: 0.0002825111201270393
Position 748: 0.00027386056068837584
Position 72: 0.00022912830036027842
Position 326: 0.00015805406969479302
Position 644: 0.00015714349266720984
Position 75: 0.00015516047717629582
Position 728: 0.0001357724969760813
Position 316: 0.00013454409669456238
Position 134: 2.974514575123863e-05
Position 494: 2.8192958479997682e-05
Position 879: 2.4022837626009784e-05
Position 939: 2.379102059365282e-05
Position 817: 1.5831495589420838e-05
Position 595: 1.559996171752695e-05
Position 171: 1.538546165097861e-05
Position 488: 1.4362198062036675e-05
Position 653: 1.0891890058017694e-05
Position 776: 6.724721883517995e-06
Position 244: 5.185527031567606e-06
Position 491: 4.27355646385249e-06
Position 668: 3.865335192998337e-06
Position 772: 3.337258327614926e-06
Position 287: 2.7838009179178574e-06
Position 146: 2.7262722695979067e-06
Position 279: 2.1738435071411976e-06
Position 84: 1.736975622957541e-06
Position 370: 1.3144501337463139e-06
Position 473: 1.2562877888192036e-06
Position 485: 1.2078701642665186e-06
Position 537: 8.369424943937027e-07
Position 736: 6.880431658949502e-07
Position 189: 6.16554256665306e-07
Position 480: 3.2220295506864634e-07
Position 506: 1.2113862223214194e-07
Position 650: 5.22344024430135e-08
Position 830: 4.17370477782151e-08
Position 246: 2.598467973970717e-08
Position 548: 1.5224964236064133e-08
Position 551: 4.816395508080708e-09
Position 509: 1.9741943528403247e-09
Position 578: 1.7348312690436582e-09
Position 518: 1.629362331134145e-09
Position 121: 1.2895508721279408e-09
Position 234: 1.1613118585543588e-09
Position 203: 3.968194595762572e-10
Position 216: 1.9208147971831474e-11
