Gene = l(2)34Fd
index = 1743
Annotated 5SS: [ 154  614 1389]
Annotated 3SS: [ 211  666 1448]
SMsplice 5SS: [ 154  614 1389]
SMsplice 3SS: [ 211  666 1448]
top_k =  500
Partition function (log Z): 4.19399104945968

Sorted 5' Splice Sites (High to Low Probability):
Position 1389: 0.9984519618967619
Position 614: 0.9948561138061529
Position 154: 0.9386587920860876
Position 1550: 0.021992311944428765
Position 779: 0.015089073538575859
Position 772: 0.007576950501614486
Position 141: 0.003754544999806355
Position 982: 0.0033720732242392307
Position 2215: 0.0017811574018133736
Position 796: 0.0014756846685344332
Position 599: 0.0014207141423107903
Position 605: 0.0011872692213892129
Position 1594: 0.001065881190512828
Position 975: 0.0007607333437743348
Position 389: 0.0006422712929371867
Position 748: 0.00046657429661167926
Position 340: 0.00035488313384846016
Position 2005: 0.00033654391396864504
Position 1376: 0.00028791339252780073
Position 145: 0.00026295166802466985
Position 1971: 0.00024497164097864047
Position 2018: 0.0001741757806101656
Position 449: 0.00016323922799119637
Position 2254: 0.00014783234381883357
Position 1560: 0.00014582866882918312
Position 379: 0.00014372562065031053
Position 695: 0.0001181479800485549
Position 922: 0.00010765898292572752
Position 158: 8.8788979601025e-05
Position 1726: 8.205220749900217e-05
Position 46: 8.122447201302492e-05
Position 568: 6.973483001596422e-05
Position 391: 5.3644005892357975e-05
Position 1293: 4.9639496026230896e-05
Position 434: 4.64445880751044e-05
Position 592: 4.634526355957992e-05
Position 626: 3.411190254722028e-05
Position 1393: 3.145937098162073e-05
Position 815: 3.1172367488915315e-05
Position 1691: 3.057807801227775e-05
Position 943: 2.8464311960642313e-05
Position 883: 2.8436087558193796e-05
Position 374: 1.8691991336521943e-05
Position 1414: 1.8280352507694253e-05
Position 1734: 1.8248047424738204e-05
Position 1704: 1.7621283823938225e-05
Position 90: 1.7487490800779298e-05
Position 1308: 1.4794893733585636e-05
Position 2132: 1.474945370933527e-05
Position 1819: 1.4412370545314267e-05
Position 1605: 1.3743857708788717e-05
Position 94: 8.382115412874164e-06
Position 1077: 7.999513440712375e-06
Position 1470: 7.658518961957423e-06
Position 1171: 7.177707453754582e-06
Position 1111: 5.4485328009870636e-06
Position 743: 5.255966469839796e-06
Position 1236: 5.137627966613403e-06
Position 112: 4.319730203685259e-06
Position 1116: 4.124882622812994e-06
Position 32: 3.8897633211739186e-06
Position 400: 2.7885322559813943e-06
Position 865: 2.6067864396853786e-06
Position 2245: 2.2118041935929726e-06
Position 103: 1.959005519643444e-06
Position 2221: 1.9579995568732632e-06
Position 830: 1.7667366039167652e-06
Position 873: 1.7370968143140167e-06
Position 185: 1.6054869681261354e-06
Position 34: 1.4891308634544022e-06
