Gene = eIF2beta
index = 1683
Annotated 5SS: [143 746]
Annotated 3SS: [ 345 1053]
SMsplice 5SS: [241 746]
SMsplice 3SS: [ 345 1053]
top_k =  500
Partition function (log Z): -3.3104112003490873

Sorted 5' Splice Sites (High to Low Probability):
Position 746: 0.807906603756236
Position 241: 0.3249157600087524
Position 235: 0.2237861882214985
Position 143: 0.18598515900391438
Position 941: 0.15586117562407423
Position 245: 0.07606906131648641
Position 1406: 0.0577192302091952
Position 290: 0.04466821716406182
Position 166: 0.03417477020762935
Position 265: 0.019384102287742015
Position 751: 0.018572457649429587
Position 219: 0.014043256894827452
Position 213: 0.011739469166011887
Position 785: 0.006014799701192488
Position 473: 0.00519409533940822
Position 912: 0.001975749405193895
Position 1178: 0.001840863878915752
Position 249: 0.0017810664064819572
Position 1200: 0.001366325069097468
Position 1309: 0.0010330265133769783
Position 170: 0.0009119082607120318
Position 295: 0.0007663469574921078
Position 953: 0.0005289525413526008
Position 239: 0.00044090658055299145
Position 945: 0.00043592498315344133
Position 509: 0.0003937452298816722
Position 869: 0.0002836560558047484
Position 867: 0.0002606511043046772
Position 76: 0.00019231003760327147
Position 1304: 0.0001702388497993375
Position 919: 0.0001521416232569365
Position 1209: 0.0001426974023388641
Position 192: 0.00012163695878470785
Position 229: 9.019127949264133e-05
Position 247: 8.795564935001634e-05
Position 27: 6.616763672566055e-05
Position 263: 6.0242438305041326e-05
Position 67: 5.13750451222661e-05
Position 1549: 3.8597008885318794e-05
Position 1520: 3.2737258174843424e-05
Position 19: 2.456675267635712e-05
Position 1525: 2.083227780982709e-05
Position 1383: 1.944350092085705e-05
Position 91: 1.9356909510502945e-05
Position 38: 1.8886657650858283e-05
Position 3: 1.683949496049355e-05
Position 1390: 1.6234182727720234e-05
Position 1182: 1.471209506372425e-05
Position 699: 1.0404134342592742e-05
Position 416: 9.21100832363185e-06
Position 1357: 9.04927623579493e-06
Position 147: 9.008211782360052e-06
Position 1410: 7.134187186398119e-06
Position 106: 6.575719847947919e-06
Position 43: 6.521329116839266e-06
Position 910: 6.163080313226737e-06
Position 1315: 3.715549632234016e-06
Position 1417: 3.60756320571398e-06
Position 828: 2.706369518142649e-06
Position 1076: 2.410612911032409e-06
Position 959: 1.8094453991010098e-06
Position 1122: 1.8064233167040367e-06
Position 1478: 1.0812687089881663e-06
Position 1506: 7.167056105586509e-07
Position 1462: 3.8088015416007047e-07
Position 98: 3.5285213742754677e-07
Position 393: 2.6847404165118858e-08
Position 347: 3.0867403388330937e-09
Position 1109: 7.94168052642253e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1053: 0.9741847893212713
Position 345: 0.9230316864616606
Position 1478: 0.06080306482615342
Position 807: 0.011855143308868008
Position 1002: 0.005800594505815785
Position 372: 0.004832230384996595
Position 375: 0.00441569518947177
Position 815: 0.0030702828221752304
Position 867: 0.0027513605487652464
Position 1373: 0.0013899089185400696
Position 844: 0.0013661936834559415
Position 578: 0.0011609364186576526
Position 378: 0.0009308588356425971
Position 1451: 0.0006901500042991531
Position 1364: 0.0006310633441815498
Position 897: 0.0006087464651118153
Position 975: 0.000405155983952636
Position 1616: 0.00028036030390802077
Position 1277: 0.00016255977478553046
Position 1145: 0.00014531955884093868
Position 1454: 0.00013597577701494
Position 1199: 0.00010059847571538305
Position 910: 9.167038920840278e-05
Position 381: 7.56044302511797e-05
Position 1066: 5.460373590267855e-05
Position 117: 4.435704167406497e-05
Position 525: 4.3071778627201975e-05
Position 850: 4.1097989197948335e-05
Position 991: 4.099868342040923e-05
Position 384: 3.8545357137061214e-05
Position 824: 2.9324611002876162e-05
Position 1315: 2.9109906371888254e-05
Position 1340: 2.8811942271898917e-05
Position 271: 2.427142680736117e-05
Position 791: 1.8940671137671765e-05
Position 1337: 1.4645403335719329e-05
Position 91: 1.2265852752695689e-05
Position 387: 1.2109187806354204e-05
Position 565: 1.1016381029928721e-05
Position 919: 1.0712799567561752e-05
Position 76: 1.0096443079008668e-05
Position 519: 9.328419020618063e-06
Position 663: 8.489974684380645e-06
Position 982: 8.448005535834387e-06
Position 522: 8.039291085149003e-06
Position 67: 7.418172147299229e-06
Position 1010: 6.1432676414432735e-06
Position 666: 5.197961111762612e-06
Position 450: 5.0477050336874205e-06
Position 605: 4.881882354120289e-06
Position 1178: 4.8064317517528665e-06
Position 98: 4.3279738898465226e-06
Position 764: 4.067994054631275e-06
Position 927: 3.593237328374108e-06
Position 1223: 3.5658377159852708e-06
Position 540: 2.891024141981839e-06
Position 1172: 2.7852663254204396e-06
Position 122: 2.763573137758588e-06
Position 537: 2.694109048374038e-06
Position 941: 2.5638047533060246e-06
Position 937: 2.0711463336773636e-06
Position 1118: 2.0203305203146703e-06
Position 1513: 1.5653121372507812e-06
Position 531: 1.3976639651647894e-06
Position 438: 1.279557584216104e-06
Position 1532: 1.1655081142653338e-06
Position 534: 1.0497999872257929e-06
Position 435: 4.6595191962836984e-07
Position 106: 3.5638990578809073e-07
Position 609: 3.266902298417236e-07
Position 140: 2.98789224816797e-07
Position 423: 2.808101508552467e-07
Position 166: 3.393989063033361e-08
Position 669: 8.010877893957375e-09
Position 672: 5.50739541010034e-09
Position 618: 3.203777085392514e-09
Position 712: 1.836279022736271e-09
Position 289: 1.8143098532664784e-09
Position 621: 9.080536559832013e-10
Position 612: 4.800615214751771e-10
Position 147: 4.0193314497922104e-10
Position 726: 2.999653921365451e-10
