Gene = haf
index = 1721
Annotated 5SS: [   77  1787 45697 46784 47529 48501 49208 49757 50357]
Annotated 3SS: [ 1703 45486 45832 47192 47814 49068 49631 49969 51260]
SMsplice 5SS: [  625 26646 27735 28371 35570 37323 45697 46784 47529 48501 49208 49757]
SMsplice 3SS: [25701 26777 27783 35449 37202 45486 45832 46884 47814 49068 49631 51260]
top_k =  500
Partition function (log Z): -47.217485486856916

Sorted 5' Splice Sites (High to Low Probability):
Position 1787: 0.9999998457623237
Position 26646: 0.6969918170462674
Position 625: 0.41578530081927184
Position 77: 0.3082478152182611
Position 618: 0.05820102289597326
Position 1320: 0.05613845882809895
Position 1360: 0.046698648284894756
Position 1338: 0.029780781574659135
Position 81: 0.02895855544210836
Position 83: 0.022121879278335383
Position 713: 0.0076604810823615544
Position 967: 0.006076828958890018
Position 792: 0.00389891666331648
Position 335: 0.0030367697280588523
Position 874: 0.0023349235118997527
Position 908: 0.0023014428488375466
Position 108: 0.0018051361747479155
Position 85: 0.0016388905974133669
Position 568: 0.001342802056936314
Position 314: 0.0009745659058155702
Position 87: 0.0007982844911437165
Position 711: 0.0005663548041666215
Position 988: 0.0003438776412373562
Position 582: 0.0003220830033382669
Position 864: 0.00029234453714746344
Position 1596: 0.00016776749391120066
Position 97: 9.660368880822061e-05
Position 803: 9.122142920031786e-05
Position 218: 6.915965608498569e-05
Position 368: 6.491985099592631e-05
Position 849: 5.42172927954645e-05
Position 504: 4.972725029727601e-05
Position 1041: 3.925812013399365e-05
Position 442: 3.7240720866473524e-05
Position 106: 3.7982460594057697e-06
Position 3819: 4.837943473918067e-08
Position 11608: 1.2948006558340099e-08
Position 7882: 1.2704833982341117e-08
Position 7094: 1.2375780324099306e-08
Position 3435: 4.426993447422518e-09
Position 1926: 3.37365837408159e-09
Position 6765: 2.4807221741924057e-09
Position 2525: 2.0648288959791407e-09
Position 3377: 3.1242668129438424e-10
Position 1940: 3.0311551631203445e-10
Position 2974: 2.1766407174232763e-10
Position 3408: 2.117902786662334e-10
Position 1914: 9.120780060243697e-11
Position 6352: 6.475656682546086e-11
Position 2457: 6.024498005732772e-11
Position 6191: 4.372532063588483e-11
Position 2712: 1.5193731874150865e-11
Position 1974: 1.344270219047098e-11
Position 1832: 9.400483721948172e-12
Position 445: 8.809076401425638e-12
Position 1909: 7.570065628997878e-12
Position 259: 6.035549669228397e-12
Position 1987: 4.483605833499212e-12
Position 99: 3.9980056424251095e-12
Position 112: 3.892635635562673e-12
Position 1871: 3.848464739517332e-12
Position 201: 3.0451210029729655e-12
Position 294: 2.8338906103797096e-12
Position 337: 2.677339256667356e-12
Position 756: 2.0466467903423236e-12
Position 9: 1.5774976034560041e-12
Position 114: 1.4628711382360886e-12
