Gene = Adi1
index = 14
Annotated 5SS: [193 352 542 793]
Annotated 3SS: [273 413 698 851]
SMsplice 5SS: [193 352 542 793]
SMsplice 3SS: [273 413 698 851]
top_k =  500
Partition function (log Z): 7.098038262298273

Sorted 5' Splice Sites (High to Low Probability):
Position 793: 0.99967492243318
Position 542: 0.9945722448505285
Position 197: 0.86458475126254
Position 393: 0.11495951947665091
Position 162: 0.005105545878321678
Position 363: 0.003737668289150817
Position 178: 0.0019583042659116526
Position 329: 0.0016943070129500307
Position 231: 0.0013645227925985885
Position 956: 0.001155437547453826
Position 523: 0.0009100123998967408
Position 79: 0.00048697849776173325
Position 941: 0.00036454326690929463
Position 16: 0.0002292748710484642
Position 84: 0.0002144075610873843
Position 574: 0.00019874543068420052
Position 546: 0.00012134545939110557
Position 797: 0.00011184254795668169
Position 969: 6.704751568828344e-05
Position 534: 6.0525774181627254e-05
Position 633: 3.396309288033007e-05
Position 288: 2.9585433629389055e-05
Position 604: 2.492165285811458e-05
Position 73: 2.0009856467796567e-05
Position 551: 1.3824825863713401e-05
Position 431: 7.00259491385127e-06
Position 727: 6.919489340035926e-06
Position 455: 4.7585775153561065e-06
Position 43: 3.6522838589772336e-06
Position 36: 2.9025395689039156e-06
Position 29: 2.213451800055048e-06
Position 63: 4.153367888147861e-07
Position 53: 4.146123710206913e-07
Position 666: 4.676804552252374e-08
Position 931: 4.333878229950344e-08
Position 714: 2.5998519108818722e-08
Position 879: 3.3497381183478394e-09
Position 910: 3.2592897802639824e-09
Position 730: 2.913183546904025e-09
Position 891: 1.3332908363150356e-09
Position 835: 4.6559458607601954e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 851: 0.9865250088225482
Position 698: 0.9443233989209509
Position 273: 0.8175991737563758
Position 441: 0.10590063123471767
Position 413: 0.06068364448436406
Position 604: 0.05257473181207768
Position 862: 0.013351279316045073
Position 455: 0.005990029718638552
Position 1019: 0.0015899071750025751
Position 462: 0.0012985897656868739
Position 726: 0.0011462594639745018
Position 610: 0.00043131840577254965
Position 63: 0.0001733610409353756
Position 78: 4.320895308115036e-05
Position 705: 4.1760223428625e-05
Position 294: 1.1035518498354337e-05
Position 431: 9.205637308831968e-06
Position 735: 7.609687116861953e-06
Position 757: 7.427021418967009e-06
Position 574: 7.135320894787257e-06
Position 231: 4.541617694792727e-06
Position 111: 1.0863016644142158e-06
Position 983: 1.0184551109019216e-06
Position 515: 3.2590312317726316e-07
Position 320: 2.840191781693443e-07
Position 739: 1.8548033403815376e-07
Position 99: 1.8177039652548026e-07
Position 950: 7.224244235460315e-08
Position 582: 6.920213481013582e-08
Position 356: 6.015364656328486e-08
Position 351: 2.778275887930635e-08
Position 494: 2.5522097488925645e-08
Position 171: 1.4842740291811232e-08
Position 168: 1.433770874766835e-08
Position 288: 1.3394526154710301e-08
Position 956: 5.841639238827186e-09
Position 192: 5.278047699462626e-09
Position 296: 3.858667362440365e-09
Position 542: 2.48145417620254e-09
Position 204: 1.3203234842541721e-09
Position 247: 8.168324938870174e-10
Position 546: 6.295086470180973e-10
Position 120: 3.548994212418028e-10
Position 197: 3.3831284827227443e-12
