Gene = RapGAP1
index = 1409
Annotated 5SS: [  744 42706 79168 79715]
Annotated 3SS: [42506 77454 79225 79799]
SMsplice 5SS: [  744 42706 78679 79168 79715]
SMsplice 3SS: [42506 77454 78739 79225 79799]
top_k =  500
Partition function (log Z): -78.81455730704059

Sorted 5' Splice Sites (High to Low Probability):
Position 744: 1.0000000000000544
Position 10407: 0.11092126612530799
Position 14162: 0.05632477050675376
Position 26759: 0.05549044628475637
Position 5506: 0.04122785269485367
Position 10411: 0.04078325440318149
Position 23613: 0.039431567492494345
Position 175: 0.03273326049187722
Position 273: 0.015705694148292336
Position 109: 0.005174107894066223
Position 264: 0.0036678734759520216
Position 364: 0.0031699384115189987
Position 346: 0.00141009399385789
Position 147: 0.001123252658952086
Position 353: 0.000983764553915734
Position 384: 0.0005087698029680482
Position 154: 0.00028505738652767105
Position 214: 0.00026667223990069477
Position 402: 0.00026117487356005896
Position 368: 0.00024289437547481352
Position 186: 0.00011556935724223096
Position 201: 4.848871268036746e-05
Position 173: 3.273705787525238e-05
Position 145: 2.2798879399136306e-05
Position 6: 2.199663499362199e-05
Position 497: 4.490123659789439e-06
Position 590: 4.021562399293511e-06
Position 540: 3.658202785219398e-06
Position 572: 3.165349176450413e-06
Position 17782: 1.0435315764935293e-06
Position 554: 9.126482234213582e-07
Position 13052: 8.660779563963167e-07
Position 466: 8.305164333237639e-07
Position 600: 3.629238778232381e-07
Position 509: 1.9252677255767006e-07
Position 14418: 1.431145988268273e-07
Position 14171: 1.2795666172540293e-07
Position 14175: 1.108479046506699e-07
Position 476: 1.1028854290289467e-07
Position 442: 8.136782792387885e-08
Position 14441: 5.9272017368633085e-08
Position 425: 3.631373425937358e-08
Position 1696: 2.247417055631002e-11
Position 1344: 1.6623516206772682e-12
Position 7142: 1.6359996772832337e-12
Position 4713: 1.5230703196468236e-12
Position 6658: 1.2900999561403674e-12
Position 905: 1.2050880771002216e-12
Position 2736: 1.0017164340398807e-12
Position 1753: 1.0447236809478208e-13
Position 4564: 9.750514063505345e-14
Position 1364: 9.05590243626029e-14
Position 1904: 8.028119994025408e-14
Position 2026: 4.9862276207036035e-14
Position 1127: 1.4214900760818662e-14
Position 973: 7.477644391711626e-15
Position 1297: 5.0329540339962565e-15
Position 1385: 3.3667499996331064e-15
Position 1497: 3.0252906687017686e-15
Position 2020: 2.3479356745775106e-15
Position 1914: 1.837701653928654e-15
Position 1337: 1.7844763865383332e-15
Position 943: 1.5424573270331264e-15
Position 1258: 8.098176923626014e-16
Position 1112: 6.740816053687393e-16
Position 748: 1.9024793960884863e-16
Position 1131: 2.985505715756384e-17
Position 883: 1.984565304278857e-17
Position 1098: 1.8856076189823136e-17
Position 862: 1.674221648886735e-17
Position 770: 1.2219821574973081e-17
Position 1084: 1.2163070686400034e-17
Position 1288: 7.811274716831396e-18
Position 1431: 5.833713199799582e-18
Position 1348: 4.9956752505066125e-18
Position 1416: 4.443992013845808e-18
Position 1004: 2.9184921665113886e-18
Position 1281: 2.1505912199315647e-18
Position 1538: 2.1071411049533853e-18
Position 1233: 2.05548594481183e-18
Position 1096: 1.8146909101931994e-18
Position 1397: 1.6929459895366947e-18
Position 1273: 1.5797177192985462e-18
Position 1064: 1.106006530377312e-18
Position 1195: 8.503090260317707e-19
Position 1173: 6.391264572161329e-19
Position 1395: 5.512124271126617e-19
Position 1146: 2.79625683792479e-19
Position 887: 1.331446362710644e-19
Position 668: 4.7704013699030865e-20
Position 865: 7.345203939828847e-21
Position 835: 7.876935237866942e-22
Position 832: 5.342201530354874e-22
Position 605: 1.1604396651969457e-25
Position 137: 9.336023649676266e-27

Sorted 3' Splice Sites (High to Low Probability):
Position 26711: 0.9848727993071039
Position 9384: 0.05928677610329947
Position 26833: 0.05549044628475716
Position 23319: 0.04879658250857871
Position 4856: 0.037156933212771824
Position 14006: 0.033432276234879564
Position 10001: 0.027469099651643243
Position 466: 0.02202594651053462
Position 10170: 0.018462233511034046
Position 9718: 0.016689947005871935
Position 10058: 0.014093799043658498
Position 434: 0.013898151078608964
Position 405: 0.011506877917553985
Position 402: 0.009299420315672135
Position 13575: 0.008265984322796287
Position 14011: 0.007061122528614332
Position 10142: 0.006839813767248715
Position 9060: 0.005731827371128775
Position 23941: 0.005716758664658437
Position 13345: 0.0053942856049713234
Position 368: 0.003910501804126392
Position 411: 0.002609180820049456
Position 13687: 0.0021708589482752516
Position 9160: 0.0013908681115784275
Position 344: 0.0009892457114164305
Position 9038: 0.0009644701389042813
Position 8572: 0.0007756876798843083
Position 5153: 0.000676684823398514
Position 4368: 0.000652773809720207
Position 4648: 0.0006222568833677549
Position 382: 0.0005298346943645285
Position 4154: 0.00045330473650347406
Position 214: 0.00044513786513441416
Position 3860: 0.0004418679746543263
Position 4286: 0.00041161095438708685
Position 3630: 0.00023076055984287098
Position 476: 0.00019634907372183334
Position 4563: 0.00019601775818084248
Position 5146: 0.0001954836081083368
Position 5106: 0.00019015789940065957
Position 384: 0.0001470483088073618
Position 554: 7.896654941533266e-05
Position 346: 6.4249963609387e-05
Position 173: 4.6713204969781163e-05
Position 646: 4.4382883156108035e-05
Position 19722: 2.246001846666678e-05
Position 18592: 5.696377349250295e-06
Position 18244: 5.455823879709555e-06
Position 14231: 4.883402117097481e-06
Position 17703: 4.5174415211616735e-06
Position 17707: 1.1795040208986067e-06
Position 17619: 8.316929129095291e-07
Position 12889: 7.821282890664589e-07
Position 13114: 6.350599265460375e-07
Position 15985: 5.214567992471988e-07
Position 14732: 5.069832813825916e-07
Position 14773: 1.7583976063299222e-07
Position 14475: 1.5867821283793334e-07
Position 15087: 8.235621520618948e-08
Position 12216: 4.724020116524802e-08
Position 12113: 3.954542252496091e-08
Position 14760: 3.0629388053670774e-08
Position 13174: 9.427511834937257e-09
Position 13198: 1.7676222744700066e-09
Position 11452: 8.917526990381389e-10
Position 11578: 6.788840235393657e-10
Position 10595: 6.073663954499994e-10
Position 10623: 4.909168643422717e-10
Position 11111: 4.0263298573556074e-10
Position 7055: 1.6556276711156172e-10
Position 5039: 1.4865277747751818e-10
Position 4390: 1.356533978583714e-10
Position 4636: 8.361742930900137e-11
Position 505: 7.125548452663763e-11
Position 4957: 6.188129751141526e-11
Position 4545: 5.944120638487719e-11
Position 7980: 2.6691763866932037e-11
Position 7781: 1.9866388881182185e-11
Position 6229: 1.65557306267965e-11
Position 8367: 1.58760821448341e-11
Position 7105: 1.5379498527348944e-11
Position 1575: 1.4951042111217873e-11
Position 8938: 1.4353796902938597e-11
Position 8146: 1.2203270021403123e-11
Position 7647: 9.975158680558675e-12
Position 7246: 9.11320036659318e-12
Position 6879: 8.506293969171505e-12
Position 847: 8.453468255764773e-12
Position 5556: 7.447741043669557e-12
Position 8024: 5.5174191303792165e-12
Position 5770: 5.285286193690934e-12
Position 7207: 4.511061001762019e-12
Position 8262: 4.127256646522858e-12
Position 6527: 3.994659678438845e-12
Position 8185: 3.269680506771126e-12
Position 5839: 2.688552497533251e-12
Position 1192: 2.006225785690338e-12
Position 5587: 1.9800266742782927e-12
Position 7032: 1.9140592291438206e-12
Position 6573: 1.8219452552476572e-12
