Gene = Pomp
index = 1386
Annotated 5SS: [130 460]
Annotated 3SS: [193 746]
SMsplice 5SS: [130 460]
SMsplice 3SS: [193 746]
top_k =  500
Partition function (log Z): -1.420413289100671

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9457902746722057
Position 460: 0.8004711564184996
Position 431: 0.1795594536135818
Position 986: 0.06236874479604456
Position 657: 0.004110978586754172
Position 630: 0.003025319735939487
Position 1198: 0.0007189391259457251
Position 665: 0.0007047801033270342
Position 476: 0.0006113407955520106
Position 1129: 0.0005643868917757069
Position 970: 0.0005029650309392803
Position 426: 0.00043736791808070166
Position 677: 0.0004112168283452953
Position 1351: 0.00037511282741923885
Position 23: 0.0003660336072168242
Position 1219: 0.000352004995481368
Position 66: 0.00026536839156577935
Position 1276: 0.00024896923234932704
Position 648: 0.00022628174788401665
Position 39: 0.00021548129503151965
Position 853: 0.00019481469871086873
Position 134: 0.00018230189790065512
Position 646: 0.0001363012244430226
Position 343: 0.00012026519612074385
Position 1065: 0.00011748276621660791
Position 389: 8.383731072855414e-05
Position 898: 6.475395118403236e-05
Position 836: 5.976829279795049e-05
Position 850: 5.958249343285453e-05
Position 1032: 5.6298131019583775e-05
Position 1369: 5.309314709702693e-05
Position 492: 4.5182179484719095e-05
Position 883: 2.545923605805702e-05
Position 254: 2.1064752631492533e-05
Position 1025: 2.007741757197986e-05
Position 229: 1.487219721108971e-05
Position 1241: 1.3208609600956665e-05
Position 299: 1.2133867311369173e-05
Position 1135: 5.83329347039985e-06
Position 12: 5.074267900968955e-06
Position 539: 4.358150365327065e-06
Position 227: 3.686256405459503e-06
Position 1178: 3.3173458470320424e-06
Position 155: 2.593971632185344e-06
Position 1150: 2.284524838023888e-06
Position 1069: 1.812107519987608e-06
Position 146: 1.6739421686112273e-06
Position 252: 1.6353338743649519e-06
Position 454: 1.3643920757058476e-06
Position 212: 1.328227724705828e-06
Position 70: 1.1362215475066404e-06
Position 193: 2.9869614807334576e-08
Position 233: 1.0980851283019244e-08
Position 779: 6.561907935033806e-09
Position 1036: 3.4172455641674195e-09
Position 1132: 6.080301146134291e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.9895958858402562
Position 193: 0.9217524164294827
Position 1065: 0.04732406905054466
Position 199: 0.01651022365615344
Position 1250: 0.01057702176689114
Position 677: 0.006163144678994434
Position 1396: 0.0027848739661343303
Position 1125: 0.001990314664286046
Position 1338: 0.0014715708531048294
Position 1436: 0.0009670965289526976
Position 212: 0.0006088451553902638
Position 700: 0.0005193008891895765
Position 1263: 0.00040197112633769686
Position 361: 0.0003548717878431866
Position 1128: 0.00026066372605528676
Position 79: 0.0001919951010998071
Position 217: 0.00018103268318373262
Position 115: 0.000140656026524003
Position 554: 0.0001395582378437832
Position 1340: 9.571954042980146e-05
Position 589: 7.387636360631319e-05
Position 920: 6.230599118671607e-05
Position 492: 5.960862265192788e-05
Position 1169: 4.053279574974623e-05
Position 657: 3.578062352889723e-05
Position 226: 3.576046847233626e-05
Position 1369: 3.2129478983549835e-05
Position 322: 2.9497371913257697e-05
Position 501: 2.865670508674676e-05
Position 514: 2.6849611786504493e-05
Position 459: 2.5926448258883034e-05
Position 1285: 2.3238010849580796e-05
Position 1145: 2.266415282397841e-05
Position 946: 2.138793631344521e-05
Position 1213: 1.6395910565305548e-05
Position 158: 1.636676289526186e-05
Position 400: 7.5882504786847685e-06
Position 824: 7.406378536348362e-06
Position 979: 7.194706255744916e-06
Position 343: 7.063190574045675e-06
Position 155: 6.4939324610106435e-06
Position 271: 5.456042216544342e-06
Position 1215: 5.415206929945463e-06
Position 522: 4.78249900930605e-06
Position 430: 4.364340547101554e-06
Position 935: 1.9615718450271527e-06
Position 1351: 1.8732324248653388e-06
Position 134: 3.441430059087442e-07
Position 529: 1.6836007791557985e-07
Position 819: 1.4094944654002316e-07
Position 798: 8.923914275742196e-08
Position 883: 8.041273673300348e-08
Position 898: 6.69007141960922e-08
Position 337: 3.514726405976568e-08
Position 951: 3.085603117716019e-08
Position 146: 2.5575630814499743e-08
Position 412: 2.4759692373899284e-08
Position 840: 8.174212075382492e-09
Position 379: 7.665200682327337e-11
Position 160: 9.351475710350992e-16
