Gene = Eip63F-1
index = 1150
Annotated 5SS: [ 2371  4660  4805 15734 21766 21992]
Annotated 3SS: [ 4620  4764 15589 21614 21842 23702]
SMsplice 5SS: [  132  4805 15734 21766 21992]
SMsplice 3SS: [ 4620 15589 21614 21842 23702]
top_k =  500
Partition function (log Z): 3.233207910469487

Sorted 5' Splice Sites (High to Low Probability):
Position 21992: 0.9898139655685331
Position 21766: 0.9677442320406011
Position 4805: 0.8062869460084942
Position 2371: 0.7888254102929162
Position 132: 0.7644933021824986
Position 15734: 0.6989226159088816
Position 17150: 0.5143648157768284
Position 16842: 0.4680715497673829
Position 4707: 0.30880052478616776
Position 4703: 0.2481498927818994
Position 15685: 0.23249277073932412
Position 17157: 0.18757534842894696
Position 3775: 0.1674243633009835
Position 2678: 0.1641379459201515
Position 3358: 0.15359873481550673
Position 885: 0.1496104360327456
Position 4385: 0.11060235458353514
Position 6291: 0.11014600171292949
Position 6060: 0.058327371201170444
Position 4660: 0.050398201859167546
Position 3057: 0.04222167560630198
Position 16969: 0.032519895381643425
Position 987: 0.02922999967969045
Position 21770: 0.026802563428041673
Position 6054: 0.021544546047138256
Position 6620: 0.021023325997192848
Position 24598: 0.019368829687041216
Position 504: 0.019239256790984576
Position 1350: 0.018041651117498708
Position 1089: 0.017924168982709394
Position 23554: 0.01742618739864642
Position 19075: 0.017425280794059587
Position 17361: 0.017381921547933065
Position 3204: 0.016456220573132927
Position 4908: 0.014836250176563481
Position 17698: 0.013725587824414149
Position 24231: 0.013455900500809801
Position 5821: 0.011126481537837308
Position 25327: 0.01051520636922754
Position 5086: 0.009449401841418131
Position 23818: 0.0094377581000745
Position 5164: 0.009126326442962749
Position 3856: 0.009049514913097306
Position 998: 0.009018541304841999
Position 3342: 0.008227031575640857
Position 3889: 0.008025826686542482
Position 157: 0.0075170931926562086
Position 22590: 0.007087058607624072
Position 19784: 0.006741363414991174
Position 558: 0.006517354284003507
Position 5078: 0.00648946902342482
Position 16016: 0.006338194727633078
Position 2811: 0.006329347511535517
Position 2705: 0.00573942245513763
Position 23927: 0.005320836045630629
Position 19271: 0.004902894205431027
Position 7067: 0.00474256863847423
Position 22468: 0.004674551239251855
Position 24388: 0.0045380105931195425
Position 25331: 0.0041952758990469905
Position 22432: 0.004158618949007015
Position 2842: 0.0038684553722501333
Position 22376: 0.0038645388856516005
Position 24773: 0.003819905994434596
Position 17329: 0.0033694208847427215
Position 24334: 0.003210891696947476
Position 11394: 0.0028055872357101584
Position 149: 0.0025164415056273385
Position 2152: 0.0024302789640852514
Position 636: 0.0023862582676573985
Position 23376: 0.0021437398113647687
Position 6276: 0.0021259992627404964
Position 3711: 0.0019932603622200284
Position 333: 0.0017993090716586818
Position 22963: 0.0017593359082105776
Position 22878: 0.0017222473344886118
Position 9444: 0.00170875198018824
Position 4689: 0.0014389769464328607
Position 22576: 0.0013864254001055047
Position 22583: 0.0013608222490460243
Position 694: 0.0013452099959218979
Position 22417: 0.0013425838060836042
Position 16374: 0.0013130052237138134
Position 3794: 0.0012530685689026088
Position 66: 0.0012163188210715156
Position 3695: 0.0011540765087134177
Position 5180: 0.0010851782997700534
Position 328: 0.0009181785040153231
Position 19710: 0.0008938246471207623
Position 22488: 0.0008049529655408857
Position 541: 0.0007693871262995351
Position 23881: 0.0007177335723577066
Position 68: 0.0006970116896457136
Position 2765: 0.0006673500805687079
Position 1425: 0.0005832977684335128
Position 70: 0.000582115875288886
Position 946: 0.0005199273061206387
Position 22641: 0.0004870149058355211
Position 72: 0.0004760855209245729
Position 22476: 0.0004448685342062759
Position 2648: 0.0004142423290590988
Position 1597: 0.0003730943895297639
Position 530: 0.00032009236662960147
Position 16709: 0.00029965057867417714
Position 459: 0.0002718451889050888
Position 64: 0.0002238350977240256
Position 1200: 0.0001926411618582427
Position 1372: 0.00015432382763652663
Position 136: 0.00014404121548059653
Position 2552: 0.00014345932637086845
Position 22092: 0.00011908274414128204
Position 282: 9.628618940982976e-05
Position 213: 9.469565581883273e-05
Position 314: 5.6555816674039196e-05
Position 286: 5.62874965750599e-05
Position 4868: 3.560418863477752e-05
Position 24018: 2.1441915183855057e-05
Position 3061: 1.9297830573632283e-05
Position 346: 1.2721180633913506e-05
Position 929: 9.181341745734263e-06
Position 3442: 8.220116618397547e-06
Position 627: 7.869911910434049e-06
Position 416: 5.190363797301556e-06
Position 890: 4.946486510789109e-06
Position 396: 3.6275980180161673e-06
Position 22149: 3.1936052587989766e-06
Position 219: 2.8313534513654176e-06
Position 661: 2.1020495433492734e-06
Position 115: 2.0214469724947807e-06
Position 22094: 1.7379184197423135e-06
Position 21996: 1.2945972398021435e-06
Position 232: 1.278703886589618e-06
Position 374: 5.645144307540307e-07
Position 757: 4.5202395061278824e-07
Position 924: 4.458273171695267e-07
Position 2699: 2.3071472405439637e-07
Position 10: 3.5872547227136826e-08
Position 290: 2.464950617381566e-08
Position 1064: 1.834025342437899e-08
Position 284: 9.871401186387307e-09
Position 173: 8.128977366922322e-09
Position 15: 7.876402097952473e-09
Position 76: 6.6542189888364795e-09
Position 279: 5.31107180531966e-09
Position 17: 3.6473835103361732e-09
Position 74: 1.3961119218818284e-09
Position 185: 1.370639543545309e-09
Position 267: 1.0182841805823843e-09
