Gene = Hsc20
index = 1216
Annotated 5SS: [291 456]
Annotated 3SS: [342 515]
SMsplice 5SS: [456]
SMsplice 3SS: [515]
top_k =  500
Partition function (log Z): -5.6630414524731965

Sorted 5' Splice Sites (High to Low Probability):
Position 456: 0.6576022496328714
Position 291: 0.5687814024470336
Position 460: 0.14306015496524652
Position 449: 0.09848202951265973
Position 602: 0.018453777027037783
Position 17: 0.00353936431312352
Position 102: 0.0024405706229866687
Position 276: 0.0014174316488955454
Position 73: 0.0008248666986153704
Position 38: 0.0006974936388765992
Position 295: 0.0006599400175319785
Position 62: 0.0006527623719813182
Position 700: 0.0005895061605539633
Position 430: 0.0002968762040319043
Position 250: 0.00019914211555916385
Position 78: 0.00018099001270809362
Position 472: 0.00014518044270547993
Position 97: 0.00012369519866739452
Position 465: 0.00011746301665321538
Position 780: 0.00011038793693652995
Position 36: 0.00010761679330904046
Position 129: 7.756757966622485e-05
Position 50: 4.795455800422868e-05
Position 832: 1.957938497061538e-05
Position 15: 1.6032948339279438e-05
Position 599: 1.567762139777005e-05
Position 259: 1.3345956783243017e-05
Position 843: 1.2851929387751586e-05
Position 606: 8.837146584393466e-06
Position 333: 7.340669439126717e-06
Position 407: 7.1847473828453695e-06
Position 339: 6.500274152629352e-06
Position 551: 4.2692379200377294e-06
Position 396: 3.6459115295494786e-06
Position 666: 3.557278003626437e-06
Position 205: 3.064840598650406e-06
Position 417: 2.9309969306978832e-06
Position 930: 1.391932274112889e-06
Position 887: 1.0557782720669566e-06
Position 186: 2.618969209998145e-07
Position 951: 2.4950050610244095e-07
Position 161: 7.538911629632752e-09
Position 387: 5.975058898232792e-09
Position 508: 3.0166708204852724e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 515: 0.974633524887009
Position 342: 0.294390382908723
Position 362: 0.173600264396458
Position 664: 0.01645808924096028
Position 333: 0.015567983265492885
Position 595: 0.008152623582469104
Position 161: 0.0049872002768977025
Position 800: 0.0021579833904777526
Position 396: 0.0020543162290033085
Position 133: 0.0016772070116671577
Position 393: 0.0015090672090430487
Position 423: 0.0009196995800963148
Position 65: 0.000493168054029969
Position 97: 0.00034418131343462064
Position 835: 0.00021261478628616936
Position 417: 0.0001978394801241833
Position 186: 0.00018604078379508128
Position 747: 0.00017676036719048132
Position 666: 0.00015917789854644792
Position 544: 0.00015478805005115048
Position 387: 0.00012504102880699279
Position 141: 0.0001093558694412392
Position 756: 9.86269159100088e-05
Position 899: 5.967382078186191e-05
Position 996: 5.0336161571561395e-05
Position 624: 4.349493724067696e-05
Position 805: 2.9687900298227508e-05
Position 973: 2.6373404622828244e-05
Position 449: 2.039241916945382e-05
Position 879: 1.9371640030709083e-05
Position 108: 1.851330046325356e-05
Position 168: 1.406477819175075e-05
Position 484: 1.2729367825195083e-05
Position 567: 1.0442386771176314e-05
Position 488: 7.667967998656346e-06
Position 823: 5.941999306504195e-06
Position 633: 5.746581331698632e-06
Position 465: 5.364185240920172e-06
Position 650: 5.357645143482082e-06
Position 876: 5.218296846214614e-06
Position 861: 4.849373968632267e-06
Position 76: 4.5401706326922e-06
Position 407: 4.40333599307458e-06
Position 272: 3.7310165276385166e-06
Position 866: 3.1846327540549186e-06
Position 221: 3.1102391858686256e-06
Position 642: 3.048417527633573e-06
Position 239: 1.45510740490363e-06
Position 606: 1.1245903184201434e-06
Position 236: 3.987938877186894e-07
Position 78: 2.375022631160662e-08
Position 472: 2.342055544807729e-08
Position 551: 6.5158348427607615e-09
Position 285: 1.822029311454519e-09
Position 73: 4.886751303448719e-12
Position 291: 7.039431596471968e-13
