Gene = scat
index = 1867
Annotated 5SS: [497]
Annotated 3SS: [875]
SMsplice 5SS: [497]
SMsplice 3SS: [875]
top_k =  500
Partition function (log Z): -7.556464722020377

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.9709706078191067
Position 692: 0.07383384657632576
Position 211: 0.07029195211349427
Position 1112: 0.02885959112806588
Position 1621: 0.02465243542895007
Position 1414: 0.018606791406578612
Position 1328: 0.009357452384808071
Position 1131: 0.006736614266604729
Position 609: 0.005719588392940009
Position 688: 0.004890111815736065
Position 3814: 0.002940862405649717
Position 943: 0.0027750411819901176
Position 754: 0.0027492044338356743
Position 255: 0.0021717508616376584
Position 1537: 0.0013009345281070864
Position 719: 0.0010466767519526775
Position 2824: 0.0007564263215164472
Position 626: 0.0007331360826196244
Position 1325: 0.0004592318057422034
Position 822: 0.00042893834041542704
Position 2820: 0.00038210291757606975
Position 1666: 0.00036060508454375953
Position 1157: 0.0003536686160763343
Position 583: 0.0002658440974392492
Position 681: 0.00025908614686143204
Position 1513: 0.00021560115235827348
Position 1005: 0.00017346367939620537
Position 1081: 0.00011261163321494304
Position 1625: 0.00010552075552159179
Position 1349: 7.582819282921063e-05
Position 1162: 7.315084222983213e-05
Position 1519: 6.212167969367191e-05
Position 1051: 4.608401970886602e-05
Position 237: 3.665202399761527e-05
Position 379: 3.1039477005185106e-05
Position 334: 1.7532630149889986e-05
Position 3: 1.215801908975532e-05
Position 151: 3.5931093659450033e-06
Position 44: 2.8086385058401473e-06
Position 1147: 2.668945448344312e-06
Position 549: 2.1952954598572085e-06
Position 405: 1.823022745692097e-06
Position 776: 1.8229835243582455e-06
Position 1012: 1.7249884970240897e-06
Position 13: 1.3089363832962917e-06
Position 711: 9.967621219936756e-07
Position 501: 7.840049654853226e-07
Position 344: 7.661610766491266e-07
Position 33: 7.344634940606891e-07
Position 696: 6.117878270639469e-07
Position 589: 5.424966978565597e-07
Position 492: 5.131630071583088e-07
Position 304: 3.475631730998965e-07
Position 112: 3.26536333730549e-07
Position 306: 2.562625861228182e-07
Position 506: 2.1648644302446587e-07
Position 409: 1.9052780316531783e-07
Position 503: 1.6319123720054088e-07
Position 1119: 1.3381951288509818e-07
Position 644: 1.0256465935324609e-07
Position 908: 9.368005959873521e-08
Position 348: 3.322011933137941e-08
Position 970: 1.435778983453896e-08
Position 426: 4.061235707112979e-09
Position 683: 4.0287496798198644e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 875: 0.7498265529275085
Position 649: 0.05758260005484699
Position 298: 0.05555915358235788
Position 3903: 0.05242333070087103
Position 2469: 0.05187965368413232
Position 2706: 0.039732718814784095
Position 1223: 0.039458006432602194
Position 1893: 0.02441470164763747
Position 608: 0.021608493764735483
Position 1448: 0.019302815338574204
Position 3683: 0.016204423445752732
Position 3228: 0.013365622921130353
Position 678: 0.010485758550791334
Position 2873: 0.007415680131767283
Position 804: 0.006256845515514826
Position 322: 0.005268601844698607
Position 2079: 0.005033295506888416
Position 765: 0.003488785548091832
Position 830: 0.0034791822926370404
Position 822: 0.003415135338286533
Position 655: 0.003371345654681524
Position 906: 0.0030310735245321335
Position 621: 0.0029610268576915127
Position 2896: 0.002957083012733542
Position 1413: 0.0027681081674871127
Position 841: 0.0025505920197505883
Position 540: 0.002531207468817863
Position 1386: 0.0025277881897555017
Position 3923: 0.001956146238633167
Position 1729: 0.0016233881855262646
Position 3737: 0.0014613896125528925
Position 1672: 0.001247287207063298
Position 254: 0.001102641545316912
Position 2127: 0.0009861648284864707
Position 3625: 0.0009286068646936271
Position 3838: 0.0009129826773519764
Position 1485: 0.0008050669426759049
Position 3126: 0.0007041692079790794
Position 1581: 0.0006902811141934327
Position 3853: 0.0006880434899692687
Position 333: 0.0006156491747204995
Position 3184: 0.0005990025183671956
Position 366: 0.0005627784081499229
Position 1479: 0.00047441369699314595
Position 2667: 0.00046875441470146115
