Gene = kin17
index = 1739
Annotated 5SS: [1062]
Annotated 3SS: [1133]
SMsplice 5SS: [1062]
SMsplice 3SS: [1133]
top_k =  500
Partition function (log Z): -4.950332768646042

Sorted 5' Splice Sites (High to Low Probability):
Position 1062: 0.9939950288630935
Position 105: 0.009026986675306584
Position 21: 0.007533805630881101
Position 925: 0.0035461329398612466
Position 500: 0.0023054619015001714
Position 471: 0.002277621921018786
Position 167: 0.0008404598810714721
Position 1395: 0.0007708527908770718
Position 1053: 0.0005857261779629941
Position 1362: 0.00027405814651119254
Position 996: 0.00021552832001075933
Position 109: 0.00021406442694288548
Position 179: 0.00014236611921520796
Position 444: 0.0001336961757723483
Position 1365: 0.00012125704893906403
Position 845: 0.00011074551566314518
Position 668: 9.598300158859501e-05
Position 1287: 8.479744401278411e-05
Position 1245: 7.608559971203443e-05
Position 731: 7.146431897091493e-05
Position 215: 6.150374731463506e-05
Position 930: 5.579179920923029e-05
Position 380: 5.0359943246316215e-05
Position 338: 5.032663182316347e-05
Position 1349: 4.6929166090700246e-05
Position 1267: 4.566034073854138e-05
Position 933: 4.551408918778159e-05
Position 148: 3.796840872937046e-05
Position 434: 2.1806118154330457e-05
Position 449: 1.7165450984184458e-05
Position 1025: 1.4882972017863167e-05
Position 1296: 1.4466135342422333e-05
Position 965: 1.3916165559626462e-05
Position 233: 9.26213525897854e-06
Position 747: 8.339374304910916e-06
Position 60: 8.049912669799508e-06
Position 801: 7.770257163445876e-06
Position 8: 7.190796415829574e-06
Position 248: 6.710349960403811e-06
Position 984: 5.217495519654757e-06
Position 1107: 5.195168233855737e-06
Position 119: 2.258734930567508e-06
Position 1399: 1.8301739949909118e-06
Position 191: 1.713589963646282e-06
Position 849: 1.4631724299950027e-06
Position 892: 1.3421193208699685e-06
Position 1251: 8.41778863545315e-07
Position 39: 4.397585774436668e-07
Position 1149: 4.0130820098026765e-07
Position 94: 3.425369148722976e-07
Position 1179: 3.332471433352255e-07
Position 1182: 2.5206659454101226e-07
Position 45: 2.476157183386726e-07
Position 323: 2.207298027262358e-07
Position 302: 1.2646866510177587e-07
Position 803: 7.900326955423392e-11
Position 523: 1.464015825715762e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1133: 0.998452610953216
Position 81: 0.006760328892795583
Position 155: 0.0034386482086193326
Position 523: 0.0025482978721662348
Position 981: 0.0019461771764548285
Position 158: 0.001800898921840986
Position 835: 0.0010677907338281281
Position 289: 0.0008634134696453385
Position 1443: 0.0007128838550934738
Position 768: 0.0006985310541040713
Position 1106: 0.0006827945551001398
Position 1006: 0.0005961465466726302
Position 789: 0.0005792941674123008
Position 1427: 0.0005781572823933108
Position 1145: 0.00043158183060048314
Position 528: 0.0002880101277318918
Position 1169: 0.0002719524987819356
Position 295: 0.00010459800576683683
Position 551: 8.673397666760677e-05
Position 176: 8.38069785395695e-05
Position 1492: 8.170173766138721e-05
Position 614: 7.979043677615982e-05
Position 617: 7.97478517640871e-05
Position 731: 7.93780572447953e-05
Position 800: 6.81054254623466e-05
Position 449: 6.556242046988037e-05
Position 563: 5.92893071561228e-05
Position 809: 5.666772499577303e-05
Position 1362: 4.873244667521654e-05
Position 134: 4.396848007402413e-05
Position 545: 3.534931672631238e-05
Position 753: 3.233139805445324e-05
Position 569: 3.1823881863148196e-05
Position 1399: 2.4328115855307052e-05
Position 1013: 2.165353446514983e-05
Position 398: 2.0407458012323055e-05
Position 795: 1.6759684489236707e-05
Position 965: 1.5374305525886636e-05
Position 1025: 1.4318922346790221e-05
Position 108: 9.990444473577002e-06
Position 215: 9.198289857249067e-06
Position 146: 8.61186967112064e-06
Position 530: 8.123379957222411e-06
Position 773: 7.648589991743202e-06
Position 242: 7.502026864934768e-06
Position 566: 7.099191586705321e-06
Position 707: 7.060575425498786e-06
Position 380: 6.542309942061572e-06
Position 1349: 4.813395061134169e-06
Position 188: 3.8113387405086473e-06
Position 395: 3.6973716834523866e-06
Position 1308: 3.3936814472214864e-06
Position 737: 2.6318286015551084e-06
Position 358: 2.013310314718328e-06
Position 1423: 1.8762529000708123e-06
Position 638: 1.7893854250129496e-06
Position 191: 1.3048174355234234e-06
Position 1334: 1.1128011835790295e-06
Position 1290: 1.021110998283127e-06
Position 1278: 3.616293363880776e-07
Position 1237: 2.9034136065594803e-07
Position 1282: 1.0652359807231744e-07
Position 350: 3.803641968304328e-09
Position 368: 3.117018004218731e-09
Position 377: 2.6458767684343264e-09
Position 300: 1.950769989292108e-09
Position 119: 1.676876350368415e-09
Position 248: 1.4561443029632495e-09
Position 104: 8.65628426296912e-12
Position 185: 5.02627531045295e-13
Position 50: 3.3650548035449437e-14
