Gene = Aatf
index = 5
Annotated 5SS: [1450]
Annotated 3SS: [1511]
SMsplice 5SS: [1450]
SMsplice 3SS: [1511]
top_k =  500
Partition function (log Z): -4.615446576783206

Sorted 5' Splice Sites (High to Low Probability):
Position 1450: 0.9920792664812985
Position 686: 0.10795388573429797
Position 39: 0.026947574482574534
Position 501: 0.01847228900368992
Position 1618: 0.012447106890662698
Position 1084: 0.007150537571190884
Position 1464: 0.004222242306059823
Position 232: 0.004130084881360774
Position 1018: 0.0034265046269072973
Position 1060: 0.0033746130616124346
Position 967: 0.003094111890299192
Position 36: 0.002486450258456639
Position 1454: 0.0024846101298541005
Position 621: 0.002138941843951793
Position 1605: 0.0018090921062985344
Position 868: 0.001671756459015721
Position 492: 0.0015722771655998185
Position 131: 0.0012942211255434757
Position 48: 0.000995274194348123
Position 1095: 0.0009778491678044468
Position 374: 0.0008451891276401647
Position 872: 0.0006335788508527112
Position 1584: 0.0004179484715911607
Position 971: 0.000334379425501607
Position 1638: 0.0003194075475494033
Position 562: 0.0003148722717568764
Position 1593: 0.00027512118315606
Position 300: 0.00016996827662569178
Position 1590: 0.00015745029830670644
Position 541: 0.00015638371647689673
Position 1415: 0.00015346132354556106
Position 8: 0.0001491474363443312
Position 1002: 0.00014140533943948172
Position 691: 0.00012322593459262204
Position 1023: 0.00011391146878149674
Position 278: 0.00010417591232764686
Position 376: 9.165655666591205e-05
Position 793: 7.657889406343938e-05
Position 1073: 5.730421245353594e-05
Position 1010: 4.251748454144195e-05
Position 1078: 4.166033852401131e-05
Position 931: 2.0677872297069963e-05
Position 1676: 1.5260412621622118e-05
Position 430: 1.2308742133484926e-05
Position 30: 1.0926371491433401e-05
Position 337: 1.0880755103564815e-05
Position 84: 8.84892063016303e-06
Position 1609: 8.25779848307263e-06
Position 212: 6.408596200559587e-06
Position 1559: 4.720580075445524e-06
Position 1372: 2.710879031793222e-06
Position 1327: 5.886397882468569e-07
Position 207: 1.0559442963816499e-07
Position 97: 4.7883994671979036e-08
Position 119: 1.61851857518242e-08
Position 762: 1.8577623310433407e-09
Position 1210: 1.678311863121428e-09
Position 327: 8.188186685328294e-10
Position 55: 6.846333420859854e-10
Position 191: 5.1799653673224786e-11
Position 894: 3.129235205295075e-11
Position 1028: 3.059249950634431e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1511: 0.9995228486435045
Position 745: 0.10875968311064926
Position 1144: 0.029598265906759964
Position 84: 0.015753041789177233
Position 1694: 0.010453032955974956
Position 81: 0.007004760682460101
Position 1309: 0.004778040008312246
Position 1306: 0.004352588579050933
Position 931: 0.003970202144909701
Position 1708: 0.002908939245479307
Position 1036: 0.0023214325739315173
Position 109: 0.0014974071701207244
Position 1084: 0.0011728733845232811
Position 725: 0.0010194207071420607
Position 1744: 0.0009438707454238552
Position 427: 0.0009093431460125196
Position 115: 0.0008587731388095215
Position 793: 0.0007208376886403423
Position 1705: 0.0007147986013651094
Position 103: 0.000543145321472256
Position 1264: 0.0005314175802778304
Position 935: 0.000486761705798557
Position 1648: 0.00041230707136893734
Position 200: 0.00039346118775574363
Position 577: 0.00038506397227944743
Position 1168: 0.0003771571865757168
Position 298: 0.00031141073521677936
Position 1147: 0.0002618837451633129
Position 777: 0.0002284727546347782
Position 710: 0.00021428644591839528
Position 801: 0.00016326000467326354
Position 1073: 0.00015547851483721753
Position 1135: 0.00014920921154340375
Position 1118: 0.00014288097037090607
Position 562: 0.0001347619984355299
Position 97: 0.00012363637252353905
Position 580: 0.00011874058407160149
Position 541: 0.00010468906869360198
Position 1290: 9.666492222551738e-05
Position 1176: 9.643551139887802e-05
Position 527: 9.195378483909482e-05
Position 913: 7.94490681674603e-05
Position 160: 7.307477582766781e-05
Position 130: 5.290260547183638e-05
Position 772: 5.242534861285129e-05
Position 1530: 5.188122388776603e-05
Position 1372: 4.6860366115177165e-05
Position 1225: 4.077294532109745e-05
Position 946: 4.0642285026014124e-05
Position 424: 3.959464539445947e-05
Position 1638: 3.393724347115274e-05
Position 967: 3.2811829645300134e-05
Position 605: 3.254804221517652e-05
Position 583: 3.009361034151594e-05
Position 612: 2.3690831795123978e-05
Position 547: 2.24801799079003e-05
Position 295: 2.0160853252704067e-05
Position 430: 1.8856168536484062e-05
Position 327: 1.6638926619864036e-05
Position 554: 1.2963456473270339e-05
Position 647: 1.0560694571605994e-05
Position 168: 1.0038515160285376e-05
Position 602: 5.980632396296971e-06
Position 814: 5.97710978317268e-06
Position 1614: 5.7072026522088504e-06
Position 319: 5.232347140628291e-06
Position 267: 8.377428628837301e-07
Position 1562: 3.9532903782693035e-07
Position 314: 2.9568381058673264e-08
Position 373: 1.1200785393117341e-08
Position 232: 1.1082335994484872e-09
Position 173: 1.0374884720021852e-09
Position 324: 7.039829525461413e-10
Position 386: 5.13771549460869e-10
Position 283: 3.27637338515395e-10
Position 135: 2.9618195460009486e-10
Position 229: 1.6435834343347844e-10
Position 139: 2.7922570308631956e-11
Position 175: 1.941712645547068e-11
Position 397: 6.100446897345125e-12
Position 358: 5.712965740924651e-12
Position 127: 2.170040876839934e-12
Position 223: 1.6168130758092518e-12
Position 226: 4.4784391655114757e-13
Position 162: 2.2983675733329412e-14
