Gene = tant
index = 1908
Annotated 5SS: [284 528]
Annotated 3SS: [440 580]
SMsplice 5SS: [284 528]
SMsplice 3SS: [440 580]
top_k =  500
Partition function (log Z): -5.6823555481385615

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.9539607947678252
Position 284: 0.8613099306177976
Position 299: 0.013291230537881046
Position 1191: 0.0027516618511950214
Position 60: 0.0015363344189679921
Position 1421: 0.0013031009140088594
Position 1089: 0.0008510006126257935
Position 288: 0.0007875303141930589
Position 1505: 0.0007218699957893651
Position 116: 0.0006130327715023413
Position 1095: 0.0005012264178776797
Position 3: 0.0004720133801766679
Position 1104: 0.0004362507050580225
Position 10: 0.00035610491746240156
Position 331: 0.0002605880180970719
Position 218: 0.0001997116635542057
Position 250: 0.00016960459144037496
Position 1595: 0.00015139885461268614
Position 703: 0.00012014814976131538
Position 414: 8.173790530361982e-05
Position 119: 3.320295793625228e-05
Position 726: 3.296299670867997e-05
Position 342: 3.1449227733742756e-05
Position 1538: 2.232663028016007e-05
Position 82: 2.1668146349208753e-05
Position 696: 1.8690543589242594e-05
Position 507: 1.8528787677456584e-05
Position 425: 1.74014915999383e-05
Position 852: 1.6657649016354084e-05
Position 34: 1.5029669500181214e-05
Position 1098: 1.2391844832692213e-05
Position 854: 6.899728782603829e-06
Position 825: 6.599052721610556e-06
Position 205: 6.053882962450699e-06
Position 1526: 5.742860169846059e-06
Position 161: 5.618566797108316e-06
Position 71: 4.813425051014456e-06
Position 436: 1.2693406319670173e-06
Position 223: 5.639306598811497e-07
Position 429: 6.869514324210301e-09
Position 462: 5.582051091549619e-09
Position 484: 3.969888717820148e-09
Position 1070: 2.999043840779315e-09
Position 781: 1.2437760339204778e-09
Position 799: 1.169849572462105e-09
Position 581: 1.0633896366709637e-09
Position 832: 1.0529799763011382e-09
Position 608: 5.245750984886626e-13
Position 605: 1.2680471162238238e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 580: 0.9216848837106699
Position 440: 0.8263795763085816
Position 453: 0.02194998333517324
Position 623: 0.019035913916505526
Position 342: 0.017804459101141295
Position 952: 0.004444545834300801
Position 1564: 0.004238243078927378
Position 672: 0.003900186295939027
Position 331: 0.002969170644840221
Position 1840: 0.002561382050380348
Position 484: 0.001590679207899129
Position 729: 0.0015564180562508754
Position 1141: 0.0014204809948924683
Position 1276: 0.000950176091837883
Position 962: 0.0008559000072406519
Position 561: 0.0007553439523332946
Position 976: 0.0006926252794524265
Position 1482: 0.000642733396784041
Position 154: 0.0006379145560834626
Position 1265: 0.0006004844795010467
Position 129: 0.0004266159903238651
Position 177: 0.00038046024064484894
Position 1659: 0.0003567904322090999
Position 883: 0.0003547858060101661
Position 703: 0.0003472143410603354
Position 793: 0.0003227822742974887
Position 402: 0.0003174026122401665
Position 376: 0.00021194723412620988
Position 644: 0.00018948080258879272
Position 973: 0.0001809607609840169
Position 1678: 0.00017717057390164348
Position 94: 0.0001565620257988642
Position 1816: 0.00015263501337530583
Position 1175: 0.00015044803879980505
Position 119: 0.00014932447117072214
Position 1653: 0.0001318320437290639
Position 1602: 0.00012269544311996775
Position 911: 0.00011899218504614352
Position 1757: 0.00010609957362958905
Position 819: 8.831909792833571e-05
Position 653: 8.670143910150655e-05
Position 1530: 8.608252900893241e-05
Position 166: 7.765440150150371e-05
Position 1526: 6.499754081128071e-05
Position 501: 6.362121834410699e-05
Position 700: 6.0662261525151635e-05
Position 283: 5.858504322471051e-05
Position 231: 5.158427254113372e-05
Position 799: 4.552175656014723e-05
Position 908: 3.84182280937746e-05
Position 1030: 3.477678034680709e-05
Position 838: 3.186235083635689e-05
Position 1157: 3.1806551311825524e-05
Position 1226: 3.106990666208941e-05
Position 1053: 3.0409678921773963e-05
Position 104: 2.9507500442617007e-05
Position 371: 2.642464701329834e-05
Position 850: 2.35895166807021e-05
Position 1367: 2.2935053360413984e-05
Position 1489: 2.1158654517652943e-05
Position 1700: 1.962576915691408e-05
Position 1187: 1.3853734573584268e-05
Position 317: 1.360639232258936e-05
Position 514: 1.2503957650290741e-05
Position 1637: 1.071192633684569e-05
Position 1084: 9.908677045749989e-06
Position 383: 7.991377072026149e-06
Position 50: 7.142628978896328e-06
Position 1686: 6.6903227598987056e-06
Position 781: 6.283035995367026e-06
Position 60: 5.000697493718328e-06
Position 241: 3.1445227751059277e-06
Position 298: 2.090396872123209e-06
Position 520: 1.4220717033618062e-06
Position 288: 7.846051872178952e-07
Position 262: 6.970029103151993e-07
Position 213: 6.072103676117603e-07
Position 205: 9.905300006111324e-08
Position 339: 1.1120222532973679e-08
Position 259: 1.6802727068461449e-09
Position 248: 1.3159391017438002e-09
