Gene = Sh3beta
index = 1498
Annotated 5SS: [ 371 1702 2819 3099 4191]
Annotated 3SS: [1275 2743 3049 3151 4298]
SMsplice 5SS: [371]
SMsplice 3SS: [1275]
top_k =  500
Partition function (log Z): -6.980609419628034

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.5971752895533173
Position 1198: 0.4452393091672414
Position 1702: 0.3468162847890771
Position 2819: 0.2792838448130989
Position 1164: 0.23282961001215413
Position 3099: 0.1885647103165737
Position 34: 0.11195188336098141
Position 543: 0.06726070378515257
Position 1414: 0.023251292958070848
Position 2639: 0.015091694134278098
Position 539: 0.01226575074315256
Position 768: 0.010859969125745219
Position 628: 0.00933464870015724
Position 1478: 0.008054234773092795
Position 3781: 0.00664217755911563
Position 580: 0.00645935396267035
Position 1561: 0.00620069284855787
Position 2390: 0.006168187101345274
Position 576: 0.005454140700181926
Position 616: 0.0051056431396706405
Position 535: 0.00485496334548524
Position 3104: 0.004117358269849006
Position 896: 0.002953555697789605
Position 1142: 0.0021392323512943773
Position 1112: 0.002139027938031009
Position 1406: 0.0013824216323287803
Position 1329: 0.0013547141802558809
Position 1725: 0.001211632401131203
Position 972: 0.0011736738091854943
Position 437: 0.001170920661390703
Position 191: 0.0011088370084202674
Position 901: 0.0009271566316966995
Position 650: 0.0008566707876407312
Position 2626: 0.0007748426233226629
Position 2247: 0.0007532646832448812
Position 780: 0.0007197404577501367
Position 1094: 0.0006549143632314856
Position 764: 0.0005193510386358926
Position 2598: 0.0005163082240753696
Position 2189: 0.0004927078647854509
Position 1741: 0.00038397892536130265
Position 1191: 0.00038022809003283945
Position 1525: 0.00027553015315637784
Position 719: 0.00023314485886781838
Position 155: 0.0002318685638145041
Position 1470: 0.00022827348481465576
Position 531: 0.00017491815087291058
Position 588: 0.00013516022536426333
Position 807: 0.00012076578280268132
Position 8: 9.258314561718577e-05
Position 782: 7.035909968546544e-05
Position 786: 6.87353039414305e-05
Position 1983: 6.8508617388571e-05
Position 784: 6.345550930509047e-05
Position 788: 6.188598925748984e-05
Position 932: 5.1784473971578806e-05
Position 375: 4.609637021041278e-05
Position 620: 3.352680847748127e-05
Position 890: 3.1437149641025005e-05
Position 1666: 3.0691121024641976e-05
Position 483: 2.741406645898728e-05
Position 426: 2.660704252073657e-05
Position 566: 2.4020290595752665e-05
Position 86: 1.999812851158699e-05
Position 569: 1.957435760395958e-05
Position 379: 1.729393376704784e-05
Position 1809: 1.635034435917052e-05
Position 258: 1.5838197088584063e-05
Position 1154: 1.4363674279903555e-05
Position 480: 1.4328741095837862e-05
Position 1048: 1.1332606594637321e-05
Position 800: 7.661393850990346e-06
Position 792: 6.899994062085687e-06
Position 584: 4.680843814848986e-06
Position 836: 3.182122363829173e-06
Position 300: 2.7736203732055437e-06
Position 415: 2.715634923086936e-06
Position 1339: 2.1713948461545685e-06
Position 313: 1.703156589656416e-06
Position 642: 1.5309089374277056e-06
Position 159: 1.004413298703293e-06
Position 385: 3.4749491818829e-07
Position 329: 1.091139419325083e-07
Position 344: 4.597629199389205e-08
Position 111: 3.482973204506373e-08
Position 338: 3.1712515653584646e-08
Position 252: 3.0908141631974475e-08
Position 275: 2.3460187481469928e-08
Position 120: 2.0947603630069537e-08
Position 547: 1.7505823434432265e-08
Position 176: 8.489109155275434e-09
Position 161: 7.653016638555543e-09
Position 1734: 6.125898927114832e-09
Position 533: 5.7929200218004884e-09
Position 355: 5.482435503670717e-09
Position 408: 4.002528424874744e-09
Position 169: 2.0417818126154905e-10
Position 410: 4.892481722144537e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1275: 0.9860077953937023
Position 1011: 0.245838324640872
Position 3151: 0.24462792458419555
Position 2743: 0.23268000916831807
Position 2869: 0.10714575432566861
Position 129: 0.0968533825628172
Position 601: 0.06825856903503408
Position 3049: 0.060963361927043165
Position 1869: 0.059859861474965116
Position 976: 0.028107221124165797
Position 2911: 0.0255722661563987
Position 2697: 0.02167641081346524
Position 453: 0.02130652854749311
Position 1943: 0.019554064239105478
Position 1761: 0.016575732836614388
Position 2861: 0.0164539998439478
Position 443: 0.014898288132157064
Position 759: 0.011688491614563501
Position 2730: 0.01051084412430366
Position 2571: 0.010229424768727381
Position 700: 0.009762125711941337
