Gene = Dim1
index = 1136
Annotated 5SS: [164]
Annotated 3SS: [262]
SMsplice 5SS: [164]
SMsplice 3SS: [262]
top_k =  500
Partition function (log Z): -7.302600366867333

Sorted 5' Splice Sites (High to Low Probability):
Position 615: 0.6813723157906179
Position 164: 0.6294612210138814
Position 400: 0.0684627013772353
Position 263: 0.04173916114592442
Position 601: 0.03901018778365781
Position 380: 0.031312246928106656
Position 338: 0.01827986561751637
Position 7: 0.008371497525022397
Position 555: 0.005841440374512297
Position 168: 0.005545338920183068
Position 158: 0.0032445563353847035
Position 177: 0.002845856043556732
Position 59: 0.0026015934789859626
Position 216: 0.0025414060424628258
Position 26: 0.002152629367653983
Position 201: 0.001520304589643695
Position 181: 0.0011999450420340741
Position 572: 0.0008255593931247868
Position 161: 0.0005345228308707117
Position 624: 0.0005038501346283209
Position 549: 0.00046570862452559097
Position 125: 0.00021238202585295004
Position 409: 0.0001787152325690623
Position 11: 0.0001470153438723134
Position 406: 0.00014309071256594493
Position 365: 0.00010927877409973752
Position 319: 0.00010914909829787995
Position 425: 9.116402314195215e-05
Position 539: 7.605049130979187e-05
Position 567: 5.340074600450613e-05
Position 619: 3.782833820271314e-05
Position 91: 8.907792358902406e-06
Position 564: 7.109040644227391e-06
Position 640: 5.141230448255052e-06
Position 314: 4.970367970805965e-06
Position 276: 4.297947371631101e-06
Position 530: 2.806528821592191e-06
Position 36: 1.1802383565160126e-06
Position 353: 8.361741535582667e-07
Position 541: 6.603058865140099e-07
Position 42: 5.293694385151512e-07
Position 430: 3.233063904480231e-08
Position 250: 2.9463191840102406e-08
Position 88: 1.6351889306493913e-08
Position 270: 6.950445580836162e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.5486509689301682
Position 686: 0.44106859528813575
Position 659: 0.28181653862883926
Position 448: 0.16310702254429157
Position 231: 0.07047523284433058
Position 324: 0.0292272712535343
Position 689: 0.00809852430731165
Position 84: 0.002388706655871443
Position 124: 0.00173557473591828
Position 337: 0.0012060258947870865
Position 487: 0.0005665405372381882
Position 245: 0.00033778910906715213
Position 606: 0.00011695115882990799
Position 397: 9.9200193684707e-05
Position 313: 5.688216023151491e-05
Position 505: 2.670731600478344e-05
Position 511: 1.4887004336851036e-05
Position 640: 1.453605541130159e-05
Position 614: 3.6871182397482117e-06
Position 343: 3.275052700766423e-06
Position 575: 2.167573002510131e-06
Position 514: 2.104345793247282e-06
Position 379: 1.7478253630207049e-06
Position 601: 1.408582449223038e-06
Position 406: 1.2770413491206128e-06
Position 133: 8.440938608373497e-07
Position 177: 5.303597026256344e-07
Position 559: 4.348956463092459e-07
Position 148: 3.122429102152884e-07
Position 586: 3.0957731653186877e-07
Position 190: 2.873778826231356e-07
Position 187: 1.1655600532485108e-07
Position 151: 3.207122401746516e-08
Position 334: 1.7759824336019365e-08
Position 161: 1.0997742010665498e-10
Position 168: 1.62124094495571e-11
Position 206: 1.3797617436523166e-11
Position 158: 5.8123616354273316e-12
