Gene = l(2)05287
index = 1742
Annotated 5SS: [ 260  707 1476 1719 2959 3393]
Annotated 3SS: [ 322  820 1539 1783 3021 7016]
SMsplice 5SS: [ 260  707 1476 1719 2959 3393]
SMsplice 3SS: [ 322  820 1539 1783 3021 7016]
top_k =  500
Partition function (log Z): 23.880198422460282

Sorted 5' Splice Sites (High to Low Probability):
Position 3393: 0.9994160921982475
Position 1719: 0.9993323210427029
Position 2959: 0.9970403391701905
Position 707: 0.9963569648031865
Position 1476: 0.9926698750397631
Position 260: 0.9657717528186353
Position 2692: 0.3620661017623003
Position 53: 0.24517526619791316
Position 1251: 0.08398893710942874
Position 1257: 0.06935622045866369
Position 1230: 0.05483041614190117
Position 2662: 0.03779650339746757
Position 1908: 0.03240724517069052
Position 5651: 0.03210255081105036
Position 217: 0.02843231408392566
Position 1089: 0.025205577589787243
Position 6770: 0.021764757776772597
Position 6276: 0.016521659070533455
Position 3839: 0.015307729063521616
Position 7379: 0.01344671771734095
Position 1913: 0.01184311558392459
Position 2037: 0.009499837135181599
Position 4335: 0.007510736753910869
Position 2307: 0.007162493130266958
Position 1363: 0.006536422812374578
Position 2340: 0.006210095943389243
Position 1190: 0.006063316306360625
Position 2710: 0.0052282463657018965
Position 1227: 0.005073198935244376
Position 2280: 0.004534745137187462
Position 36: 0.0036815857517038023
Position 1955: 0.0036412629406463934
Position 2659: 0.003505984991596633
Position 505: 0.0027955524717269776
Position 3214: 0.0022304497453903113
Position 2823: 0.0020117073466895093
Position 647: 0.0019066662453122941
Position 2937: 0.0019048200325902827
Position 1210: 0.0018169333767761697
Position 3798: 0.001779970912268393
Position 3208: 0.001747948083257257
Position 1145: 0.0016777380011759088
Position 160: 0.001586902635505372
Position 5775: 0.0013804585358500646
Position 483: 0.001329949629555658
Position 2447: 0.0013280084560794755
Position 1212: 0.00108388266483625
Position 3910: 0.0007734040788539901
Position 2239: 0.0007327015419608912
Position 463: 0.000616128954262781
Position 2024: 0.0005820417101540902
Position 5815: 0.0004978237526967221
Position 670: 0.0004618692663746413
Position 987: 0.0004450149443302026
Position 86: 0.00041448680111718717
Position 1119: 0.00040567162825762135
Position 293: 0.00036027909054988803
Position 240: 0.0003561592218487056
Position 1410: 0.0002997879602957495
Position 1899: 0.00026454093340750055
Position 3584: 0.0002536700411058381
Position 2817: 0.0002480449291422073
Position 863: 0.0002421090764192233
Position 639: 0.0002391066714422673
Position 26: 0.00023437283642666634
Position 1219: 0.0002185823611959383
Position 2041: 0.0002092572344543329
Position 1960: 0.00020505124130770996
