Gene = ninaA
index = 1817
Annotated 5SS: [570]
Annotated 3SS: [667]
SMsplice 5SS: [570]
SMsplice 3SS: [667]
top_k =  500
Partition function (log Z): -4.253703959345714

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.9966039761669805
Position 48: 0.024463906021134452
Position 28: 0.004243563788505479
Position 21: 0.0029386209253256996
Position 26: 0.0017105755430502653
Position 531: 0.0014626290541313088
Position 177: 0.0005978990466034737
Position 795: 0.0004160189730900655
Position 601: 0.000348986155320908
Position 52: 0.0003363125975657624
Position 15: 0.000303611537694476
Position 43: 0.0002384320760217295
Position 574: 0.0002288515424174391
Position 424: 0.00013541776179354533
Position 156: 5.4428850152386634e-05
Position 200: 4.265173826815234e-05
Position 333: 3.8928031268749455e-05
Position 405: 3.4987683007586776e-05
Position 4: 2.979542585517445e-05
Position 297: 2.5208949817506764e-05
Position 276: 1.9190619379462484e-05
Position 497: 1.7030424812814928e-05
Position 9: 1.6441276895016275e-05
Position 118: 1.4879050329788534e-05
Position 225: 1.45701363625514e-05
Position 300: 1.4544990258438498e-05
Position 862: 1.3941266727016334e-05
Position 803: 1.0719139054575914e-05
Position 486: 1.0658867588112446e-05
Position 519: 9.17185622681774e-06
Position 633: 4.392977530425431e-06
Position 137: 3.474239465445927e-06
Position 132: 2.412577466308663e-06
Position 477: 8.994521145369444e-07
Position 65: 8.812657226664459e-07
Position 668: 8.510247173473872e-07
Position 470: 6.06970036080214e-07
Position 191: 3.694986473642669e-07
Position 115: 3.4088888712400405e-07
Position 742: 3.28883370247612e-07
Position 748: 2.1726486659555204e-07
Position 315: 1.5660049382236213e-07
Position 821: 7.776184758710408e-08
Position 89: 1.3339207098502837e-08
Position 108: 1.2369043324095168e-08
Position 707: 8.251663290304446e-09
Position 704: 2.650598521798894e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 667: 0.9981361048713884
Position 94: 0.03400929149577421
Position 628: 0.0013810147217375099
Position 853: 0.00047231732905922825
Position 115: 0.00020072537058110678
Position 321: 5.3938642093983944e-05
Position 617: 4.685327140750951e-05
Position 637: 2.2345483402071874e-05
Position 742: 1.6590587727984792e-05
Position 361: 1.3798088934124981e-05
Position 907: 1.332817672379675e-05
Position 470: 5.723852656189594e-06
Position 395: 5.426341570269822e-06
Position 497: 5.389208026641244e-06
Position 913: 4.593140178398293e-06
Position 530: 3.130155403814217e-06
Position 872: 3.0338529959511195e-06
Position 184: 2.5633831194902167e-06
Position 209: 2.498122667133411e-06
Position 810: 2.3072989033991747e-06
Position 271: 1.6992955537865362e-06
Position 221: 1.4015663195104305e-06
Position 65: 1.3799819178396604e-06
Position 916: 1.0458642702540449e-06
Position 739: 9.707017816744744e-07
Position 173: 9.341848404726302e-07
Position 161: 6.618215187578163e-07
Position 748: 5.151157996377691e-07
Position 418: 4.861647842823682e-07
Position 787: 3.4258740697857564e-07
Position 389: 2.5752254676862646e-07
Position 888: 1.5377723812194792e-07
Position 170: 1.1347350688182825e-07
Position 512: 4.467034374142962e-08
Position 47: 8.165604243451542e-09
Position 582: 4.501327493631498e-09
Position 539: 1.6891042022460534e-09
Position 882: 1.0330985672291256e-09
Position 124: 2.019803938269196e-15
